bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title
hr1408-107,107,2001-04-04,Finance and Financial Sector,Administrative fees|Auditing|Bank examination|Bank fraud|Bank records|Brokers|Business records|Computer networks|Computers and government|Confidential communications|Congressional investigations|Congressional reporting requirements|Consumer complaints|Consumer education|Cost effectiveness|Credit unions|Criminal investigation|Criminal justice information|Criminal justice information systems|Criminal liability|Data banks|Discovery (Law)|District courts|Electronic data interchange|Electronic government information|Evidence (Law)|Ex-offenders|Executive reorganization|Federal preemption|Federal-state relations|Financial services|Fines (Penalties)|Fingerprints|Foreign banks and banking|Fraud|Government paperwork|Government securities|Governmental investigations|Identification of criminals|Information disclosure (Securities law)|Insurance|Insurance agents|Insurance companies|Insurance law|International banking|International cooperation|Investment advisers|Judicial opinions|Judicial review of administrative acts|Legislation|Liability (Law)|Licenses|Parties to actions|Presidential commissions|Professional associations|Prosecution|Restrictive trade practices|Right of privacy|Savings and loan associations|Securities industry|Securities regulation|State laws|State officials|Stock exchanges|Subpoena|Tax-exempt securities,"To safeguard the public from fraud in the financial services industry, to streamline and facilitate the antifraud information-sharing efforts of Federal and State regulators, and for other purposes.",Financial Services Antifraud Network Act of 2001
hr4894-114,114,2016-04-11,Finance and Financial Sector,Banking and financial institutions regulation|Bankruptcy|Financial services and investments,To repeal title II of the Dodd-Frank Wall Street Reform and Consumer Protection Act.,
hr268-105,105,1997-01-07,Finance and Financial Sector,Administrative fees|Administrative procedure|Administrative remedies|Advertising|Advice and consent of the Senate|Affiliated corporations|Annuities|Bank capital|Bank deposits|Bank directors|Bank employees|Bank examination|Bank failures|Bank fraud|Bank holding companies|Bank loans|Bank mergers|Bank records|Bank reserves|Bankruptcy|Branch banking|Brokers|Competition|Confidential communications|Conflict of interests|Congressional reporting requirements|Consumer complaints|Consumer education|Consumer protection|Contracts|Corporate divestiture|Corporate governance|Corporate reorganizations|Corporation directors|Credit unions|Deceptive advertising|Department of the Treasury|Deposit insurance|District courts|Dividends|Employee rights|Executive reorganization|Federal Deposit Insurance Corporation|Federal Reserve System|Federal advisory bodies|Federal employees|Federal home loan banks|Federal officials|Federal preemption|Financial deregulation|Financial institutions|Financial services|Fines (Penalties)|Foreign banks and banking|Government corporations|Government paperwork|Government trust funds|Holding companies|Independent regulatory commissions|Indexing (Economic policy)|Information disclosure (Securities law)|Injunctions|Insurance|Insurance companies|Insurance premiums|Interest,To enhance competition in the financial services sector and merge the commercial bank and savings association charters.,Depository Institution Affiliation and Thrift Charter Conversion Act
s2995-110,110,2008-05-08,Finance and Financial Sector,Commodity exchanges|Derivative securities|Futures trading|Petroleum,A bill to amend the Commodity Exchange Act to enhance oil trading transparency.,Oil Trading Transparency Act
hr3738-114,114,2015-10-09,Finance and Financial Sector,Administrative law and regulatory procedures|Advisory bodies|Banking and financial institutions regulation|Business records|Computer security and identity theft|Department of the Treasury|Financial services and investments|Government information and archives|Government studies and investigations|Performance measurement,"To amend the Dodd-Frank Wall Street Reform and Consumer Protection Act to improve the transparency, accountability, governance, and operations of the Office of Financial Research, and for other purposes.",Office of Financial Research Accountability Act of 2015
s30-107,107,2001-01-22,Finance and Financial Sector,Administrative procedure|Affiliated corporations|Agricultural credit|Bank accounts|Bank marketing|Bank records|Civil actions and liability|Compensation for victims of crime|Consumer credit|Consumer education|Consumer protection|Credit unions|Customer service|Damages|Demography|Department of Health and Human Services|Federal Deposit Insurance Corporation|Federal Reserve System|Federal Trade Commission|Federal preemption|Fraud|Futures trading|Government corporations|Government paperwork|Identification devices|Independent regulatory commissions|Injunctions|International banking|Medical records|National Credit Union Administration|Parties to actions|Personal budgets|Restrictive trade practices|Right of privacy|Secondary mortgage market|Securities and Exchange Commission|Securities regulation|State laws,"A bill to strengthen control by consumers over the use and disclosure of their personal financial and health information by financial institutions, and for other purposes.",Financial Information Privacy Protection Act of 2001
hr2118-111,111,2009-04-27,Finance and Financial Sector,"Bank accounts, deposits, capital|Financial crises and stabilization",To amend the Emergency Economic Stabilization Act of 2008 to provide for more detailed repayment procedures for assistance received under the Troubled Asset Relief Program.,
hr3340-114,114,2015-07-29,Finance and Financial Sector,Appropriations|Banking and financial institutions regulation|Congressional oversight|Department of the Treasury|Executive agency funding and structure|Financial Stability Oversight Council|Financial crises and stabilization,"To place the Financial Stability Oversight Council and the Office of Financial Research under the regular appropriations process, to provide for certain quarterly reporting and public notice and comment requirements for the Office of Financial Research, and for other purposes.",Financial Stability Oversight Council Reform Act
s47-113,113,2013-01-22,Crime and Law Enforcement,"Accounting and auditing|Administrative law and regulatory procedures|Aging|Alaska|Alaska Natives and Hawaiians|Assault and harassment offenses|Child health|Child safety and welfare|Civil actions and liability|Congressional oversight|Correctional facilities and imprisonment|Crime prevention|Crime victims|Crimes against children|Crimes against women|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Department of Health and Human Services|Detention of persons|Disability and paralysis|Domestic violence and child abuse|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Evidence and witnesses|Family services|Foreign aid and international relief|Fraud offenses and financial crimes|Genetics|Government information and archives|Government studies and investigations|HIV/AIDS|Health personnel|Health programs administration and funding|Higher education|Homelessness and emergency shelter|Housing and community development funding|Human rights|Human trafficking|Immigrant health and welfare|Immigration status and procedures|Indian social and development programs|International organizations and cooperation|Internet and video services|Judicial procedure and administration|Jurisdiction and venue|Juvenile crime and gang violence|Law enforcement administration and funding|Law enforcement officers|Lawyers and legal services|Low- and moderate-income housing|Marriage and family status|Medical education|Medical research|Medical tests and diagnostic methods|Mental health|Northern Mariana Islands|Nursing|Poverty and welfare assistance|Public housing|Refugees, asylum, displaced persons|Research administration and funding|Right of privacy|Sales and excise taxes|School administration",A bill to reauthorize the Violence Against Women Act of 1994.,Violence Against Women Reauthorization Act of 2013
hr2750-115,115,2017-05-26,Finance and Financial Sector,Banking and financial institutions regulation|Department of the Treasury|Executive agency funding and structure|Financial crises and stabilization|Government information and archives,To amend the Financial Stability Act of 2010 to preserve the independent funding the Office of Financial Research.,Protecting the Independent Funding of the Office of Financial Research Act
hr2179-108,108,2003-05-21,Finance and Financial Sector,Administrative remedies|Bank records|Brokers|Civil actions and liability|Collection of accounts|Confidential communications|Court records|Criminal investigation|Debtor and creditor|Discovery (Law)|Evidence (Law)|Federal preemption|Financial planning|Financial services|Fines (Penalties)|Foreclosure|Government procurement|Government trust funds|Governmental investigations|Grand jury|Independent regulatory commissions|Insider trading in securities|Investment advisers|Investors|Lawyers|Legal fees|Legal services|Liens|Mutual funds|Right of privacy|Securities and Exchange Commission|Securities fraud|Securities regulation|State constitutions|State laws|Subpoena|Trials|Witnesses,"To enhance the authority of the Securities and Exchange Commission to investigate, punish, and deter securities laws violations, and to improve its ability to return funds to defrauded investors, and for other purposes.",Securities Fraud Deterrence and Investor Restitution Act of 2004
hr3570-103,103,1993-11-19,Finance and Financial Sector,Administrative procedure|Advertising|Auditing|Bank capital|Bank deposits|Bank examination|Bank failures|Bank holding companies|Bank loans|Bank management|Bank mergers|Bankruptcy|Branch banking|Business losses|Civil actions and liability|Civil procedure|Civil service retirement|Commercial arbitration|Confidential communications|Conflict of interests|Contracts|Corporate mergers|Data banks|Debt|Debtor and creditor|Deposit insurance|Dismissal wage|District courts|Dividends|Electronic data processing|Evidence (Law)|Executive reorganization|Federal Deposit Insurance Corporation|Federal Reserve System|Federal employees|Federal preemption|Fees|Financial statements|Fines (Penalties)|Foreign banks and banking|Fraud|Government corporations|Government paperwork|Government trust funds|Indexing (Economic policy)|Injunctions|Insurance companies|Insurance premiums|Insurance rates|Interest rates|Jurisdiction|Leases|Liability (Law)|Loans|Local officials and employees|Local taxation|Parties to actions|Partnerships|Pension funds|Relocation of employees|Risk management|Savings and loan associations|Savings banks|Signs and symbols|State laws|State officials and employees,"To amend the Federal Deposit Insurance Act to provide for a system of insuring the deposits of depository institutions through a self-regulating system of cross-guarantees, to protect taxpayers against deposit insurance losses, and for other purposes.","Deposit Insurance Reform, Regulatory Modernization, and Taxpayer Protection Act of 1993"
s1490-111,111,2009-07-22,Crime and Law Enforcement,Administrative law and regulatory procedures|Bankruptcy|Business records|Civil actions and liability|Computer security and identity theft|Crime victims|Criminal procedure and sentencing|Department of Justice|Executive agency funding and structure|Federal Trade Commission (FTC)|Fraud offenses and financial crimes|Government information and archives|Organized crime|Public contracts and procurement|Right of privacy|U.S. Sentencing Commission,"A bill to prevent and mitigate identity theft, to ensure privacy, to provide notice of security breaches, and to enhance criminal penalties, law enforcement assistance, and other protections against security breaches, fraudulent access, and misuse of personally identifiable information.",Personal Data Privacy and Security Act of 2009
hr3818-111,111,2009-10-15,Finance and Financial Sector,Administrative law and regulatory procedures|Banking and financial institutions regulation|Business records|Commodity Futures Trading Commission|Financial services and investments|Government information and archives|Licensing and registrations|Securities and Exchange Commission (SEC),"To amend the Investment Advisers Act of 1940 to require advisers of certain unregistered investment companies to register with and provide information to the Securities and Exchange Commission, and for other purposes.",Private Fund Investment Advisers Registration Act of 2009
hr4394-112,112,2012-04-18,Finance and Financial Sector,Administrative law and regulatory procedures|Banking and financial institutions regulation|Consumer credit|Credit and credit markets|Department of the Treasury|Employee benefits and pensions|Federal Deposit Insurance Corporation (FDIC)|Federal Reserve System|Financial literacy|Financial services and investments|Government lending and loan guarantees|Income tax credits|National Credit Union Administration|Public contracts and procurement|Small business,"To provide incentives to encourage financial institutions and small businesses to provide continuing financial education to customers, borrowers, and employees, and for other purposes.",National Financial Literacy Act of 2012
s652-105,105,1997-04-25,Finance and Financial Sector,Administrative procedure|Bank capital|Bank deposits|Branch banking|Checking accounts|Checks|Consumer credit|Credit unions|Department of the Treasury|Deposit insurance|Disaster relief|Federal Deposit Insurance Corporation|Financial deregulation|Flood insurance|Floods|Government corporations|Government paperwork|Government publicity|Minnesota|National Credit Union Administration|North Dakota|Public meetings of administrative bodies|Real estate appraisal|Rivers|Savings and loan associations|Standards,"A bill to facilitate recovery from the recent flooding of the Red River of the North and its tributaries by providing greater flexibility for depository institutions and their regulators, and for other purposes.",Depository Institution Disaster Relief Act of 1997
hr1582-111,111,2009-03-18,Finance and Financial Sector,Corporate finance and management|Financial crises and stabilization|Wages and earnings,To amend the Emergency Economic Stabilization Act of 2008 to strike a provision included in a recent amendment of such Act.,Executive Bonus Repeal Act
hr1486-114,114,2015-03-19,Finance and Financial Sector,Appropriations|Consumer Financial Protection Bureau|Consumer affairs|Executive agency funding and structure|Federal Reserve System|Financial services and investments,"To amend the Consumer Financial Protection Act of 2010 to bring the Bureau of Consumer Financial Protection into the regular appropriations process, and for other purposes.",TABS Act of 2016
s276-104,104,1995-01-25,Crime and Law Enforcement,Bank fraud|Fraud|Small business,"A bill to provide for criminal penalties for defrauding financial institutions carrying out programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes.",Small Business Financial Institution Protection Act
s2155-115,115,2017-11-16,Finance and Financial Sector,"Administrative law and regulatory procedures|Advisory bodies|Aging|American Samoa|Bank accounts, deposits, capital|Banking and financial institutions regulation|Bankruptcy|Business investment and capital|Caribbean area|Child health|Civil actions and liability|Computer security and identity theft|Congressional oversight|Consumer Financial Protection Bureau|Consumer credit|Department of the Treasury|Elementary and secondary education|Employment discrimination and employee rights|Environmental assessment, monitoring, research|Environmental health|Executive agency funding and structure|Federal Deposit Insurance Corporation (FDIC)|Federal Reserve System|Financial crises and stabilization|Financial literacy|Financial services and investments|Fraud offenses and financial crimes|Government lending and loan guarantees|Government liability|Government studies and investigations|Guam|Hazardous wastes and toxic substances|Higher education|Housing and community development funding|Housing finance and home ownership|Inflation and prices|Insurance industry and regulation|Interest, dividends, interest rates|Internet and video services|Licensing and registrations|Low- and moderate-income housing|National Credit Union Administration|Northern Mariana Islands|Public housing|Puerto Rico|Residential rehabilitation and home repair|Rural conditions and development|Securities|Securities and Exchange Commission (SEC)|Small business|State and local finance|State and local government operations|Student aid and college costs|U.S. territories and protectorates|User charges and fees|Veterans' loans, housing, homeless programs|Veterans' medical care|Virgin Islands","A bill to promote economic growth, provide tailored regulatory relief, and enhance consumer protections, and for other purposes.","Economic Growth, Regulatory Relief, and Consumer Protection Act"
hr4472-109,109,2005-12-08,Crime and Law Enforcement,Administrative procedure|Adoption|Arrest|Assault|Authorization|Bail|Business records|Capital punishment|Child abuse|Child labor|Child pornography|Child sexual abuse|Child welfare|Child witnesses|Civil actions and liability|Civil commitment|Commemorations|Computer crimes|Computer software|Congressional investigations|Congressional reporting requirements|Congressional tributes|Conspiracy|Crime prevention|Criminal aliens|Criminal investigation|Criminal justice information|Criminal procedure|Criminal statistics|Custody of children|DNA|Damages|Data banks|Department of Justice|Deportation|Directories|Disasters|Driver licenses|Drug abuse|Drug abuse treatment|Drug traffic|Electronic government information|Electronic surveillance|Elementary and secondary education|Employee selection|Evidence (Law)|Ex-offenders|Executive reorganization|Expert witnesses|Family violence|Federal aid to Indians|Federal aid to law enforcement|Federal employees|Federal law enforcement officers|Federal-state relations|Financial disclosure|Fines (Penalties)|Fingerprints|Fire fighters|Forced labor|Forensic medicine|Forfeiture|Foster home care|Fugitives from justice|Gangs|Government paperwork,"An act to protect children from sexual exploitation and violent crime, to prevent child abuse and child pornography, to promote Internet safety, and to honor the memory of Adam Walsh and other child crime victims.",Adam Walsh Child Protection and Safety Act of 2006
hr4871-113,113,2014-06-17,Finance and Financial Sector,"Advisory bodies|Competition and antitrust|Congressional oversight|Consumer affairs|Criminal justice information and records|Disaster relief and insurance|Government corporations and government-sponsored enterprises|Government studies and investigations|Insurance industry and regulation|Licensing and registrations|Life, casualty, property insurance|State and local government operations|Terrorism","To reauthorize the Terrorism Risk Insurance Act of 2002, and for other purposes.",TRIA Reform Act of 2014
s876-114,114,2015-03-26,Finance and Financial Sector,Commodities markets|Securities,A bill to amend the Commodity Exchange Act to specify how clearing requirements apply to certain affiliate transactions.,
hr1345-115,115,2017-03-02,Finance and Financial Sector,Administrative law and regulatory procedures|Child safety and welfare|Computer security and identity theft|Consumer Financial Protection Bureau|Consumer credit|Crime victims|Fraud offenses and financial crimes|User charges and fees,"To amend the Fair Credit Reporting Act to create protected credit reports for minors and protect the credit of minors, and for other purposes.",Protect Children from Theft Act of 2017
hr1357-108,108,2003-03-19,Finance and Financial Sector,Civil actions and liability|Consumer credit|Counseling|Federal aid to housing|Federally-guaranteed loans|Fees|Financial planning|Financial statements|Foreclosure|Government lending|Government paperwork|Income|Interest|Liens|Loan defaults|Mortgage guaranty insurance|Mortgages|Nonprofit organizations|Personnel records|Telephone,"To establish a program to assist homeowners experiencing unavoidable, temporary difficulty making payments on mortgages insured under the National Housing Act.",Homeowners' Emergency Mortgage Assistance Act
s523-112,112,2011-03-09,Crime and Law Enforcement,Administrative law and regulatory procedures|Administrative remedies|Criminal procedure and sentencing|Elementary and secondary education|Fraud offenses and financial crimes|Higher education|Immigration status and procedures|School administration|U.S. Sentencing Commission|Visas and passports,A bill to provide for enhanced criminal penalties for individuals who file a SEVP certification petition under false pretenses.,
hr3741-116,116,2019-07-12,Crime and Law Enforcement,"Accounting and auditing|Advisory bodies|Congressional oversight|Criminal investigation, prosecution, interrogation|Criminal procedure and sentencing|Due process and equal protection|Government information and archives|Government studies and investigations|Law enforcement administration and funding|Lawyers and legal services|Poverty and welfare assistance|State and local government operations|Tax-exempt organizations",To establish the National Center for the Right to Counsel.,National Center for the Right to Counsel Act
s3177-115,115,2018-06-28,Finance and Financial Sector,Banking and financial institutions regulation|Financial Stability Oversight Council|Insurance industry and regulation,"A bill to amend the Financial Stability Act of 2010 to include the State insurance commissioner as a voting member of the Financial Stability Oversight Council, and for other purposes.",Primary Regulators of Insurance Vote Act of 2018
hr2056-112,112,2011-05-31,Finance and Financial Sector,"Accounting and auditing|Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Bankruptcy|Congressional oversight|Consumer credit|Credit and credit markets|Federal Deposit Insurance Corporation (FDIC)|Financial services and investments|Government studies and investigations|Real estate business","To instruct the Inspector General of the Federal Deposit Insurance Corporation to study the impact of insured depository institution failures, and for other purposes.",
hr1825-111,111,2009-03-31,Crime and Law Enforcement,"Crimes against property|Criminal investigation, prosecution, interrogation|Criminal procedure and sentencing|District of Columbia|Evidence and witnesses|Fraud offenses and financial crimes|Government buildings, facilities, and property|Government employee pay, benefits, personnel management|Government ethics and transparency, public corruption|Government information and archives|Jurisdiction and venue|Postal service","To amend title 18, United States Code, to deter public corruption.",Clean Up Government Act of 2009
s553-108,108,2003-03-06,Finance and Financial Sector,Administrative procedure|Bank accounts|Bank deposits|Bank reserves|Corporate finance|Dividends|Federal Reserve System|Interest|Monetary policy|Money supply|NOW accounts|Savings accounts,"A bill to allow all businesses to make up to 24 transfers each month from interest-bearing transaction accounts to other transaction accounts , to require the payment of interest on reserves held for depository institutions at Federal reserve banks, and for other purposes.",Business Checking Freedom Act of 2003
s3139-107,107,2002-10-17,Finance and Financial Sector,Bankruptcy|Collection of accounts|Corporate collapse|Debtor and creditor|Defined benefit pension plans|Employee pensions,A bill to provide a right to be heard for participants and beneficiaries of an employee pension benefit plan of a debtor in order to protect pensions of those employees and retirees.,Employee Pension Bankruptcy Protection Act of 2002
hr1585-106,106,1999-04-27,Finance and Financial Sector,Administrative procedure|Affiliated corporations|Bank capital|Bank deposits|Bank directors|Bank examination|Bank failures|Bank holding companies|Bank loans|Bank management|Bank marketing|Bank mergers|Bank records|Bank reserves|Bonds|Branch banking|Brokers|Capital investments|Checking accounts|Citizenship|Civil actions and liability|Community development banking|Confidential communications|Congressional reporting requirements|Consumer credit|Consumer education|Corporate reorganizations|Credit cards|Credit unions|Debtor and creditor|Department of the Treasury|Deposit insurance|Discovery (Law)|District courts|Dividends|Electronic data interchange|English language|Federal Deposit Insurance Corporation|Federal Reserve System|Fees|Finance charges|Financial statements|Foreign banks and banking|Government corporations|Government paperwork|Home equity loans|Information disclosure (Securities law)|Injunctions|Interest|Interest rates|Investments|Judicial review of administrative acts|Jurisdiction|Legislation|Liens|Life insurance|Loans|Mining claims|Mortgages|Negotiable instruments|Parties to actions|Public records|Real estate business|Real property|Savings accounts|Savings and loan associations,"To streamline the regulation of depository institutions, to safeguard confidential banking and credit union supervisory information, and for other purposes.",Depository Institution Regulatory Streamlining Act of 1999
s3012-106,106,2000-09-06,Crime and Law Enforcement,Automobile industry|Automobile parts|Automobile parts industry|Business ethics|Defective products|Fines (Penalties)|Fraud|Government paperwork|Imports|International corporations|Location of industries|Motor vehicle safety|Motor vehicles|Product safety|Traffic accidents and safety,"A bill to amend title 18, United States Code, to impose criminal and civil penalties for false statements and failure to file reports concerning defects in foreign motor vehicle products, and to require the timely provision of notice of such defects, and for other purposes.",Transportation Information Recall Enhancement Act
hr3968-111,111,2009-10-29,Finance and Financial Sector,"Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Bankruptcy|Business investment and capital|Corporate finance and management|Federal Reserve System|Wages and earnings",To amend the Bank Holding Company Act of 1956 to require the Board of Governors of the Federal Reserve System to take prompt corrective action to resolve problems of bank holding companies.,
s2525-103,103,1994-10-06,Finance and Financial Sector,Accounting|Administrative procedure|Financial statements|Independent regulatory commissions|Securities|Securities and Exchange Commission|Securities regulation|Standards,A bill to require a majority vote of the Securities and Exchange Commission for the adoption of accounting standards and principles used in the preparation of financial statements required under the Securities Exchange Act of 1934.,Accounting Standards Reform Act of 1994
s2756-111,111,2009-11-09,Finance and Financial Sector,Administrative law and regulatory procedures|Banking and financial institutions regulation|Congressional oversight|Executive agency funding and structure|Financial crises and stabilization|Financial services and investments|Foreign and international banking,"A bill to establish the Financial Services Systemic Risk Oversight Council, and for other purposes.",Financial Services Systemic Risk Oversight Council Act of 2009
hr834-105,105,1997-02-25,Finance and Financial Sector,Indian economic development|Minorities|Tax-exempt securities,To permit the current refunding of certain tax-exempt bonds.,
s1502-109,109,2005-07-26,Finance and Financial Sector,Administrative remedies|Affiliated corporations|Bank deposits|Bank examination|Civil actions and liability|Collection of accounts|Congressional reporting requirements|Consumer complaints|Consumer credit|Consumer protection|Damages|Department of the Treasury|Federal preemption|Federal-state relations|Foreclosure|Fraud|Government paperwork|Government publicity|Government statistics|Governmental investigations|Mortgage banks|Mortgages|Restrictive trade practices|Savings and loan associations|State laws|Subsidiary corporations,"A bill to clarify the applicability of State law to national banks and Federal savings associations, and for other purposes.",Preservation of Federalism in Banking Act
hr2642-114,114,2015-06-03,Finance and Financial Sector,"Bank accounts, deposits, capital|Banking and financial institutions regulation|Congressional oversight|Consumer credit|Financial services and investments|Government studies and investigations|Housing finance and home ownership|Licensing and registrations|Right of privacy|Securities","To provide sensible relief to community financial institutions, to protect consumers, and for other purposes.",Community Lender Regulatory Relief and Consumer Protection Act of 2015
s1313-115,115,2017-06-07,Finance and Financial Sector,"Administrative law and regulatory procedures|Banking and financial institutions regulation|Civil actions and liability|Congressional oversight|Department of Homeland Security|Disaster relief and insurance|Federal Emergency Management Agency (FEMA)|Floods and storm protection|Fraud offenses and financial crimes|Geography and mapping|Government corporations and government-sponsored enterprises|Government information and archives|Government liability|Government studies and investigations|Government trust funds|Housing finance and home ownership|Insurance industry and regulation|Judicial review and appeals|Marine and coastal resources, fisheries","A bill to reauthorize the National Flood Insurance Program, and for other purposes.",Flood Insurance Affordability and Sustainability Act of 2017
hr1860-113,113,2013-05-07,Crime and Law Enforcement,"Civil actions and liability|Crime victims|Crimes against children|Crimes against property|Crimes against women|Criminal investigation, prosecution, interrogation|Criminal justice information and records|Criminal procedure and sentencing|Domestic violence and child abuse|Drug trafficking and controlled substances|Firearms and explosives|Fraud offenses and financial crimes|Health technology, devices, supplies|Human trafficking|Indian lands and resources rights|Judicial procedure and administration|Protection of officials|Sex offenses|Smuggling and trafficking|Subversive activities|Terrorism|Violent crime","To modernize, shorten, and simplify the Federal criminal code, and for other purposes.",Criminal Code Modernization and Simplification Act of 2013
hr5282-114,114,2016-05-19,Finance and Financial Sector,Administrative law and regulatory procedures|Civil actions and liability|Computer security and identity theft|Congressional oversight|Consumer Financial Protection Bureau|Consumer affairs|Consumer credit|Contracts and agency|Crime victims|Disability and paralysis|Foreign language and bilingual programs|Fraud offenses and financial crimes|Government studies and investigations|Higher education|Housing finance and home ownership|Internet and video services|Marketing and advertising|Motor vehicles|Public participation and lobbying|Student aid and college costs,"To amend the Fair Credit Reporting Act to improve the consumer reporting system, and for other purposes.",Comprehensive Consumer Credit Reporting Reform Act of 2016
hr4557-113,113,2014-05-01,Finance and Financial Sector,"Administrative law and regulatory procedures|Bank accounts, deposits, capital|Banking and financial institutions regulation|Federal Reserve System|Insurance industry and regulation","To amend the Federal Deposit Insurance Act to provide for notice to, and input by, State insurance commissioners when requiring an insurance company to serve as a source of financial strength pursuant to such Act.",Policyholder Protection Act of 2014
hr5405-109,109,2006-05-17,Finance and Financial Sector,Accounting|Administrative procedure|Auditing|Congressional reporting requirements|Consultants|Corporate accountability|Corporate finance|Corporate management|Europe|Financial statements|Government paperwork|Governmental investigations|Independent regulatory commissions|Information disclosure (Securities law)|Securities and Exchange Commission|Securities regulation|Small business|United Kingdom,To reduce the burdens of the implementation of section 404 of the Sarbanes-Oxley Act of 2002.,COMPETE Act
hr4454-111,111,2010-01-13,Finance and Financial Sector,Financial crises and stabilization|Government information and archives|Government studies and investigations,"To amend the Fraud Enforcement and Recovery Act of 2009 to require the Financial Crisis Inquiry Commission to make a preliminary report no later than June 15, 2010.",
hr3928-113,113,2014-01-27,Finance and Financial Sector,"Administrative law and regulatory procedures|Banking and financial institutions regulation|Competitiveness, trade promotion, trade deficits|Congressional oversight|Diplomacy, foreign officials, Americans abroad|Economic performance and conditions|Federal Reserve System|Financial services and investments|Foreign and international banking|Government employee pay, benefits, personnel management|Government ethics and transparency, public corruption|Government information and archives|Government studies and investigations|Inflation and prices|Small business|Transportation costs|Travel and tourism","To improve the accountability and transparency of the Board of Governors of the Federal Reserve System, and for other purposes.",Federal Reserve Accountability and Transparency Act of 2014
hr2600-103,103,1993-07-01,Finance and Financial Sector,Administrative remedies|Bank examination|Bank loans|Brokers|Commercial finance companies|Community development|Department of the Treasury|Discrimination|Federally-assisted loans|Fees|Government paperwork|Investment banking|Licenses|Loans|Secondary mortgage market|Securities,"To promote economic growth and credit formation by facilitating the development of a secondary market for business, commercial, and community development debt and equity investments, and for other purposes.","Business, Commercial, and Community Development Secondary Market Development Act"
hr316-115,115,2017-01-05,Finance and Financial Sector,Administrative law and regulatory procedures|Banking and financial institutions regulation|Commodities markets|Commodity Futures Trading Commission|Congressional oversight|Consumer affairs|Financial services and investments|Government corporations and government-sponsored enterprises|Government studies and investigations|User charges and fees,To protect investors in futures contracts.,Futures Investor Protection Act
hr3798-114,114,2015-10-22,Finance and Financial Sector,Administrative remedies|Civil actions and liability|Evidence and witnesses|Securities and Exchange Commission (SEC),"To amend the Securities Exchange Act of 1934 to permit private persons to compel the Securities and Exchange Commission to seek legal or equitable remedies in a civil action, instead of an administrative proceeding, and for other purposes.",Due Process Restoration Act of 2015
hr5970-111,111,2010-07-29,Finance and Financial Sector,Accounting and auditing|Business records|Corporate finance and management|Financial services and investments|Freedom of information|Government information and archives|Securities,To repeal the amendments made by section 929I of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to the confidentiality of materials submitted to the Securities and Exchange Commission.,SEC Transparency Act of 2010
hr2565-106,106,1999-07-20,Finance and Financial Sector,Administrative procedure|Corporation directors|Export credit|Export finance|Export subsidies|Export-Import Bank of the United States|Federal officials|Government corporations,To clarify the quorum requirement for the Board of Directors of the Export-Import Bank of the United States.,
hr2094-114,114,2015-04-29,Finance and Financial Sector,Banking and financial institutions regulation|Financial services and investments,To repeal titles I and II of the Dodd-Frank Wall Street Reform and Consumer Protection Act.,
hr2856-115,115,2017-06-08,Finance and Financial Sector,"Arab-Israeli relations|Employee benefits and pensions|Financial services and investments|Government employee pay, benefits, personnel management|Government information and archives|Israel|Middle East|Sanctions|State and local finance|State and local government operations|Trade restrictions|U.S. and foreign investments","To provide for nonpreemption of measures by State and local governments to divest from entities that engage in commerce-related or investment-related boycott, divestment, or sanctions activity targeting Israel, and for other purposes.",Combating BDS Act of 2017
hr1366-115,115,2017-03-06,Finance and Financial Sector,Banking and financial institutions regulation|Caribbean area|Financial services and investments|Puerto Rico|Securities|U.S. territories and protectorates|Virgin Islands,"To amend the Investment Company Act of 1940 to terminate an exemption for companies located in Puerto Rico, the Virgin Islands, and any other possession of the United States.",U.S. Territories Investor Protection Act of 2017
s272-111,111,2009-01-15,Finance and Financial Sector,Administrative law and regulatory procedures|Commodities markets|Commodity Futures Trading Commission|Securities,"A bill to amend the Commodity Exchange Act to ensure that all agreements, contracts, and transactions with respect to commodities are carried out on a regulated exchange, and for other purposes.",Derivatives Trading Integrity Act of 2009
hr814-104,104,1995-02-03,Finance and Financial Sector,Administrative procedure|Bank capital|Bank directors|Bank employees|Bank examination|Bank fraud|Bank holding companies|Bank loans|Bank mergers|Bank records|Brokers|Competition|Congressional reporting requirements|Deposit insurance|District courts|Dividends|Federal Reserve System|Federal advisory bodies|Federal preemption|Financial deregulation|Financial services|Fines (Penalties)|Holding companies|Injunctions|Insurance agents|Insurance companies|Interest|Interstate banking|Judicial review of administrative acts|Jurisdiction|Licenses|Nonbank banks|Real estate business|Savings and loan associations|Securities|Securities industry|Securities regulation|Standards|State courts|State laws|Subsidiary corporations,"To enhance competition in the financial services sector, and for other purposes.",Depository Institution Affiliation Act
hr2930-112,112,2011-09-14,Finance and Financial Sector,Administrative law and regulatory procedures|Federal preemption|Financial services and investments|Licensing and registrations|Securities|Securities and Exchange Commission (SEC)|Small business,"To amend the securities laws to provide for registration exemptions for certain crowdfunded securities, and for other purposes.",Entrepreneur Access to Capital Act
