bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,reason_qwen,category_4o,bill_type_4o,reason_4o,category_sonnet,bill_type_sonnet,reason_sonnet
hr2750-116,To amend title 9 of the United States Code to prohibit predispute arbitration agreements that force arbitration of certain disputes arising from claims of servicemembers and veterans.,Justice for Servicemembers Act,Law,"Alternative dispute resolution, mediation, arbitration|Civil actions and liability|Employment discrimination and employee rights|Government employee pay, benefits, personnel management|Labor-management relations|Military personnel and dependents|Veterans' education, employment, rehabilitation",1.0,enforcement,"The bill prohibits predispute arbitration agreements for disputes regarding the employment or reemployment rights of uniformed service members, directly regulating private employer conduct under statutes like USERRA which impose obligations on non-governmental employers to reinstate and maintain benefits for returning service members.",,,"The bill addresses arbitration agreements related to servicemembers' employment rights, but does not impose new wage, hour, or benefit obligations on private employers.",1,enforcement,"The bill strengthens protections for servicemembers' employment and reemployment rights (likely under USERRA) by prohibiting forced arbitration clauses, thereby making it easier for servicemembers to enforce their rights against private employers in court rather than through arbitration."
s1145-113,A bill to amend the Employee Retirement Income Security Act of 1974 to require a lifetime income disclosure.,Lifetime Income Disclosure Act,Labor and Employment,Administrative law and regulatory procedures|Department of Labor|Employee benefits and pensions|Government information and archives,1.0,enforcement,"The bill amends ERISA to impose new disclosure requirements on private employers sponsoring individual account pension plans, directly regulating employer obligations regarding retirement benefits.",1,enforcement,"The bill amends ERISA to require lifetime income disclosures in pension benefit statements, directly imposing new administrative obligations on private employers as plan sponsors.",1,enforcement,"Amends ERISA to impose new mandatory disclosure obligations on private employers as pension plan sponsors, requiring them to provide lifetime income stream equivalents on participant benefit statements."
hr4611-113,"To amend the Fair Labor Standards Act of 1938 to ensure that employees are not misclassified as non-employees, and for other purposes.",Payroll Fraud Prevention Act of 2014,Labor and Employment,"Administrative law and regulatory procedures|Department of Labor|Employment discrimination and employee rights|Government information and archives|Government studies and investigations|Labor standards|Performance measurement|Personnel records|Tax administration and collection, taxpayers|Unemployment|Wages and earnings",1.0,enforcement,"The bill amends the Fair Labor Standards Act to prohibit the misclassification of employees as non-employees, thereby enforcing private employer obligations regarding wage, hour, and benefit coverage.",1,enforcement,"The bill amends the FLSA to prevent misclassification of employees, directly affecting private employer wage obligations and enforcement of labor standards.",1,enforcement,"This bill strengthens FLSA enforcement by requiring accurate employee classification, doubling liquidated damages for wage violations, imposing civil penalties for misclassification, and enhancing reporting mechanisms—all directly tightening private employer wage and hour obligations."
hr5858-115,To amend the Internal Revenue Code of 1986 to require coverage without a deductible of certain primary care services by high deductible health plans.,Primary Care Patient Protection Act of 2018,Taxation,,1.0,enforcement,"The bill imposes specific coverage requirements on employer-sponsored high deductible health plans, directly regulating the terms of private employer welfare benefit plans under ERISA.",,,"The bill modifies tax code requirements for high deductible health plans related to health savings accounts, not private employer wage or benefit obligations.",,,"This bill modifies tax-advantaged health savings account rules by changing what high deductible health plans must cover, but does not impose new mandatory obligations on private employers as ERISA plan sponsors regarding their group health plans."
hr366-114,"To reauthorize the VOW to Hire Heroes Act of 2011, to provide assistance to small businesses owned by veterans, to improve enforcement of employment and reemployment rights of members of the uniformed services, and for other purposes.",Putting Our Veterans Back to Work Act of 2015,Armed Forces and National Security,"Administrative law and regulatory procedures|Civil actions and liability|Congressional oversight|Disability and paralysis|Employee hiring|Employment and training programs|Employment discrimination and employee rights|Evidence and witnesses|Fires|First responders and emergency personnel|Government information and archives|Government studies and investigations|Law enforcement officers|Military procurement, research, weapons development|Office of Management and Budget (OMB)|Public contracts and procurement|Unemployment|Veterans' education, employment, rehabilitation",1.0,enforcement,"The bill strengthens enforcement mechanisms for the Uniformed Services Employment and Reemployment Rights Act (USERRA), which protects private and state employers from retaliating against or failing to reinstate employees returning from military service, a conduct type explicitly included in the Wage Hour & Benefits category.",1,enforcement,"Improves enforcement of employment and reemployment rights under USERRA, directly affecting private employer obligations regarding veterans' employment rights.",1,enforcement,"The bill strengthens USERRA enforcement by allowing veterans to intervene in AG actions, imposing AG notification deadlines, authorizing contractor debarment for USERRA violations, and granting investigative subpoena powers—all directly tightening private employer obligations regarding reemployment rights of uniformed service members."
s2048-115,A bill to amend the Internal Revenue Code of 1986 to provide a credit for employer-provided worker training.,Investing in American Workers Act,Taxation,Employment and training programs|Employment taxes|Higher education|Income tax credits|Income tax rates|Licensing and registrations|Small business|Tax-exempt organizations,1.0,tax_credit_introduction,"Introduces a new tax credit for employer-provided worker training, which qualifies under the exception for credits specifically tied to employer-provided job training.",1,tax_credit_introduction,"Introduces a new tax credit incentivizing private employers to increase worker training expenditures, which relates to employer obligations for employee development and benefits.",1,tax_credit_introduction,"Introduces a new tax credit for private employers who increase qualified worker training expenditures for non-highly compensated employees, incentivizing employer-provided training programs that relate to wage and hour employer conduct."
hr170-115,"To amend the Immigration and Nationality Act to modify the definition of ""exempt H-1B nonimmigrant"".",Protect and Grow American Jobs Act,Immigration,Employee hiring|Foreign labor|Inflation and prices|Visas and passports|Wages and earnings,1.0,enforcement,"The bill raises the salary threshold for H-1B visa exemptions, directly regulating private employer wage obligations for specialty occupation workers to prevent wage suppression.",,,"The bill modifies the definition of 'exempt H-1B nonimmigrant' by adjusting salary thresholds, which relates to immigration policy rather than private employer wage or benefit obligations.",1,enforcement,"The bill modifies H-1B visa requirements by raising the salary threshold that H-1B dependent employers must meet to hire exempt workers, directly affecting private employer wage obligations under immigration law."
hr1625-116,"To amend the Internal Revenue Code of 1986 to provide a safe harbor for determinations of worker classification, to require increased reporting, and for other purposes.",New Economy Works to Guarantee Independence and Growth Act of 2019,Taxation,"Contracts and agency|Employment taxes|Self-employed|Tax administration and collection, taxpayers|Wages and earnings",1.0,enforcement,"The bill establishes a statutory test for worker classification, directly regulating whether private employers must treat service providers as employees subject to wage and tax obligations, thereby affecting employer compliance with wage and hour laws.",,,"The bill addresses tax classification of workers as independent contractors versus employees, which affects tax obligations rather than private employer wage or benefit obligations.",1,enforcement,"Establishes a safe harbor test for classifying workers as independent contractors versus employees, directly affecting private employer wage and hour obligations under the FLSA by determining which workers receive employee protections like minimum wage and overtime."
s1204-113,"A bill to amend the Patient Protection and Affordable Care Act to protect rights of conscience with regard to requirements for coverage of specific items and services, to amend the Public Health Service Act to prohibit certain abortion-related discrimination in governmental activities, and for other purposes.",Health Care Conscience Rights Act,Health,Abortion|Civil actions and liability|Comprehensive health care|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Health personnel|Health programs administration and funding|Legal fees and court costs|Medical education|Religion|Sales and excise taxes,1.0,enforcement,"The bill directly regulates private employer obligations regarding group health plans under ERISA by prohibiting the requirement to cover specific services (abortion) based on conscience rights, thereby imposing specific coverage restrictions on employer-sponsored benefit plans.",,,"The bill primarily addresses health insurance coverage and religious objections, not private employer wage or benefit obligations.",1,enforcement,"The bill amends ERISA-related provisions by allowing employer-sponsored group health plans to exclude abortion and other services based on moral or religious objections, directly modifying private employer obligations under the ACA's employer mandate framework."
s1358-112,A bill to amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Parental Bereavement Act of 2011,Labor and Employment,"Employee leave|Family relationships|Government employee pay, benefits, personnel management|Teaching, teachers, curricula",1.0,enforcement,"The bill amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected leave and preventing retaliation for taking such leave.",1,enforcement,"Amends the FMLA to include leave for the death of a child, directly affecting private employer obligations under FMLA leave provisions.",1,enforcement,"Amends the FMLA to create a new mandatory leave entitlement for private employers when an employee experiences the death of a son or daughter, directly expanding employer obligations under federal labor law."
hr2341-112,"To amend the Fair Labor Standards Act with regard to certain exemptions under that Act for direct care workers and to improve the systems for the collection and reporting of data relating to the direct care workforce, and for other purposes.",Direct Care Job Quality Improvement Act of 2011,Labor and Employment,"Allied health services|Census and government statistics|Employment and training programs|Government information and archives|Health personnel|Home and outpatient care|Labor standards|Long-term, rehabilitative, and terminal care|Medicaid|Wages and earnings",1.0,enforcement,"The bill amends the Fair Labor Standards Act to modify exemptions from minimum wage and overtime requirements for direct care workers, directly regulating private employer wage obligations.",1,enforcement,"Amends the Fair Labor Standards Act to address exemptions for direct care workers, directly affecting private employer wage obligations under the FLSA.",1,enforcement,"Amends the FLSA's companionship services exemption from minimum wage and overtime requirements for direct care workers, directly affecting private employer wage and hour obligations under federal labor law."
hr364-112,"To repeal the Patient Protection and Affordable Care Act and to take meaningful steps to lower health care costs and increase access to health insurance coverage without raising taxes, cutting Medicare benefits for seniors, adding to the national deficit, intervening in the doctor-patient relationship, or instituting a government takeover of health care.",Common Sense Health Reform Americans Actually Want Act,Health,Abortion|Administrative law and regulatory procedures|Administrative remedies|Child health|Civil actions and liability|Comprehensive health care|Department of Health and Human Services|Disability and health-based discrimination|Emergency medical services and trauma care|Employee benefits and pensions|Evidence and witnesses|Executive agency funding and structure|Family relationships|Federal preemption|Government information and archives|Health care costs and insurance|Health care coverage and access|Health care quality|Health facilities and institutions|Health information and medical records|Health personnel|Health promotion and preventive care|Income tax deductions|Intergovernmental relations|Judicial procedure and administration|Judicial review and appeals|Jurisdiction and venue|Medicaid|Medical ethics|Medical research|Medicare|Small business|State and local government operations,1.0,enforcement,"The bill amends ERISA to establish governance rules for small business health plans and mandates dependent coverage until age 26 for group health plans, directly imposing obligations on private employers regarding their employee benefit plans.",,,"The bill primarily addresses health care reform, insurance coverage, and tax deductions related to health insurance, without imposing new obligations on private employers regarding wage, hour, or benefit obligations under ERISA or related statutes.",1,enforcement,"The bill amends ERISA to establish and govern small business health plans and modifies group health plan requirements regarding dependent coverage and preexisting condition exclusions, directly imposing obligations on private employers as plan sponsors under ERISA."
s2833-114,"A bill to amend section 214(c)(8) of the Immigration and Nationality Act to modify the data reporting requirements relating to nonimmigrant employees, and for other purposes.",Visa Transparency Anti-Trafficking Act of 2016,Immigration,Congressional oversight|Cultural exchanges and relations|Foreign labor|Government information and archives|Immigration status and procedures|Visas and passports,1.0,enforcement,"The bill expands data reporting requirements for private employers regarding compensation and other details of nonimmigrant workers, which serves as an enforcement mechanism to detect and prevent wage theft, trafficking, and other violations of wage and hour obligations.",,,"The bill focuses on expanding data reporting requirements for nonimmigrant visas and does not directly regulate or enforce private employer wage, hour, or benefit obligations.",,,"This bill addresses immigration data reporting requirements for nonimmigrant workers and visa classifications, not private employer wage, hour, or benefit obligations under statutes like FLSA, ERISA, FMLA, or WARN."
hr1311-112,To provide for the coverage of medically necessary food under Federal health programs and private health insurance.,Medical Foods Equity Act of 2011,Health,Child health|Digestive and metabolic diseases|Food assistance and relief|Health care costs and insurance|Health care coverage and access|Medicare|Nutrition and diet|Poverty and welfare assistance,1.0,enforcement,"The bill amends ERISA and the Internal Revenue Code to mandate that private employer-sponsored health plans cover medically necessary food and related supplies, directly imposing obligations on non-governmental employers regarding their group health benefit plans.",1,enforcement,"Amends ERISA to require employer-sponsored health plans to cover medically necessary food and related supplies, directly imposing new obligations on private employers as plan sponsors.",1,enforcement,"The bill amends ERISA to impose new mandatory coverage requirements on employer-sponsored group health plans for medically necessary foods and related treatments, directly expanding private employer obligations as plan sponsors."
hr6854-115,"To provide tax relief for the victims of Hurricane Florence, and for other purposes.",Hurricane Florence Tax Relief Act,Taxation,"Charitable contributions|Disaster relief and insurance|Employee benefits and pensions|Income tax credits|Income tax deductions|Income tax exclusion|Natural disasters|North Carolina|Poverty and welfare assistance|South Carolina|Tax administration and collection, taxpayers|Tax treatment of families|Virginia|Wages and earnings",1.0,tax_credit_introduction,"The bill introduces an employee retention tax credit for wages paid to employees in disaster zones, which incentivizes private employers to retain workers and relates to wage obligations.",,,"The bill provides tax relief measures for individuals and businesses affected by Hurricane Florence, including tax credits and deductions, but does not impose or modify private employer wage, hour, or benefit obligations.",,,"This is a disaster relief tax bill providing general tax benefits to individuals and businesses affected by Hurricane Florence; while it mentions retirement plan distributions and employee retention credits, these are tax relief measures for disaster victims rather than regulations of private employer wage, hour, or benefit obligations."
hr711-113,"To amend titles 23 and 49, United States Code, to repeal wage requirements applicable to laborers and mechanics employed on Federal-aid highway and public transportation construction projects.",Highway Trust Fund Reform Act of 2013,Transportation and Public Works,Public contracts and procurement|Public transit|Roads and highways|Transportation programs funding|Wages and earnings,1.0,enforcement,"The bill repeals the Davis-Bacon Act requirements for prevailing wages on federal-aid construction projects, directly altering the wage obligations imposed on private contractors and employers working on these projects.",1,enforcement,"Repeals the Davis-Bacon Act, removing prevailing wage requirements for private contractors on federally-funded projects, directly affecting private employer wage obligations.",1,enforcement,"Repeals Davis-Bacon Act prevailing wage requirements for private contractors on federally-funded highway and transit projects, directly weakening private employer wage obligations to their workers."
hr5535-114,"To amend the Family and Medical Leave Act of 1993 and title 5, United States Code, to allow employees to take, as additional leave, parental involvement leave to participate in or attend their children's and grandchildren's educational and extracurricular activities and for other purposes.",Family Leave for Parental Involvement in Education Act,Labor and Employment,"Community life and organization|Elementary and secondary education|Employee leave|Family relationships|Government employee pay, benefits, personnel management",1.0,enforcement,"The bill amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating employer obligations regarding protected leave.",1,enforcement,"Expands FMLA leave provisions to include parental involvement leave, directly affecting private employer obligations under FMLA.",1,enforcement,"Amends the FMLA to create a new protected leave category for parental involvement in children's educational activities, directly expanding private employer leave obligations under federal labor law."
s124-116,A bill to amend the Fair Labor Standards Act of 1938 to prevent employers from using non-compete agreements in employment contracts for certain non-exempt employees.,Freedom to Compete Act,Labor and Employment,Competition and antitrust|Contracts and agency|Employment discrimination and employee rights|Labor standards|Labor-management relations,1.0,enforcement,"The bill amends the Fair Labor Standards Act to prohibit private employers from enforcing non-compete agreements against certain non-exempt employees, directly regulating employer conduct related to wage and hour protections.",1,enforcement,"Prohibits enforcement of non-compete agreements for certain lower wage workers, directly affecting private employer conduct under the FLSA.",1,enforcement,"The bill prohibits employers from enforcing non-compete agreements against certain non-exempt employees under the FLSA, directly regulating private employer conduct regarding employment contract terms and worker mobility rights."
hr631-112,To amend the Fair Labor Standards Act of 1938 to establish a base minimum wage for tipped employees.,WAGES Act,Labor and Employment,Wages and earnings,1.0,enforcement,"The bill amends the Fair Labor Standards Act to establish a mandatory base minimum wage for tipped employees, directly regulating private employer wage obligations.",1,enforcement,"Establishes a base minimum wage for tipped employees under the FLSA, directly affecting private employer wage obligations.",1,enforcement,"The bill amends the FLSA to raise the base minimum wage for tipped employees, directly strengthening private employer wage obligations under federal wage and hour law."
s479-113,"A bill to amend the Internal Revenue Code of 1986 to clarify the employment tax treatment and reporting of wages paid by professional employer organizations, and for other purposes.",Small Business Efficiency Act,Taxation,"Accounting and auditing|Contracts and agency|Employment taxes|Licensing and registrations|Social security and elderly assistance|Tax administration and collection, taxpayers|User charges and fees|Wages and earnings",1.0,enforcement,"The bill clarifies the employment tax treatment and reporting obligations for wages paid by professional employer organizations (PEOs), directly regulating how private employers and PEOs handle payroll taxes and wage reporting to ensure compliance with federal tax laws.",,,"The bill addresses the tax treatment and reporting of wages by professional employer organizations, focusing on tax administration rather than private employer wage or benefit obligations.",,,"This bill addresses tax administration and reporting procedures for professional employer organizations (PEOs) but does not regulate private employer wage, hour, or benefit obligations; it clarifies which entity remits payroll taxes rather than imposing substantive wage or benefit requirements on employers."
s3462-114,"A bill to provide for a 6-month delay in the effective date of a rule of the Department of Labor relating to income thresholds for determining overtime pay for executive, administrative, professional, outside sales, and computer employees.","Regulatory Relief for Small Businesses, Schools, and Nonprofits Act",Labor and Employment,,1.0,enforcement,"The bill delays the effective date of a Department of Labor rule revising income thresholds for overtime pay exemptions under the FLSA, directly affecting private employer wage and hour obligations.",1,enforcement,"Delays the implementation of a Department of Labor rule that revises income thresholds for overtime pay, affecting private employer wage obligations under the FLSA.",1,enforcement,"The bill delays implementation of a DOL rule that would expand overtime eligibility by raising salary thresholds for white-collar exemptions, directly affecting private employer wage and hour obligations under the FLSA."
s1248-113,"A bill to permit employees to request, and to ensure employers consider requests for, flexible work terms and conditions, and for other purposes.",Flexibility for Working Families Act,Labor and Employment,"Administrative remedies|Civil actions and liability|Congressional agencies|Congressional officers and employees|Department of Labor|Employment discrimination and employee rights|Government Accountability Office (GAO)|Government employee pay, benefits, personnel management|Government information and archives|Judicial review and appeals|Labor standards|Labor-management relations|Library of Congress|State and local government operations",1.0,enforcement,"The bill imposes new obligations on private employers to consider employee requests for flexible work terms and prohibits retaliation for such requests, directly regulating employer conduct regarding work schedules and hours under the oversight of the Department of Labor.",1,enforcement,"The bill enforces employer obligations to consider employee requests for flexible work terms, impacting private employer wage and hour conditions under labor standards.",1,enforcement,"Establishes new employer obligations regarding consideration of employee requests for flexible work arrangements and creates enforcement mechanisms through the Department of Labor, directly regulating private employer conduct related to work terms and conditions."
s1341-115,A bill to amend the Fair Labor Standards Act of 1938 to prohibit employment of children in tobacco-related agriculture by deeming such employment as oppressive child labor.,Children Don't Belong on Tobacco Farms Act,Labor and Employment,"Drug, alcohol, tobacco use|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,"The bill amends the Fair Labor Standards Act to prohibit private employers from engaging in oppressive child labor in tobacco agriculture, directly regulating employer conduct regarding youth employment.",1,enforcement,"Amends the FLSA to classify employment of minors in tobacco-related agriculture as oppressive child labor, directly affecting private employer labor standards.",1,enforcement,"Amends the FLSA to expand the definition of oppressive child labor by prohibiting employment of minors under 18 in tobacco-related agriculture, directly strengthening private employer child labor obligations under federal wage and hour law."
s1656-113,A bill to clarify that volunteers at a children's consignment event are not employees under the Fair Labor Standards Act of 1938.,Children's Consignment Event Recognition Act of 2013,Labor and Employment,"Labor standards|Retail and wholesale trades|Social work, volunteer service, charitable organizations",1.0,enforcement,"The bill amends the Fair Labor Standards Act to clarify the definition of 'employee,' thereby directly regulating private employer obligations regarding minimum wage and overtime exemptions for volunteers at consignment events.",1,enforcement,"Amends the FLSA to exclude certain volunteers from being classified as employees, affecting wage and hour obligations of private entities hosting children's consignment events.",1,enforcement,"The bill amends the FLSA to create a new exemption from minimum wage and overtime requirements for volunteers at children's consignment events, thereby weakening private employer wage obligations under federal labor standards."
s1386-115,"A bill to permit employees to request changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Schedules That Work Act,Labor and Employment,Civil actions and liability|Employee leave|Employment and training programs|Employment discrimination and employee rights|Food industry and services|Labor standards|Labor-management relations|Retail and wholesale trades|Wages and earnings|Worker safety and health,1.0,enforcement,"The bill imposes direct obligations on private employers regarding work schedules, advance notice, and reporting time pay, and prohibits retaliation for exercising these rights, thereby regulating private employer wage and hour conduct.",1,enforcement,"The bill enforces private employer obligations by requiring them to consider employee requests for schedule changes and to provide predictable work schedules, directly addressing wage and hour issues.",1,enforcement,"The bill directly regulates private employer wage and hour obligations by requiring reporting time pay, split shift pay, advance notice of work schedules, and mandating good faith consideration of employee schedule change requests, all of which are FLSA-adjacent wage and hour requirements imposed on non-governmental employers."
hr3910-115,To amend the Internal Revenue Code of 1986 to make lifetime income and managed account options of defined contribution retirement savings plans portable.,,Taxation,Employee benefits and pensions|Financial services and investments|Income tax deferral,1.0,enforcement,"The bill amends the Internal Revenue Code to regulate the portability and distribution mechanisms of employer-sponsored defined contribution retirement plans, directly affecting private employer obligations regarding employee pension benefits under ERISA.",,,"The bill addresses the portability of investment options within employer-sponsored retirement plans, focusing on tax treatment and investment management rather than imposing new mandatory obligations on private employers as plan sponsors.",,,"This bill modifies optional portability features for lifetime income and managed account investments in defined contribution plans, but does not impose new mandatory employer obligations regarding plan sponsorship, funding, fiduciary duties, or participant rights under ERISA."
s1188-113,A bill to amend the Internal Revenue Code of 1986 to modify the definition of full-time employee for purposes of the individual mandate in the Patient Protection and Affordable Care Act.,Forty Hours Is Full Time Act of 2013,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,enforcement,"The bill modifies the definition of a full-time employee for the ACA employer mandate, directly altering the obligations of private employers to provide health coverage under ERISA-related provisions.",1,enforcement,"Modifies the definition of 'full-time employee' for employer health coverage mandates, affecting employer obligations under ERISA-related health benefit provisions.",1,enforcement,"Modifies the full-time employee threshold under the ACA employer mandate from 30 to 40 hours per week, directly altering private employer obligations regarding provision of health benefits to employees."
hr397-112,"To repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 and to take meaningful steps to lower health care costs and increase access to health insurance coverage without raising taxes, cutting Medicare benefits for seniors, adding to the national deficit, intervening in the doctor-patient relationship, or instituting a government takeover of health care.",Reform Americans Can Afford Act of 2011,Health,"Abortion|Administrative law and regulatory procedures|Administrative remedies|Advisory bodies|Bankruptcy|Civil actions and liability|Comprehensive health care|Consumer affairs|Department of Health and Human Services|Disability and health-based discrimination|Drug safety, medical device, and laboratory regulation|Employee benefits and pensions|Executive agency funding and structure|Family relationships|Federal-Indian relations|Government information and archives|Government lending and loan guarantees|Health care costs and insurance|Health care coverage and access|Health care quality|Health programs administration and funding|Health promotion and preventive care|Higher education|Income tax credits|Intellectual property|Judicial procedure and administration|Licensing and registrations|Medicaid|Medical research|Medicare|Small business|State and local government operations|State and local taxation|Student aid and college costs|User charges and fees",1.0,enforcement,"The bill amends ERISA to establish governance rules for association health plans and mandates that group health plans continue dependent coverage until age 25, directly imposing obligations on private employers regarding their employee benefit plans.",,,"The bill primarily focuses on repealing the Affordable Care Act and modifying health insurance regulations, which do not directly impose new obligations on private employers regarding wage, hour, or benefit obligations under ERISA or related statutes.",1,enforcement,"The bill amends ERISA to impose new requirements on employer-sponsored group health plans, including dependent coverage mandates until age 25 and association health plan certification standards, directly affecting private employer benefit plan obligations."
hr1423-114,"To amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to exclude from the definition of health insurance coverage certain medical stop-loss insurance obtained by certain plan sponsors of group health plans.",Self-Insurance Protection Act,Health,Employee benefits and pensions|Health care costs and insurance|Insurance industry and regulation,1.0,enforcement,"The bill amends ERISA to clarify the regulatory status of stop-loss insurance for self-insured group health plans, directly affecting the compliance obligations and risk management structures of private employers sponsoring these benefit plans.",,,"The bill modifies the definition of health insurance coverage under ERISA and related statutes but does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",,,"This bill clarifies the regulatory treatment of stop-loss insurance for self-insured health plans but does not impose new wage, hour, or benefit obligations on private employers as plan sponsors."
s959-114,"A bill to establish a tax credit for on-site apprenticeship programs, and for other purposes.",Apprenticeship and Jobs Training Act of 2015,Taxation,Congressional oversight|Employee benefits and pensions|Employment and training programs|Government studies and investigations|Income tax credits|Income tax exclusion|Military education and training|Wages and earnings,1.0,tax_credit_introduction,"Introduces a tax credit for employer-provided job training through qualified apprenticeship programs, which qualifies under the exception for credits specifically tied to employer-provided job training.",1,tax_credit_introduction,"Introduces a new tax credit for employers who provide on-site apprenticeship programs, incentivizing private employer investment in employee training and development.",1,tax_credit_introduction,"Introduces a new tax credit for private employers who provide on-site apprenticeship training programs, directly incentivizing employer-provided job training which qualifies as a wage and hour/benefits-related employer obligation."
s2784-113,"A bill to direct the Secretary of Transportation to carry out activities to improve rail safety, and for other purposes.",Rail Safety Improvement Act of 2014,Transportation and Public Works,Accidents|Administrative law and regulatory procedures|Civil actions and liability|Commuting|Congressional oversight|Connecticut|Department of Transportation|Emergency planning and evacuation|Fires|Government information and archives|Government studies and investigations|Hazardous wastes and toxic substances|New Jersey|New York City|New York State|Oil and gas|Railroads|Roads and highways|Technology assessment|Telephone and wireless communication|Transportation employees|Transportation programs funding|Transportation safety and security|Worker safety and health,1.0,enforcement,"The bill revises and increases civil penalties for violations of employee hours of service and sleeping quarters requirements for railroad employees, directly regulating private employer obligations regarding worker hours and safety conditions.",,,"The bill focuses on rail safety improvements and transportation safety regulations, which do not directly relate to private employer wage, hour, or benefit obligations.",,,"This bill primarily regulates railroad safety, technology requirements, and operational standards for rail carriers; while it mentions transportation employees and worker safety incidentally, it does not address private employer wage, hour, overtime, benefits, pension obligations, or retaliation for protected leave under statutes like FLSA, ERISA, FMLA, or WARN."
s180-115,"A bill to amend the Immigration and Nationality Act to reform and reduce fraud and abuse in certain visa programs for aliens working temporarily in the United States, and for other purposes.",H-1B and L-1 Visa Reform Act of 2017,Immigration,"Administrative law and regulatory procedures|Administrative remedies|Civil actions and liability|Congressional oversight|Department of Labor|Foreign labor|Government employee pay, benefits, personnel management|Government studies and investigations|Immigration status and procedures|Science and engineering education|User charges and fees|Visas and passports|Wages and earnings",1.0,enforcement,"The bill strengthens enforcement mechanisms for private employers sponsoring H-1B and L-1 visas, including increased penalties for displacing U.S. workers, mandatory audits, and liability for lost wages and benefits, directly addressing private employer wage and benefit obligations.",1,enforcement,"The bill increases employer penalties for displacing U.S. workers and holds employers liable for lost wages and benefits, directly affecting private employer wage obligations.",1,enforcement,"The bill strengthens wage and hour protections for H-1B and L-1 visa workers by making employers liable to harmed employees for lost wages and benefits, prohibiting displacement of U.S. workers, prescribing wage rates and working conditions, and increasing penalties for violations—all direct private employer wage obligations under immigration labor law."
s852-115,"A bill to amend the Internal Revenue Code of 1986 to protect older, longer service and grandfathered participants in defined benefit plans.",Retirement Security Preservation Act of 2017,Taxation,Employee benefits and pensions|Income tax deferral,1.0,enforcement,"The bill modifies Internal Revenue Code nondiscrimination and participation requirements for defined benefit pension plans, directly regulating private employer obligations under ERISA to prevent discriminatory plan design and ensure compliance with retirement benefit standards.",,,"The bill modifies nondiscrimination requirements for defined benefit retirement plans, focusing on tax code adjustments rather than imposing new mandatory obligations on private employers as plan sponsors under ERISA.",1,enforcement,"Modifies ERISA-related nondiscrimination and minimum participation requirements that private employers must satisfy when sponsoring defined benefit pension plans, directly affecting employer obligations as plan sponsors."
hr1848-114,To amend the Fair Labor Standards Act of 1938 to prohibit employment of children in tobacco-related agriculture by deeming such employment as oppressive child labor.,,Labor and Employment,"Drug, alcohol, tobacco use|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,"The bill amends the Fair Labor Standards Act to prohibit private employers from employing children in tobacco-related agriculture, directly regulating private employer conduct regarding child labor violations.",1,enforcement,"The bill amends the FLSA to prohibit child labor in tobacco-related agriculture, directly regulating private employer conduct regarding youth employment.",1,enforcement,"The bill amends the FLSA to expand the definition of oppressive child labor by prohibiting employment of minors under 18 in tobacco-related agriculture, directly strengthening private employer wage and hour obligations regarding child labor protections."
hr628-115,"To amend the Public Health Service Act to prohibit application of preexisting condition exclusions and to guarantee availability of health insurance coverage in the individual and group market, contingent on the enactment of legislation repealing the Patient Protection and Affordable Care Act, and for other purposes.",Guaranteed Health Coverage for Pre-Existing Conditions Act of 2017,Health,Disability and health-based discrimination|Employee benefits and pensions|Genetics|Health care costs and insurance|Health care coverage and access|Insurance industry and regulation,1.0,enforcement,"The bill imposes obligations on private employers sponsoring group health plans by mandating guaranteed availability of coverage and prohibiting preexisting condition exclusions, directly regulating employer-sponsored benefit plan terms under ERISA-related statutes.",,,"The bill addresses health insurance coverage requirements for preexisting conditions, which primarily involves insurance market regulations rather than private employer wage or benefit obligations under ERISA.",1,enforcement,"The bill maintains ERISA-related requirements that employer-sponsored group health plans must cover preexisting conditions and accept all applicants, directly imposing coverage obligations on private employers as plan sponsors."
