bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,gpt_categories,gpt_bill_type,gpt_reason
hr2380-111,111,2009-05-13,Taxation,Coal|Employment taxes|Government trust funds|Inflation and prices|Legislative rules and procedure|Medicare|Oil and gas|Pollution liability|Sales and excise taxes|Social security and elderly assistance,To amend the Internal Revenue Code of 1986 to reduce social security payroll taxes and to reduce the reliance of the United States economy on carbon-based energy sources.,"Raise Wages, Cut Carbon Act of 2009",,,"The bill primarily addresses environmental taxation and social security payroll tax reductions, which do not relate to private employer wage or benefit obligations."
hr4822-106,106,2000-07-11,Finance and Financial Sector,Administrative procedure|Bank capital|Bank loans|Community development banking|Community development corporations|Congressional investigations|Congressional reporting requirements|Enterprise zones|Federal Home Loan Bank Board|Federal advisory bodies|Federal aid to community development|Federal home loan banks|Federally-assisted loans|Federally-guaranteed loans|Government corporations|Government lending|Government securities|Housing authorities|Housing finance|Infrastructure|Interest|Low-income housing|Moderate income housing|Mortgage banks|Mortgages|Poor|Resolution Funding Corporation|Urban affairs,"To amend the Housing and Community Development Act of 1974 and the Federal Home Loan Bank Act to increase capital available to communities for community and economic development projects, and for other purposes.",American Communities Investment Act of 1999,,,"The bill focuses on community and economic development financing, not on private employer wage or benefit obligations."
hr5080-114,114,2016-04-27,Crime and Law Enforcement,Administrative law and regulatory procedures|Criminal procedure and sentencing|Firearms and explosives|Smuggling and trafficking|U.S. Sentencing Commission,To prevent gun trafficking.,Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2016,,,The bill addresses criminal penalties for gun trafficking and does not involve private employer wage or benefit obligations.
hr1978-112,112,2011-05-25,Taxation,"Child safety and welfare|Criminal investigation, prosecution, interrogation|Tax administration and collection, taxpayers",To amend the Internal Revenue Code of 1986 to permit the disclosure of certain tax return information for the purpose of missing or exploited children investigations.,Recovering Missing Children Act,,,"The bill pertains to the disclosure of tax information for child safety investigations, not private employer wage or benefit obligations."
hr3214-114,114,2015-07-27,Transportation and Public Works,"Arctic Ocean|Arctic and polar regions|Coast guard|Department of Homeland Security|Drug trafficking and controlled substances|Executive agency funding and structure|Government trust funds|International organizations and cooperation|Marine and coastal resources, fisheries|Marine and inland water transportation|Transportation programs funding|Transportation safety and security","To amend title 14, United States Code, to establish the National Icebreaker Fund to pay the costs of construction, alteration, renovation, lease, or charter of icebreakers for the Coast Guard, and for other purposes.",National Icebreaker Fund Act of 2015,,,"The bill establishes a fund for icebreaker construction and operations for the Coast Guard, which does not involve private employer wage or benefit obligations."
s2827-110,110,2008-04-07,Energy,Air pollution control|Alternative energy sources|Climate change and greenhouse gases|Fuel|Government procurement|Government vehicles|Synthetic fuel,A bill to repeal a requirement with respect to the procurement and acquisition of alternative fuels.,,,,"The bill addresses government procurement of alternative fuels, not private employer wage or benefit obligations."
hr395-115,115,2017-01-10,Congress,Appropriations|Government liability|Legislative rules and procedure,"To end the practice of including more than one subject in a single bill by requiring that each bill enacted by Congress be limited to only one subject, and for other purposes.",One Subject at a Time Act,,,The bill addresses legislative procedures and does not involve private employer wage or benefit obligations.
hr4573-112,112,2012-04-24,Foreign Trade and International Finance,Tariffs,"To extend and modify the reduction of duty on Bentazon, sodium salt.",,,,The bill modifies tariffs on a chemical product and does not involve private employer wage or benefit obligations.
hr4900-108,108,2004-07-22,Public Lands and Natural Resources,"Administrative procedure|Administrative remedies|Advice and consent of the Senate|Air pollution control|Algal blooms|Aquaculture|Arctic and polar regions|Auditing|Authorization|Biological diversity|Black colleges|Citizen lawsuits|Climate|Climate change and greenhouse gases|Coastal zone|Communication in science|Conferences|Congressional reporting requirements|Continental shelf|Coral reefs|Data banks|Department of Commerce|Developing countries|Ecological research|Ecosystem management|Electronic data interchange|Electronic government information|Elementary and secondary education|Elementary education|Environmental assessment|Environmental education|Environmental monitoring|Environmental technology|Estuaries|Executive Office of the President|Executive reorganization|Federal advisory bodies|Federal aid to education|Federal aid to research|Federal officials|Federal-Indian relations|Federal-local relations|Federal-state relations|Federal-territorial relations|Fishery management|Gas in submerged lands|Government attorneys|Government internships|Government paperwork|Government publicity|Government trust funds|Governors|Graduate education|Grants-in-aid|Great Lakes|Habitat conservation|Higher education|Injunctions|International cooperation in science|International environmental cooperation|Judicial review|Legal fees|Licenses|Maps|Marine and coastal resources, fisheries|Marine animals","To establish a national policy for our oceans, to strengthen the National Oceanic and Atmospheric Administration, to establish a National Oceans Council, and for other purposes.","Oceans Conservation, Education, and National Strategy for the 21st Century Act",,,"The bill focuses on ocean conservation, education, and management, with no relation to private employer wage or benefit obligations."
hr4873-108,108,2004-07-20,Immigration,Administrative procedure|Administrative remedies|Aliens|Armed forces abroad|Department of Homeland Security|Government paperwork|Government publicity|Naturalization,To amend the Immigration and Nationality Act to provide for flexibility in the naturalization process for aliens in active duty service in the Armed Forces abroad.,Active Duty Naturalization Accommodation Act of 2004,,,"The bill addresses naturalization procedures for aliens in active duty service, not private employer wage or benefit obligations."
s2597-107,107,2002-06-06,Education,Alaska|Family medicine|Federal aid to medical education|Higher education|Idaho|Mentoring|Montana|Physicians|Rural education|Rural health|Washington State|Wyoming,A bill to authorize a 3-year demonstration program to recruit and train physicians to serve in a rural setting.,Rural Health Training Incentive Act,,,"The bill focuses on funding medical education programs for rural healthcare, not on private employer wage or benefit obligations."
hr5124-112,112,2012-04-27,Foreign Trade and International Finance,Tariffs,To extend the temporary suspension of duty on strontium halophosphate doped with europium.,,,,"The bill addresses tariff suspensions on a chemical compound, unrelated to private employer wage or benefit obligations."
hr1884-114,114,2015-04-16,Government Operations and Politics,"Congressional tributes|Government buildings, facilities, and property|New York State|Postal service","To designate the facility of the United States Postal Service located at 206 West Commercial Street in East Rochester, New York, as the ""Officer Daryl R. Pierson Memorial Post Office Building"".",,,,"The bill designates a postal facility name, which does not involve private employer wage or benefit obligations."
hr1126-113,113,2013-03-13,Government Operations and Politics,Military history|Monuments and memorials|Presidential administrations,To facilitate the completion of an appropriate national memorial to Dwight D. Eisenhower.,Dwight D. Eisenhower Memorial Completion Act,,,The bill concerns the establishment of a national memorial and does not involve private employer wage or benefit obligations.
s3539-112,112,2012-09-13,Health,"Administrative law and regulatory procedures|Department of Health and Human Services|Health facilities and institutions|Health information and medical records|Health personnel|Health technology, devices, supplies|Medicaid",A bill to encourage the adoption and use of certified electronic health record technology by safety net providers and clinics.,Medicaid Information Technology to Enhance Community Health Act of 2012,,,"The bill focuses on incentivizing the adoption of electronic health record technology by safety net providers and clinics, which does not involve private employer wage or benefit obligations."
s2433-115,115,2018-02-15,Armed Forces and National Security,"Asia|Philippines|Veterans' education, employment, rehabilitation|Veterans' loans, housing, homeless programs|Veterans' medical care|Veterans' pensions and compensation","A bill to amend title 38, United States Code, to deem certain service in the organized military forces of the Government of the Commonwealth of the Philippines and the Philippine Scouts to have been active service for purposes of benefits under programs administered by the Secretary of Veterans Affairs, and for other purposes.",Filipino Veterans Fairness Act of 2018,,,"The bill addresses veterans' benefits eligibility for Filipino veterans, which involves government-administered programs, not private employer wage or benefit obligations."
hr524-114,114,2015-01-26,Education,"Academic performance and assessments|Education programs funding|Elementary and secondary education|Intergovernmental relations|School administration|State and local government operations|Teaching, teachers, curricula","To prohibit the Federal Government from mandating, incentivizing, or coercing States to adopt the Common Core State Standards or any other specific academic standards, instructional content, curricula, assessments, or programs of instruction.",Local Control of Education Act,,,"The bill addresses federal influence over state education standards and curricula, not private employer wage or benefit obligations."
hr3128-107,107,2001-10-12,Armed Forces and National Security,Federal-territorial relations|Military pay|National Guard|Northern Mariana Islands,To authorize the establishment of a National Guard of the Northern Mariana Islands.,,,,"The bill pertains to the establishment of a National Guard in the Northern Mariana Islands, involving military pay and federal-territorial relations, not private employer wage or benefit obligations."
s2161-106,106,2000-03-02,Taxation,Diesel motor|Federal aid highway program|Fuel|Gasoline tax|Government trust funds|Tax rates,A bill to amend the Internal Revenue Code of 1986 to impose a 1 year moratorium on certain diesel fuel excise taxes and to require the Secretary of the Treasury to transfer amounts to the Highway Trust Fund to cover any shortfall.,American Transportation Recovery and Highway Trust Fund Protection Act of 2000,,,"The bill addresses diesel fuel excise taxes and funding for the Highway Trust Fund, with no relation to private employer wage or benefit obligations."
hr5046-107,107,2002-06-27,Public Lands and Natural Resources,Appropriations|Archives|Collection of accounts|Colorado|Construction costs|Cultural centers|Cultural property|Gifts|History|Maintenance and repair|National parks|Tourism,To provide for the use of private and appropriated funds for certain facilities related to Mesa Verde National Park.,,,,"The bill concerns the use of funds for facilities related to Mesa Verde National Park, with no relation to private employer wage or benefit obligations."
s2516-113,113,2014-06-24,Government Operations and Politics,"Business records|Congressional elections|Corporate finance and management|Elections, voting, political campaign regulation|Financial services and investments|Government information and archives|Labor-management relations|Political advertising|Political parties and affiliation|Public participation and lobbying|Tax-exempt organizations","A bill to amend the Federal Election Campaign Act of 1971 to provide for additional disclosure requirements for corporations, labor organizations, Super PACs and other entities, and for other purposes.",Democracy Is Strengthened by Casting Light On Spending in Elections Act of 2014,,,The bill focuses on campaign finance disclosure requirements and does not address private employer wage or benefit obligations.
s1990-107,107,2002-03-06,Health,Consumer organizations|Contraceptives|Government publicity|Health education|Higher education|Nonprofit organizations,A bill to establish a public education awareness program relating to emergency contraception.,Emergency Contraception Education Act,,,"The bill focuses on public education and awareness regarding emergency contraception, with no relation to private employer wage or benefit obligations."
s1228-112,112,2011-06-16,Crime and Law Enforcement,"Administrative law and regulatory procedures|Criminal procedure and sentencing|Fraud offenses and financial crimes|Military assistance, sales, and agreements|Military operations and strategy|Military procurement, research, weapons development|U.S. Sentencing Commission",A bill to prohibit trafficking in counterfeit military goods or services.,Combating Military Counterfeits Act of 2011,,,"The bill addresses criminal penalties for trafficking counterfeit military goods, which does not involve private employer wage or benefit obligations."
hr3282-115,115,2017-07-18,Transportation and Public Works,Administrative law and regulatory procedures|Business records|Department of Transportation|Government information and archives|Motor carriers|Motor vehicles|Transportation employees|Transportation safety and security|Worker safety and health,"To amend title 49, United States Code, with respect to electronic logging devices, and for other purposes.",ELD Extension Act of 2017,,,"The bill delays the implementation of electronic logging devices for commercial motor vehicles, which relates to transportation safety and regulatory compliance, not private employer wage or benefit obligations."
s513-110,110,2007-02-07,Armed Forces and National Security,Disaster relief|Disasters|Insurgency|Military civic action|War and emergency powers,"A bill to amend title 10, United States Code, to revive previous authority on the use of the Armed Forces and the militia to address interference with State or Federal law, and for other purposes.",,,,"The bill addresses military authority and national security, not private employer wage or benefit obligations."
hr5391-106,106,2000-10-05,Commemorations,Commemorations|Congressional reporting requirements|Emblems|Executive reorganization|Federal advisory bodies|Government paperwork|Memorial Day|Presidential commissions|Signs and symbols|White House conferences,To establish the White House Commission on the National Moment of Remembrance.,National Moment of Remembrance Act,,,"The bill establishes a commission for commemorating Memorial Day, with no relation to private employer wage or benefit obligations."
s524-110,110,2007-02-07,Agriculture and Food,Administrative procedure|Agricultural labor|Agricultural subsidies|California|Citrus fruits|Crop insurance|Dairy industry|Department of Agriculture|Disaster relief|Emergency housing|Federal budgets|Floods|Food relief|Forestry|Fruit|Grants-in-aid|Horticulture|Housing subsidies|Livestock|Losses|Migrant labor|Mortgages|Nuts|Off-budget expenditures|Rental housing|Seasonal labor|Small business|Trees|Unemployment|Unemployment insurance|Vegetables|Weather,"A bill to provide emergency agricultural disaster assistance for agricultural producers, manufacturers, and workers in the State of California.",Emergency Farm Assistance Act of 2007,,,"The bill provides disaster assistance and relief to agricultural producers and workers in California, focusing on agricultural losses and unemployment due to disasters, without addressing private employer wage or benefit obligations."
hr2455-107,107,2001-07-10,,Private Legislation|Ships,To authorize the Secretary of Transportation to convey the vessel USS SPHINX to the Dunkirk Historical Lighthouse and Veterans Park Museum for use as a military museum.,,,,The bill involves the conveyance of a military vessel for museum use and does not address private employer wage or benefit obligations.
hr70-109,109,2005-01-04,Environmental Protection,Environmental health|Environmental law enforcement|Incineration|Interstate commerce|Landfills|Municipal solid waste|Referendum|Refuse and refuse disposal|State-local relations|Transboundary pollution|Transportation of hazardous substances|User charges|Waste disposal sites,To authorize States to regulate the receipt and disposal of out-of-State municipal solid waste.,State Waste Empowerment and Enforcement Provision Act of 2005,,,"The bill addresses state regulation of out-of-State municipal solid waste disposal, which does not involve private employer wage or benefit obligations."
s389-111,111,2009-02-05,Commerce,Administrative law and regulatory procedures|Child health|Consumer Product Safety Commission|Hazardous wastes and toxic substances|Product safety and quality,"A bill to establish a conditional stay of the ban on lead in children's products, and for other purposes.",,,,"The bill addresses product safety regulations concerning lead in children's products, not private employer wage or benefit obligations."
s2761-113,113,2014-07-31,Transportation and Public Works,Performance measurement|Regional and metropolitan planning|Roads and highways|Transportation programs funding|Urban and suburban affairs and development,"A bill to amend title 23, United States Code, to permit the consolidation of metropolitan planning organizations, and for other purposes.",Local Empowerment Act,,,"The bill addresses transportation planning and funding for metropolitan planning organizations, with no relation to private employer wage or benefit obligations."
hr435-111,111,2009-01-09,Taxation,Alternative and renewable resources|Electric power generation and transmission|Income tax credits,To amend the Internal Revenue Code of 1986 to provide a 5-year extension of the credit for electricity produced from certain renewable resources.,Renewable Energy Production Tax Credit Extension Act of 2009,,,"The bill extends a tax credit for renewable energy production, which does not relate to private employer wage or benefit obligations."
hr5104-111,111,2010-04-21,Taxation,Income tax deductions|Oil and gas,To amend the Internal Revenue Code of 1986 to allow for the deduction for domestic oil related production activities of companies which are not major integrated oil companies.,,,,"The bill modifies tax deductions for domestic oil production activities, which does not relate to private employer wage or benefit obligations."
hr1354-110,110,2007-03-06,Armed Forces and National Security,"Afghanistan|Anthrax|Armed forces reserves|Brain|Cemeteries and funerals|Commemorations|Congress and military policy|Congressional reporting requirements|Counseling|Disabled|Drugs|Electronic government information|Family services|Federal employees|Flags|Government life insurance|Government publicity|Head injuries|Health counseling|Higher education|Hospital care|Housing for the disabled|Iraq|Iraq compilation|Marriage counseling|Medical screening|Mental health services|Middle East and North Africa|Military discharges|Military medals, decorations, etc.|Military operations|Mortgages|National Guard|Nursing homes|Physical examinations|Post-traumatic stress disorder|Recruiting and enlistment|Right of privacy|Small business|South Asia|Survivors' benefits|Terrorism|Vaccines|Veterans' disability compensation|Veterans' education|Veterans' employment|Veterans' loans|Veterans' pensions|Veterans' rehabilitation|Vocational rehabilitation|War casualties","To amend titles 10 and 38, United States Code, to improve benefits and services for members of the Armed Forces, veterans of the Global War on Terrorism, and other veterans, to require reports on the effects of the Global War on Terrorism, and for other purposes.",Lane Evans Veterans Health and Benefits Improvement Act of 2007,,,"The bill focuses on improving benefits and services for military members and veterans, which involves government programs and services, not private employer wage or benefit obligations."
hr7318-115,115,2018-12-17,Government Operations and Politics,"Accounting and auditing|Advisory bodies|Government buildings, facilities, and property|Government studies and investigations","To amend the Federal Assets Sale and Transfer Act of 2016 to ensure that the Public Buildings Reform Board has adequate time to carry out the responsibilities of the Board, and for other purposes.",,,,"The bill pertains to government operations and the management of public buildings, with no relation to private employer wage or benefit obligations."
hr492-109,109,2005-02-01,Armed Forces and National Security,California|Directories|Gifts|Government paperwork|Port authorities|Surplus government property|Warships,"To provide for the transfer of the U.S.S. IOWA to the Port of Stockton, California.",,,,The bill concerns the transfer of a naval vessel and does not involve private employer wage or benefit obligations.
s307-110,110,2007-01-16,Water Resources Development,Dams|Fishery management|Hydroelectric power|Missouri River development|Montana|Rivers|Watersheds,"A bill to establish a minimum rate of release for water from the Yellowtail Dam, Montana.",,,,"The bill addresses water resource management and dam operations, with no relation to private employer wage or benefit obligations."
s1204-107,107,2001-07-19,Health,"Coinsurance|Employee health benefits|Health insurance|Hospital care|Immunosuppressive drugs|Insurance premiums|Kidney diseases|Medicare|Transplantation of organs, tissues, etc.",A bill to amend title XVIII of the Social Security Act to provide adequate coverage for immunosuppressive drugs furnished to beneficiaries under the medicare program that have received an organ transplant.,Comprehensive Immunosuppressive Drug Coverage for Transplant Patients Act of 2001,,,"The bill addresses Medicare coverage for immunosuppressive drugs and group health plan requirements, not private employer wage or benefit obligations."
s688-112,112,2011-03-30,Health,"Caribbean area|Computers and information technology|Health facilities and institutions|Health information and medical records|Health technology, devices, supplies|Medicare|Puerto Rico|U.S. territories and protectorates",A bill to amend title XVIII of the Social Security Act to apply the additional Medicare HITECH payment provisions to hospitals in Puerto Rico.,Puerto Rico Hospital HITECH Amendments of 2011,,,"The bill amends Medicare payment provisions for hospitals in Puerto Rico, which involves government reimbursement rates, not private employer wage or benefit obligations."
hr2615-110,110,2007-06-07,Armed Forces and National Security,Disabled|Drug abuse|Drug addiction|Ex-offenders|Mentally disabled|Military discharges|Security clearances,"To amend title 10, United States Code, to repeal the limitation on the authority of the Department of Defense to issue security clearances for certain persons.",,,,"The bill addresses security clearance policies within the Department of Defense, not private employer wage or benefit obligations."
s2625-114,114,2016-03-03,Education,Assault and harassment offenses|Child safety and welfare|Crimes against children|Criminal justice information and records|Domestic violence and child abuse|Elementary and secondary education|Employee hiring|Military personnel and dependents|Personnel records|Pornography|Sex offenses|User charges and fees|Violent crime,A bill to protect our servicemembers' children from convicted pedophiles and other felons infiltrating the classroom.,Protecting Our Servicemembers' Children from Sexual and Violent Predators Act,,,The bill focuses on criminal background checks for school employees and does not address private employer wage or benefit obligations.
s352-111,111,2009-01-29,"Science, Technology, Communications","Administrative law and regulatory procedures|Broadcasting, cable, digital technologies|Consumer affairs|Department of Commerce|Emergency communications systems|Federal Communications Commission (FCC)|Licensing and registrations|Telecommunication rates and fees|Television and film",A bill to postpone the DTV transition date.,DTV Delay Act,,,"The bill addresses the transition from analog to digital television broadcasting and related regulatory procedures, which do not involve private employer wage or benefit obligations."
hr3601-106,106,2000-02-08,Public Lands and Natural Resources,"Associations, institutions, etc.|Government liability|Land transfers|Liability for environmental damages|Lighthouses and lightships|Michigan","To direct the Secretary of the Army to convey the lighthouse located at Ontonagon, Michigan, to the Ontonagon County Historical Society, and for other purposes.",David L. Corbett Lighthouse Transfer Act,,,"The bill involves the transfer of land and a lighthouse to a historical society, with no relation to private employer wage or benefit obligations."
hr1869-114,114,2015-04-16,Energy,Congressional oversight|Consumer affairs|Electric power generation and transmission|Environmental regulatory procedures|Public utilities and utility rates|Wildlife conservation and habitat protection,"To provide for transparency and reporting related to direct and indirect costs incurred by the Bonneville Power Administration, the Western Area Power Administration, the Southwestern Power Administration, and the Southeastern Power Administration related to compliance with any Federal environmental laws impacting the conservation of fish and wildlife, and for other purposes.",Environmental Compliance Cost Transparency Act of 2015,,,"The bill addresses transparency in environmental compliance costs for power administrations, not private employer wage or benefit obligations."
hr3342-108,108,2003-10-20,Public Lands and Natural Resources,Alabama|Arkansas|Commemorations|Congressional reporting requirements|Federal-Indian relations|Government publicity|Governmental investigations|Historic sites|History|Kentucky|Minorities|Missouri|Oklahoma|Tennessee|Trails,"To amend the National Trails System Act to update the feasibility and suitability study originally prepared for the Trail of Tears National Historic Trail and provide for the inclusion of new trail segments for such trail, and for other purposes.",,,,"The bill pertains to public lands and historic trails, with no relation to private employer wage or benefit obligations."
hr4966-112,112,2012-04-27,Economics and Public Finance,"Appropriations|Budget deficits and national debt|Budget process|Defense spending|Veterans' education, employment, rehabilitation|Veterans' loans, housing, homeless programs|Veterans' medical care|Veterans' pensions and compensation",To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to replace the sequester established by the Budget Control Act of 2011.,Sequester Replacement Act of 2012,,,"The bill addresses budgetary and sequestration adjustments related to government spending, including veterans' programs, without involving private employer wage or benefit obligations."
hr3152-116,116,2019-06-06,Government Operations and Politics,"Congressional tributes|Government buildings, facilities, and property|Indiana|Members of Congress|Postal service","To designate the facility of the United States Postal Service located at 456 North Meridian Street in Indianapolis, Indiana, as the ""Richard G. Lugar Post Office"".",,,,"The bill designates a postal facility name, unrelated to private employer wage or benefit obligations."
hr6537-112,112,2012-09-21,Foreign Trade and International Finance,"Agricultural trade|Animal and plant health|Congressional oversight|Food supply, safety, and labeling|Normal trade relations, most-favored-nation treatment|Trade agreements and negotiations|Trade restrictions","To amend the Trade Act of 1974 to make improvements to the Generalized System of Preferences, and for other purposes.",Generalized System of Preferences Improvement Act,,,"The bill addresses foreign trade and international finance, specifically the designation of beneficiary developing countries under the Generalized System of Preferences, without involving private employer wage or benefit obligations."
hr4152-111,111,2009-11-19,Education,Department of Education|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Executive agency funding and structure|Federal-Indian relations|Higher education|Indian social and development programs|Racial and ethnic relations|School athletics,"To authorize the Secretary of Education to make grants to eligible schools to assist such schools to discontinue use of a derogatory or discriminatory name or depiction as a team name, mascot, or nickname, and for other purposes.",Native Act to Transform Imagery in Various Environments,,,"The bill focuses on educational grants to change derogatory school mascots and names, not on private employer wage or benefit obligations."
hr4102-106,106,2000-03-28,Foreign Trade and International Finance,Energy supplies|Export controls|Foreign loans|International agencies|International monetary system|OPEC countries|Petroleum|Petroleum prices|Sanctions (International law),"To direct the Secretary of the Treasury to instruct the United States Executive Director at the International Monetary Fund to oppose any new loan by the International Monetary Fund to any country that is acting to restrict oil production to the detriment of the United States economy, except in emergency circumstances.",,,,"The bill addresses international finance and energy policy, with no relation to private employer wage or benefit obligations."
hr3341-112,112,2011-11-03,Immigration,Asia|Border security and unlawful immigration|Canada|China|Congressional oversight|Housing finance and home ownership|International organizations and cooperation|Internet and video services|Terrorism|Travel and tourism|User charges and fees|Visas and passports,To amend the Immigration and Nationality Act to stimulate international tourism to the United States.,Visa Improvements to Stimulate International Tourism to the United States of America Act,,,The bill focuses on visa improvements to stimulate international tourism and does not address private employer wage or benefit obligations.
hr372-116,116,2019-01-09,Transportation and Public Works,"Department of Homeland Security|Government employee pay, benefits, personnel management|Law enforcement officers|Transportation safety and security","To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of Transportation Security Administration employees to receive public safety officers' death benefits, and for other purposes.",Honoring Our Fallen TSA Officers Act,,,"The bill extends death benefits to TSA employees, which involves government employee benefits, not private employer wage or benefit obligations."
hr4201-109,109,2005-11-02,Government Operations and Politics,Caregivers|Cost of living adjustments|Disabled|Federal employees|Workers' compensation,"To amend title 5, United States Code, to increase the amount of additional compensation payable to an employee who is disabled and requires the services of an attendant, and for other purposes.",Joseph E. Keane Federal Employees Freedom Act,,,"The bill addresses compensation adjustments for federal employees, which does not involve private employer wage or benefit obligations."
s148-108,108,2003-01-13,Government Operations and Politics,Cabinet officers|Department of Homeland Security|Presidential succession,A bill to provide for the Secretary of Homeland Security to be included in the line of Presidential succession.,,,,"The bill addresses presidential succession and government operations, not private employer wage or benefit obligations."
hr13-110,110,2007-01-04,Water Resources Development,California|Governmental investigations|Infrastructure|Water supply,"To direct the Secretary of the Army to conduct a study to determine the feasibility of carrying out a project for water supply for Rialto, Fontana, and Colton, California.",Inland Empire Water Resources Preservation Act,,,"The bill involves a feasibility study for a water supply project, unrelated to private employer wage or benefit obligations."
hr2432-112,112,2011-07-06,Water Resources Development,"Aquatic ecology|Economic performance and conditions|Environmental assessment, monitoring, research|Floods and storm protection|Great Lakes|Illinois|Indiana|Marine and inland water transportation|Mississippi River|Unemployment|Watersheds",To provide for a feasibility study before carrying out any Federal action relating to the Chicago Area Water System.,,,,"The bill focuses on a feasibility study related to water resources development and its economic impact, not on private employer wage or benefit obligations."
s3602-112,112,2012-09-20,Agriculture and Food,"Budget deficits and national debt|Citizenship and naturalization|Congressional oversight|Drug, alcohol, tobacco use|Employment and training programs|Food assistance and relief|Government information and archives|State and local government operations",A bill to repeal the nutrition entitlement programs and establish a food stamp block grant program.,Food Stamp Restoration Act of 2012,,,The bill addresses the restructuring of food assistance programs and does not involve private employer wage or benefit obligations.
hr5620-114,114,2016-07-05,Armed Forces and National Security,"Administrative remedies|Congressional oversight|Congressional tributes|Department of Veterans Affairs|Disability and paralysis|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Emergency medical services and trauma care|Employee hiring|Employee performance|Employment discrimination and employee rights|Evidence and witnesses|Executive agency funding and structure|Federal officials|Government employee pay, benefits, personnel management|Government ethics and transparency, public corruption|Government information and archives|Government studies and investigations|Health care coverage and access|Health care quality|Health facilities and institutions|Health information and medical records|Health personnel|Health technology, devices, supplies|Hearing, speech, and vision care|Hospital care|Medical education|Medical research|Medical tests and diagnostic methods|Merit Systems Protection Board|Military medicine|Military personnel and dependents|National Guard and reserves|Pedestrians and bicycling|Performance measurement|Prescription drugs|Public contracts and procurement|Transportation costs|Veterans' education, employment, rehabilitation|Veterans' medical care|Veterans' organizations and recognition|Veterans' pensions and compensation|Women's health","To amend title 38, United States Code, to provide for the removal or demotion of employees of the Department of Veterans Affairs based on performance or misconduct, and for other purposes.",VA Accountability First and Appeals Modernization Act of 2016,,,"The bill addresses VA employee performance and misconduct, which involves government employees, not private employer wage or benefit obligations."
s1308-109,109,2005-06-23,Foreign Trade and International Finance,Agriculture in foreign trade|Authorization|Department of Commerce|Executive reorganization|International competitiveness|Small business|Trade adjustment assistance,"A bill to establish an Office of Trade Adjustment Assistance, and for other purposes.",Trade Adjustment Assistance for Firms Reorganization Act,,,"The bill focuses on trade adjustment assistance for firms affected by import competition, not on private employer wage or benefit obligations."
s1357-108,108,2003-06-26,Armed Forces and National Security,Air force|Appropriations|Architecture|Armed forces abroad|Armed forces reserves|Army|Ballistic missile defenses|Buy American|Competitive bidding|Congress and military policy|Congressional oversight|Congressional reporting requirements|Construction costs|Defense budgets|Defense contracts|Defense procurement|Department of Defense|Easements|East Asia|Engineering|Federal advisory bodies|Foreign exchange|Former Soviet states|Government contractors|Government trust funds|Governmental investigations|Home repair and improvement|Infrastructure|Iron and steel industry|Islands|Japan|Joint ventures|Land transfers|Marines|Middle East and North Africa|Military base closures|Military bases|Military construction operations|Military dependents|Military housing|Military posture|Military readiness|Military training|NATO countries|NATO military forces|National Guard|Navy|Pacific area|Persian Gulf States|Property tax|Relocation|Rescission of appropriated funds|Road construction|South Korea|Steel,"An original bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2004, and for other purposes.","Military Construction Appropriations Act, 2004",,,"The bill appropriates funds for military construction and family housing for the Department of Defense, which does not involve private employer wage or benefit obligations."
s514-115,115,2017-03-02,Armed Forces and National Security,"Crime victims|Department of Veterans Affairs|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Emergency medical services and trauma care|Health facilities and institutions|Health technology, devices, supplies|Neurological disorders|Sex offenses|Veterans' medical care",A bill to direct the Secretary of Veterans Affairs to carry out a pilot program to provide access to magnetic EEG/EKG-guided resonance therapy to veterans.,No Hero Left Untreated Act,,,"The bill establishes a VA pilot program for veteran medical treatment, not involving private employer wage or benefit obligations."
hr3731-110,110,2007-10-02,Foreign Trade and International Finance,Tariff,To suspend temporarily the duty on lutetium oxide.,,,,"The bill addresses tariff suspension on lutetium oxide, unrelated to private employer wage or benefit obligations."
hr5513-109,109,2006-05-25,Health,Medical fees|Medical supplies|Medicare|Oxygen,To amend part B of title XVIII of the Social Security Act to restore the Medicare treatment of ownership of oxygen equipment to that in effect before enactment of the Deficit Reduction Act of 2005.,Home Oxygen Patient Protection Act of 2006,,,"The bill addresses Medicare payment policies for oxygen equipment, which involves government reimbursement rates, not private employer wage or benefit obligations."
s1275-110,110,2007-05-02,Health,Blood pressure|Cholesterol|Grants-in-aid|Medicaid|Medical screening|Medical tests|Preventive medicine|Prostate cancer,A bill to amend the Public Health Service Act and title XIX of the Social Security Act to provide for a screening and treatment program for prostate cancer in the same manner as is provided for breast and cervical cancer.,Thomas J. Manton Prostate Cancer Early Detection and Treatment Act of 2007,,,"The bill focuses on public health initiatives for prostate cancer screening and treatment, not on private employer wage or benefit obligations."
