bill_id,congress_term,introduced_at,policy_area,subjects,official_title,short_title,claude_categories,claude_bill_type,claude_reason
s688-112,112,2011-03-30,Health,"Caribbean area|Computers and information technology|Health facilities and institutions|Health information and medical records|Health technology, devices, supplies|Medicare|Puerto Rico|U.S. territories and protectorates",A bill to amend title XVIII of the Social Security Act to apply the additional Medicare HITECH payment provisions to hospitals in Puerto Rico.,Puerto Rico Hospital HITECH Amendments of 2011,,,"This bill adjusts Medicare payment provisions to hospitals in Puerto Rico under the HITECH Act, which concerns government reimbursement rates for healthcare technology adoption, not private employer wage, hour, or benefit obligations."
hr2615-110,110,2007-06-07,Armed Forces and National Security,Disabled|Drug abuse|Drug addiction|Ex-offenders|Mentally disabled|Military discharges|Security clearances,"To amend title 10, United States Code, to repeal the limitation on the authority of the Department of Defense to issue security clearances for certain persons.",,,,"This bill concerns DOD security clearance eligibility criteria for individuals, not private employer wage, hour, or benefit obligations."
s2625-114,114,2016-03-03,Education,Assault and harassment offenses|Child safety and welfare|Crimes against children|Criminal justice information and records|Domestic violence and child abuse|Elementary and secondary education|Employee hiring|Military personnel and dependents|Personnel records|Pornography|Sex offenses|User charges and fees|Violent crime,A bill to protect our servicemembers' children from convicted pedophiles and other felons infiltrating the classroom.,Protecting Our Servicemembers' Children from Sexual and Violent Predators Act,,,"This bill mandates criminal background checks for employees at DoD schools and certain LEAs serving military families, addressing child safety and hiring practices in educational settings rather than private employer wage, hour, or benefit obligations."
s352-111,111,2009-01-29,"Science, Technology, Communications","Administrative law and regulatory procedures|Broadcasting, cable, digital technologies|Consumer affairs|Department of Commerce|Emergency communications systems|Federal Communications Commission (FCC)|Licensing and registrations|Telecommunication rates and fees|Television and film",A bill to postpone the DTV transition date.,DTV Delay Act,,,"This bill addresses the transition from analog to digital television broadcasting and FCC licensing procedures, which involves telecommunications regulation and consumer affairs but does not relate to private employer wage, hour, or benefit obligations."
hr3601-106,106,2000-02-08,Public Lands and Natural Resources,"Associations, institutions, etc.|Government liability|Land transfers|Liability for environmental damages|Lighthouses and lightships|Michigan","To direct the Secretary of the Army to convey the lighthouse located at Ontonagon, Michigan, to the Ontonagon County Historical Society, and for other purposes.",David L. Corbett Lighthouse Transfer Act,,,"This bill concerns the transfer of federal property (a lighthouse) to a historical society and addresses environmental remediation responsibilities; it does not regulate private employer wage, hour, or benefit obligations."
hr1869-114,114,2015-04-16,Energy,Congressional oversight|Consumer affairs|Electric power generation and transmission|Environmental regulatory procedures|Public utilities and utility rates|Wildlife conservation and habitat protection,"To provide for transparency and reporting related to direct and indirect costs incurred by the Bonneville Power Administration, the Western Area Power Administration, the Southwestern Power Administration, and the Southeastern Power Administration related to compliance with any Federal environmental laws impacting the conservation of fish and wildlife, and for other purposes.",Environmental Compliance Cost Transparency Act of 2015,,,"This bill requires federal power administrations to disclose environmental compliance costs to customers; it does not regulate private employer wage, hour, or benefit obligations."
hr3342-108,108,2003-10-20,Public Lands and Natural Resources,Alabama|Arkansas|Commemorations|Congressional reporting requirements|Federal-Indian relations|Government publicity|Governmental investigations|Historic sites|History|Kentucky|Minorities|Missouri|Oklahoma|Tennessee|Trails,"To amend the National Trails System Act to update the feasibility and suitability study originally prepared for the Trail of Tears National Historic Trail and provide for the inclusion of new trail segments for such trail, and for other purposes.",,,,"This bill concerns the designation of historic trail routes under the National Trails System Act and involves no private employer wage, hour, benefit obligations, or related corporate misconduct."
hr4966-112,112,2012-04-27,Economics and Public Finance,"Appropriations|Budget deficits and national debt|Budget process|Defense spending|Veterans' education, employment, rehabilitation|Veterans' loans, housing, homeless programs|Veterans' medical care|Veterans' pensions and compensation",To amend the Balanced Budget and Emergency Deficit Control Act of 1985 to replace the sequester established by the Budget Control Act of 2011.,Sequester Replacement Act of 2012,,,"This bill addresses federal budget sequestration procedures and appropriations limits, including exempting veterans' medical care from cuts, but does not regulate private employer wage, hour, or benefit obligations."
hr3152-116,116,2019-06-06,Government Operations and Politics,"Congressional tributes|Government buildings, facilities, and property|Indiana|Members of Congress|Postal service","To designate the facility of the United States Postal Service located at 456 North Meridian Street in Indianapolis, Indiana, as the ""Richard G. Lugar Post Office"".",,,,"Bill designates a postal facility name as a congressional tribute; it does not regulate private employer wage, hour, or benefit obligations."
hr6537-112,112,2012-09-21,Foreign Trade and International Finance,"Agricultural trade|Animal and plant health|Congressional oversight|Food supply, safety, and labeling|Normal trade relations, most-favored-nation treatment|Trade agreements and negotiations|Trade restrictions","To amend the Trade Act of 1974 to make improvements to the Generalized System of Preferences, and for other purposes.",Generalized System of Preferences Improvement Act,,,"This bill concerns international trade preferences and market access conditions for developing countries, focusing on tariff treatment and sanitary/phytosanitary standards, with no connection to private employer wage, hour, or benefit obligations."
hr4152-111,111,2009-11-19,Education,Department of Education|Education programs funding|Educational facilities and institutions|Elementary and secondary education|Executive agency funding and structure|Federal-Indian relations|Higher education|Indian social and development programs|Racial and ethnic relations|School athletics,"To authorize the Secretary of Education to make grants to eligible schools to assist such schools to discontinue use of a derogatory or discriminatory name or depiction as a team name, mascot, or nickname, and for other purposes.",Native Act to Transform Imagery in Various Environments,,,"This bill provides grants to schools for discontinuing discriminatory mascots and names; it does not regulate private employer wage, hour, or benefit obligations."
hr4102-106,106,2000-03-28,Foreign Trade and International Finance,Energy supplies|Export controls|Foreign loans|International agencies|International monetary system|OPEC countries|Petroleum|Petroleum prices|Sanctions (International law),"To direct the Secretary of the Treasury to instruct the United States Executive Director at the International Monetary Fund to oppose any new loan by the International Monetary Fund to any country that is acting to restrict oil production to the detriment of the United States economy, except in emergency circumstances.",,,,"This bill directs U.S. opposition to IMF loans for countries restricting oil production and involves international finance and energy policy, not private employer wage, hour, or benefit obligations."
hr3341-112,112,2011-11-03,Immigration,Asia|Border security and unlawful immigration|Canada|China|Congressional oversight|Housing finance and home ownership|International organizations and cooperation|Internet and video services|Terrorism|Travel and tourism|User charges and fees|Visas and passports,To amend the Immigration and Nationality Act to stimulate international tourism to the United States.,Visa Improvements to Stimulate International Tourism to the United States of America Act,,,"This bill addresses immigration visa programs and international tourism, with no provisions regulating private employer wage, hour, or benefit obligations."
hr372-116,116,2019-01-09,Transportation and Public Works,"Department of Homeland Security|Government employee pay, benefits, personnel management|Law enforcement officers|Transportation safety and security","To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide for the eligibility of Transportation Security Administration employees to receive public safety officers' death benefits, and for other purposes.",Honoring Our Fallen TSA Officers Act,,,"This bill extends death benefits to federal Transportation Security Administration employees, who are government workers, not employees of non-governmental employers subject to private-sector wage and benefit obligations."
hr4201-109,109,2005-11-02,Government Operations and Politics,Caregivers|Cost of living adjustments|Disabled|Federal employees|Workers' compensation,"To amend title 5, United States Code, to increase the amount of additional compensation payable to an employee who is disabled and requires the services of an attendant, and for other purposes.",Joseph E. Keane Federal Employees Freedom Act,,,"This bill adjusts workers' compensation benefits for federal government employees, not private employer wage or benefit obligations."
s148-108,108,2003-01-13,Government Operations and Politics,Cabinet officers|Department of Homeland Security|Presidential succession,A bill to provide for the Secretary of Homeland Security to be included in the line of Presidential succession.,,,,"This bill addresses presidential succession order among Cabinet officers, which is a matter of government operations and constitutional procedure, not private employer wage, hour, or benefit obligations."
hr13-110,110,2007-01-04,Water Resources Development,California|Governmental investigations|Infrastructure|Water supply,"To direct the Secretary of the Army to conduct a study to determine the feasibility of carrying out a project for water supply for Rialto, Fontana, and Colton, California.",Inland Empire Water Resources Preservation Act,,,"This bill directs a feasibility study for a municipal water supply project and does not relate to private employer wage, hour, benefit obligations, or any corporate misconduct covered by the Wage Hour & Benefits category."
hr2432-112,112,2011-07-06,Water Resources Development,"Aquatic ecology|Economic performance and conditions|Environmental assessment, monitoring, research|Floods and storm protection|Great Lakes|Illinois|Indiana|Marine and inland water transportation|Mississippi River|Unemployment|Watersheds",To provide for a feasibility study before carrying out any Federal action relating to the Chicago Area Water System.,,,,"This bill requires an economic impact study for federal actions preventing aquatic invasive species in the Chicago Area Water System; it does not regulate private employer wage, hour, or benefit obligations."
s3602-112,112,2012-09-20,Agriculture and Food,"Budget deficits and national debt|Citizenship and naturalization|Congressional oversight|Drug, alcohol, tobacco use|Employment and training programs|Food assistance and relief|Government information and archives|State and local government operations",A bill to repeal the nutrition entitlement programs and establish a food stamp block grant program.,Food Stamp Restoration Act of 2012,,,"This bill restructures federal nutrition assistance programs (SNAP/food stamps) into state block grants and does not regulate private employer wage, hour, or benefit obligations."
hr5620-114,114,2016-07-05,Armed Forces and National Security,"Administrative remedies|Congressional oversight|Congressional tributes|Department of Veterans Affairs|Disability and paralysis|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Emergency medical services and trauma care|Employee hiring|Employee performance|Employment discrimination and employee rights|Evidence and witnesses|Executive agency funding and structure|Federal officials|Government employee pay, benefits, personnel management|Government ethics and transparency, public corruption|Government information and archives|Government studies and investigations|Health care coverage and access|Health care quality|Health facilities and institutions|Health information and medical records|Health personnel|Health technology, devices, supplies|Hearing, speech, and vision care|Hospital care|Medical education|Medical research|Medical tests and diagnostic methods|Merit Systems Protection Board|Military medicine|Military personnel and dependents|National Guard and reserves|Pedestrians and bicycling|Performance measurement|Prescription drugs|Public contracts and procurement|Transportation costs|Veterans' education, employment, rehabilitation|Veterans' medical care|Veterans' organizations and recognition|Veterans' pensions and compensation|Women's health","To amend title 38, United States Code, to provide for the removal or demotion of employees of the Department of Veterans Affairs based on performance or misconduct, and for other purposes.",VA Accountability First and Appeals Modernization Act of 2016,,,"This bill addresses VA employee performance, removal procedures, and veterans' healthcare services; it regulates government employees and government-provided services, not private employer wage, hour, or benefit obligations."
s1308-109,109,2005-06-23,Foreign Trade and International Finance,Agriculture in foreign trade|Authorization|Department of Commerce|Executive reorganization|International competitiveness|Small business|Trade adjustment assistance,"A bill to establish an Office of Trade Adjustment Assistance, and for other purposes.",Trade Adjustment Assistance for Firms Reorganization Act,,,"This bill establishes an office to administer trade adjustment assistance to firms affected by import competition, which relates to international trade policy and business competitiveness, not to private employer wage, hour, or benefit obligations."
s1357-108,108,2003-06-26,Armed Forces and National Security,Air force|Appropriations|Architecture|Armed forces abroad|Armed forces reserves|Army|Ballistic missile defenses|Buy American|Competitive bidding|Congress and military policy|Congressional oversight|Congressional reporting requirements|Construction costs|Defense budgets|Defense contracts|Defense procurement|Department of Defense|Easements|East Asia|Engineering|Federal advisory bodies|Foreign exchange|Former Soviet states|Government contractors|Government trust funds|Governmental investigations|Home repair and improvement|Infrastructure|Iron and steel industry|Islands|Japan|Joint ventures|Land transfers|Marines|Middle East and North Africa|Military base closures|Military bases|Military construction operations|Military dependents|Military housing|Military posture|Military readiness|Military training|NATO countries|NATO military forces|National Guard|Navy|Pacific area|Persian Gulf States|Property tax|Relocation|Rescission of appropriated funds|Road construction|South Korea|Steel,"An original bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2004, and for other purposes.","Military Construction Appropriations Act, 2004",,,"This is a military construction appropriations bill funding DOD infrastructure, family housing, and base operations; it does not regulate private employer wage, hour, or benefit obligations."
s514-115,115,2017-03-02,Armed Forces and National Security,"Crime victims|Department of Veterans Affairs|Drug trafficking and controlled substances|Drug, alcohol, tobacco use|Emergency medical services and trauma care|Health facilities and institutions|Health technology, devices, supplies|Neurological disorders|Sex offenses|Veterans' medical care",A bill to direct the Secretary of Veterans Affairs to carry out a pilot program to provide access to magnetic EEG/EKG-guided resonance therapy to veterans.,No Hero Left Untreated Act,,,"This bill establishes a VA pilot program to provide medical therapy to veterans at VA facilities, addressing government-administered healthcare services rather than private employer wage, hour, or benefit obligations."
hr3731-110,110,2007-10-02,Foreign Trade and International Finance,Tariff,To suspend temporarily the duty on lutetium oxide.,,,,"This bill suspends import duties on lutetium oxide, a trade and tariff matter with no connection to private employer wage, hour, benefit obligations, or any other form of corporate misconduct involving employment practices."
hr5513-109,109,2006-05-25,Health,Medical fees|Medical supplies|Medicare|Oxygen,To amend part B of title XVIII of the Social Security Act to restore the Medicare treatment of ownership of oxygen equipment to that in effect before enactment of the Deficit Reduction Act of 2005.,Home Oxygen Patient Protection Act of 2006,,,"This bill modifies Medicare reimbursement rules for oxygen equipment suppliers, which concerns government payment rates to medical providers rather than private employer wage, hour, or benefit obligations."
s1275-110,110,2007-05-02,Health,Blood pressure|Cholesterol|Grants-in-aid|Medicaid|Medical screening|Medical tests|Preventive medicine|Prostate cancer,A bill to amend the Public Health Service Act and title XIX of the Social Security Act to provide for a screening and treatment program for prostate cancer in the same manner as is provided for breast and cervical cancer.,Thomas J. Manton Prostate Cancer Early Detection and Treatment Act of 2007,,,"Bill establishes government-funded screening and Medicaid coverage programs for prostate cancer; it does not regulate private employer wage, hour, or benefit obligations."
hr3216-112,112,2011-10-14,Armed Forces and National Security,"Department of Veterans Affairs|Executive agency funding and structure|Hearing, speech, and vision care|Veterans' medical care","To amend title 38, United States Code, to establish an ophthalmologic service and Director of Ophthalmologic Services in the Veterans Health Administration of the Department of Veterans Affairs.",VHA Ophthalmologic Service Establishment Act of 2011,,,"This bill establishes an ophthalmologic service within the VA's Veterans Health Administration, which is a government agency providing healthcare to veterans, not a regulation of private employer wage, hour, or benefit obligations."
s1055-112,112,2011-05-24,Taxation,"Education of the disadvantaged|Elementary and secondary education|Income tax credits|Science and engineering education|Student aid and college costs|Teaching, teachers, curricula","A bill to amend the Internal Revenue Code of 1986 to encourage teachers to pursue teaching science, technology, engineering, and mathematics subjects at elementary and secondary schools.",National STEM Education Tax Incentive for Teachers Act of 2011,,,"This bill provides a tax credit directly to individual teachers based on their undergraduate tuition costs, not to employers for wage/benefit practices, so it does not relate to private employer wage, hour, or benefit obligations."
hr5275-110,110,2008-02-07,Foreign Trade and International Finance,Tariff,"To suspend temporarily the duty on Liberty, Rely, and Ignite herbicides.",,,,"This bill suspends tariffs on specific herbicide products, which relates to international trade and customs duties, not to private employer wage, hour, or benefit obligations."
s3266-112,112,2012-06-06,Education,"Budget deficits and national debt|Congressional oversight|Government lending and loan guarantees|Higher education|Interest, dividends, interest rates|Student aid and college costs",A bill to amend the Higher Education Act of 1965 to reset interest rates for new student loans.,Comprehensive Student Loan Protection Act,,,"This bill addresses federal student loan interest rates and government lending practices, not private employer obligations regarding wages, hours, benefits, or pension management."
hjres84-110,110,2008-05-14,International Affairs,Antisemitism|Conferences|Israel|Middle East and North Africa|Religion|Religious liberty|United Nations|United Nations finances|United Nations officials,Expressing the commitment of Congress to continue to make it a priority to fight anti-Semitism and to promote tolerance at home and abroad.,,,,"This resolution addresses anti-Semitism in international relations and at the United Nations, involving no regulation of private employer wage, hour, or benefit obligations."
hr5264-110,110,2008-02-07,Foreign Trade and International Finance,Administrative fees|Africa (Sub-Saharan)|Bolivia|Caribbean area|Clothing|Colombia|Corporation taxes|Customs administration|Developing countries|Ecuador|Free trade|Income tax|Latin America|Mauritius|Peru|Tariff|Tariff preferences|Textile fabrics|Trade agreements,"To extend the Andean Trade Preference Act, and for other purposes.",Andean Trade Preference Extension Act of 2008,,,"This bill extends trade preferences for Andean countries and adjusts customs fees and corporate estimated tax payments; it does not regulate private employer wage, hour, or benefit obligations."
hr4915-113,113,2014-06-19,Finance and Financial Sector,"Administrative law and regulatory procedures|Business investment and capital|Financial services and investments|Higher education|Marketing and advertising|Securities|Securities and Exchange Commission (SEC)|Social work, volunteer service, charitable organizations",To clarify the definition of general solicitation under Federal securities law.,HALOS Act,,,"This bill amends securities regulations regarding general solicitation rules for startup fundraising events and does not address private employer wage, hour, benefit obligations, or related misconduct."
s2439-110,110,2007-12-10,Crime and Law Enforcement,Criminal justice information|Criminal statistics|Protection of animals,"A bill to require the National Incident Based Reporting System, the Uniform Crime Reporting Program, and the Law Enforcement National Data Exchange Program to list cruelty to animals as a separate offense category.",,,,"This bill concerns crime reporting systems and animal cruelty tracking by law enforcement agencies, with no connection to private employer wage, hour, benefit obligations, or any other form of corporate misconduct covered by the Violation Tracker categories."
s381-109,109,2005-02-15,Taxation,Annuities|Cost of living adjustments|Income tax|Indexing (Economic policy)|Life insurance|Tax exclusion|Tax-deferred compensation plans,A bill to amend the Internal Revenue Code of 1986 to encourage guaranteed lifetime income payments from annuities and similar payments of life insurance proceeds at dates later than death by excluding from income a portion of such payments.,Retirement Security for Life Act of 2005,,,"This bill provides a tax exclusion for individual taxpayers receiving annuity or life insurance payments, addressing personal retirement income taxation rather than regulating private employer wage, hour, or benefit obligations."
s2845-114,114,2016-04-25,International Affairs,"Diplomacy, foreign officials, Americans abroad|Foreign property|Human rights|Latin America|Protest and dissent|Sanctions|Venezuela|Visas and passports",A bill to extend the termination of sanctions with respect to Venezuela under the Venezuela Defense of Human Rights and Civil Society Act of 2014.,Venezuela Defense of Human Rights and Civil Society Extension Act of 2016,,,"This bill concerns international sanctions against foreign officials in Venezuela for human rights violations, not private employer wage, hour, or benefit obligations in the United States."
s571-114,114,2015-02-25,Transportation and Public Works,"Administrative law and regulatory procedures|Administrative remedies|Aviation and airports|Civil actions and liability|Congressional oversight|Department of Transportation|Government information and archives|Government liability|Government studies and investigations|Judicial review and appeals|Licensing and registrations|Medical tests and diagnostic methods|Social work, volunteer service, charitable organizations|Transportation employees|Transportation safety and security|Worker safety and health","A bill to amend the Pilot's Bill of Rights to facilitate appeals and to apply to other certificates issued by the Federal Aviation Administration, to require the revision of the third class medical certification regulations issued by the Federal Aviation Administration, and for other purposes.",Pilot's Bill of Rights 2,,,"This bill addresses FAA medical certification requirements, pilot licensing procedures, and aviation safety enforcement actions, which relate to regulatory oversight of individual pilots and aviation operations rather than non-governmental employer wage, hour, or benefit obligations."
hr5524-112,112,2012-05-07,Foreign Trade and International Finance,Tariffs,"To suspend temporarily the duty on cast-iron engine crankcases for marine propulsion engines, each measuring more than 1.1 meters in length.",,,,"This bill suspends tariffs on imported marine engine parts, which relates to international trade policy, not to private employer wage, hour, or benefit obligations."
hjres89-107,107,2002-04-24,Commemorations,Citizenship|Commemorations|Congressional tributes|Dissenters|History|Human rights|Peace movements|U.S.S.R.,Posthumously proclaiming Andrei Dmitrievich Sakharov to be an honorary citizen of the United States.,,,,"This bill grants honorary citizenship to a historical figure and involves no regulation of private employer wage, hour, benefit obligations, or related corporate misconduct."
hr5810-110,110,2008-04-15,Education,Child development|Child welfare|Compensatory education|Counseling|Elementary and secondary education|Elementary education|Federal aid to education|Federally-guaranteed loans|Government lending|Higher education|Mentoring|Secondary education|Sex education|Sexual abstinence|Student loan funds|Teacher education|Teenage pregnancy|Women,"To amend title V of the Social Security Act to provide grants for school-based mentoring programs for at risk teenage girls to prevent and reduce teen pregnancy, and to provide student loan forgiveness for mentors participating in such programs.",Mentor-Mentee Teen Pregnancy Reduction Act of 2008,,,"This bill establishes a federal grant program for school-based teen pregnancy prevention mentoring and provides student loan forgiveness for mentors; it does not regulate private employer wage, hour, or benefit obligations."
s2007-109,109,2005-11-14,Health,Access to health care|Administrative procedure|Congressional investigations|Congressional reorganization|Executive orders|Health insurance|Insurance premiums|Legislation|Medical economics|Public health administration|Quality of care,A bill to examine the circumstances contributing to the problems facing the health care system of the United States and to develop public and private policies as appropriate to address rising health care costs and the number of uninsured Americans.,National Commission on Health Care Act,,,"This bill establishes a commission to study health care system problems, costs, and insurance coverage broadly, but does not regulate private employer wage, hour, or benefit obligations such as FLSA, WARN, ERISA, or FMLA compliance."
hr6469-110,110,2008-07-10,Health,"Data banks|Donation of organs, tissues, etc.|Federal aid to health facilities|Health information systems|Nonprofit organizations|Transplantation of organs, tissues, etc.",To amend the Public Health Service Act to authorize increased Federal funding for the Organ Procurement and Transplantation Network.,Stephanie Tubbs Jones Organ Transplant Authorization Act of 2008,,,"This bill authorizes federal funding for the Organ Procurement and Transplantation Network, a healthcare infrastructure program, and does not regulate private employer wage, hour, or benefit obligations."
hr6056-111,111,2010-07-30,Taxation,Employee benefits and pensions|Income tax deferral|Real estate business|Tax-exempt organizations,"To amend the Internal Revenue Code of 1986 to treat certain employee-funded pensions created before June 25, 1959, in the same manner as qualified trusts for purposes of unrelated debt-financed income derived from real property, and to increase the limitation on elective deferrals to such employee-funded pensions.",,,,"This bill modifies tax treatment and contribution limits for certain employee-funded pension plans but does not address employer misconduct related to wage/hour violations, pension mismanagement, or benefit plan looting that would constitute a Violation Tracker enforcement action."
hr4645-108,108,2004-06-22,Water Resources Development,Congressional reporting requirements|Federal aid to water pollution control|Federal aid to water resources development|Infrastructure|Intergovernmental fiscal relations|Kentucky|Restoration ecology|Waste water treatment|Water supply|Water treatment plants,To authorize the Secretary of the Army to provide Federal assistance for environmental infrastructure projects in northern and northeastern Kentucky.,PRIDE Plus Act,,,"This bill authorizes federal assistance for water infrastructure projects in Kentucky counties, involving government funding for public utilities rather than regulating private employer wage, hour, or benefit obligations."
hr3428-107,107,2001-12-06,Commerce,Corporate profits|Cost effectiveness|Federally-guaranteed loans|Imports|Industrial productivity|Iron and steel industry|Steel|Surety and fidelity,To amend the Emergency Steel Loan Guarantee Act of 1999 to revise eligibility and other requirements for loan guarantees under that Act.,,,,"This bill amends loan guarantee requirements for steel companies, addressing corporate financial assistance and import competition, but does not regulate private employer wage, hour, benefit obligations, or related misconduct."
s2258-112,112,2012-03-29,Taxation,Business investment and capital|Income tax deductions|Intellectual property|Music,A bill to amend the Internal Revenue Code of 1986 to make permanent the rule providing 5-year amortization of expenses incurred in creating or acquiring music or music copyrights.,Songwriters Tax Simplification Reauthorization Act,,,"This bill concerns tax treatment of business expenses for creating or acquiring music copyrights, which relates to intellectual property investment deductions rather than employer wage, hour, or benefit obligations to employees."
hr5378-112,112,2012-05-07,Foreign Trade and International Finance,Tariffs,To suspend temporarily the duty on dimethylisopropylamine (DMIPA).,,,,"This bill suspends tariffs on a chemical import and relates to international trade policy, not to private employer wage, hour, benefit obligations, or any conduct covered by the Wage Hour & Benefits category."
hr5544-111,111,2010-06-16,Government Operations and Politics,District of Columbia|Lakes and rivers|Land transfers,To promote the development of the Southwest waterfront in the District of Columbia.,,,,"This bill concerns real estate transfers and development rights for a waterfront project in Washington D.C., involving no private employer wage, hour, or benefit obligations."
s3730-110,110,2008-12-10,Health,Caregivers|Chronically ill|Department of Health and Human Services|Dislocated workers|Elementary and secondary education|Federal advisory bodies|Geriatrics|Gerontology|Governmental investigations|Higher education|Home care services|Long-term care|Medicaid|Medical education|Medical personnel|Medical research|Medicare|National Institutes of Health (NIH)|Nursing|Paramedical personnel|Research centers|Secondary education|Veterans' employment,"A bill to expand, train, and support all sectors of the health care workforce to care for the growing population of older individuals in the United States.",Retooling the Health Care Workforce for an Aging America Act of 2008,,,"Bill focuses on expanding healthcare workforce training and education programs through government initiatives, not on regulating private employer wage, hour, or benefit obligations."
s1292-110,110,2007-05-03,Agriculture and Food,Agricultural estimating and reporting|Business records|Cattle|Food industry|Food safety|Fraud|Goats|Government paperwork|Horses|Identification devices|Livestock|Meat inspection|Meat packing industry|Poultry|Produce trade|Sheep|Swine,"A bill to amend the Federal Meat Inspection Act and the Poultry Products Inspection Act to improve the safety of meat and poultry products by enhancing the ability of the Secretary of Agriculture to retrieve the history, use, and location of a meat or poultry product through a recordkeeping and audit system or registered identification, and for other purposes.",Meat and Poultry Products Traceability and Safety Act of 2007,,,"This bill establishes traceability and recordkeeping requirements for meat and poultry products to improve food safety, but does not address private employer wage, hour, benefit obligations, or related misconduct under FLSA, WARN, ERISA, or FMLA."
hr1438-113,113,2013-04-09,Armed Forces and National Security,"Accidents|Civil actions and liability|Health care costs and insurance|Life, casualty, property insurance|Veterans' pensions and compensation","To amend title 38, United States Code, to exempt reimbursements of certain medical expenses and other payments related to accident, theft, loss, or casualty loss from determinations of annual income with respect to pensions for veterans and surviving spouses and children of veterans, and for other purposes.",Veterans Pensions Protection Act of 2013,,,"This bill modifies income calculations for VA pension eligibility for veterans and their families, addressing government-administered benefits rather than private employer wage, hour, or benefit obligations."
s1229-108,108,2003-06-10,Government Operations and Politics,Administrative remedies|Appellate courts|Civil actions and liability|Classified defense information|Congressional investigations|Congressional oversight|Congressional witnesses|Damages|Disciplining of employees|Dismissal of employees|Employee rights|Evidence (Law)|Executive orders|Federal employees|Government attorneys|Government paperwork|Governmental investigations|Information leaking|Infrastructure|Infrastructure (Economics)|Judicial review|Jurisdiction|Legal fees|Merit Systems Protection Board|Office of Special Counsel|Parties to actions|Personnel management|Promotions|Security clearances|Security measures|Waste in government spending|Whistle blowing,"A bill to amend chapter 23 of title 5, United States Code, to clarify the disclosures of information protected form prohibited personnel practices, require a statement in nondisclosure policies, forms, and agreements that such policies, forms, and agreements conform with certain disclosure protections, provide certain authority for the Special Counsel, and for other purposes.",Federal Employee Protection of Disclosure Act,,,"This bill addresses whistleblower protections and personnel practices for federal government employees, not wage, hour, or benefit obligations of non-governmental employers."
hr3786-110,110,2007-10-09,Armed Forces and National Security,Armed forces abroad|Cable television|Contracts|Internet|Iraq compilation|Military personnel|Telephone|Television relay systems|Wireless communication,To amend the Servicemembers Civil Relief Act to allow individuals called to military service to terminate telecommunications contracts entered into before the individual receives notice of a permanent change of station or deployment orders.,Servicemembers Telecom Contract Relief Act,,,"This bill addresses contract termination rights for military servicemembers regarding telecommunications services, which relates to consumer protection for government employees (military personnel) rather than private employer wage, hour, or benefit obligations."
hjres33-111,111,2009-03-03,Environmental Protection,Constitution and constitutional amendments|Environmental health,"Proposing an amendment the Constitution of the United States respecting the right to a clean, safe, and sustainable environment.",,,,"This constitutional amendment addresses environmental rights for all persons but does not regulate private employer wage, hour, benefit obligations, or introduce employer-related tax incentives."
hjres9-116,116,2019-01-03,Government Operations and Politics,"Commemorative events and holidays|Congressional elections|Elections, voting, political campaign regulation|Presidents and presidential powers, Vice Presidents|Voting rights",Proposing an amendment to the Constitution of the United States to protect the voting rights of the citizens of the United States.,,,,"This constitutional amendment addresses voting rights, election procedures, and political participation, but does not regulate private employer wage, hour, benefit obligations, or any conduct covered by FLSA, WARN, ERISA, or FMLA."
hr1745-108,108,2003-04-10,Transportation and Public Works,Congressional reporting requirements|Drunk driving|Federal aid to transportation|Government trust funds|Governmental investigations|Highway finance|Police|Searches and seizures|State laws|Traffic accidents and safety,"To express the sense of the Congress that funding should be made available from the Highway Trust Fund to encourage States to require law enforcement officers to impound motor vehicles of those charged with driving while intoxicated, and for other purposes.",,,,"This bill addresses state traffic safety laws and Highway Trust Fund allocations for DWI enforcement programs, not private employer wage, hour, or benefit obligations."
s691-114,114,2015-03-10,Environmental Protection,Federal-Indian relations|Intergovernmental relations|Radioactive wastes and releases|State and local government operations,A bill to require the Nuclear Regulatory Commission to obtain the consent of affected State and local governments before authorizing the construction of a nuclear waste repository.,Nuclear Waste Informed Consent Act,,,"This bill governs intergovernmental consent requirements for nuclear waste repository construction and does not regulate private employer wage, hour, benefit obligations, or any conduct covered under FLSA, WARN, ERISA, or FMLA."
s109-116,116,2019-01-10,"Civil Rights and Liberties, Minority Issues","Abortion|Appropriations|Assault and harassment offenses|Comprehensive health care|Consumer affairs|Crimes against women|Employee benefits and pensions|Government buildings, facilities, and property|Health care costs and insurance|Health care coverage and access|Health facilities and institutions|Health programs administration and funding|Income tax credits|Sex offenses|Small business",A bill to prohibit taxpayer funded abortions.,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2019,,,"This bill restricts federal funding for abortion services and abortion coverage in health plans, but does not regulate private employer wage, hour, or benefit obligations under FLSA, WARN, ERISA, or FMLA."
hr1078-113,113,2013-03-12,Government Operations and Politics,Census and government statistics,"To make participation in the American Community Survey voluntary, except with respect to certain basic questions, and for other purposes.",,,,"This bill concerns Census Bureau survey procedures and respondent participation requirements, not private employer wage, hour, or benefit obligations."
