bill_id,congress_term,introduced_at,official_title,short_title,policy_area,subjects,category_ids,category_labels,bill_type,reason,summary
hr4513-115,115,2017-12-01,To amend the Consolidated Farm and Rural Development Act to alter and expand eligibility for farm ownership loans by modifying the 3-year experience requirement.,Farmers of Tomorrow Act,Agriculture and Food,Agricultural education|Farmland|Government lending and loan guarantees,,,,"This bill relates to USDA farm loans and modifies experience requirements for applicants; it does not address private employer wage, hour, or benefit obligations.","Farmers of Tomorrow Act 

This bill amends the Consolidated Farm and Rural Development Act to expand eligibility for Department of Agriculture (USDA) direct farm ownership loans by modifying the three-year experience requirement.

(Under current law, USDA may make a direct farm ownership loan only to a farmer or rancher who has participated in the business operations of a farm or ranch for at least three years or has other acceptable experience.)

The bill modifies the experience requirement to specify a list of acceptable experience and educational criteria that USDA may count for an applicant to meet or reduce the necessary experience requirement."
s1193-115,115,2017-05-22,"A bill to amend the Internal Revenue Code of 1986 to provide a credit for employer-provided job training, and for other purposes.",Better Education and Skills Training for America's Workforce Act,Taxation,Business investment and capital|Employment and training programs|Higher education|Income tax credits|Student aid and college costs,1,Wage Hour & Benefits,tax_credit_introduction,"The bill introduces tax credits for employer-provided job training, which could incentivize employers to invest in employee skills development and potentially improve wages and benefits, relating to employer conduct around worker pay and training.","Better Education and Skills Training for America's Workforce Act

This bill amends the Internal Revenue Code to allow tax credits for: (1) qualified training expenses paid with respect to U.S.-based positions for job trainees who have been unemployed for at least 90 days before enrolling in a training program and have not been employed by the taxpayer during the two-year period before the trainee was hired, and (2) investment in a qualified job training partnership between a private business and an institution of higher education or a labor organization.

The bill defines ""qualified training expenses"" as an eligible trainee's qualified tuition costs, which may include costs for books and enrollment in a training program at an institution of higher education that may include a single course, multiple courses, or a combination of work training and study and that is reasonably necessary for employment with the taxpayer. It terminates the credit for qualified training expenses of job trainees after December 31, 2028.

The bill also: (1) requires the Department of the Treasury to establish a Qualified Job Training Partnership program to consider and award certifications for qualified investments eligible for credits to qualified job training partnerships, and (2) authorizes Treasury to make grants to individuals who make an investment in a qualified job training partnership, in lieu of a tax credit."
hr5307-112,112,2012-04-27,To extend the temporary reduction of duty on Acetamiprid Technical.,,Foreign Trade and International Finance,Tariffs,,,,"This bill concerns tariff reductions on a specific chemical import and does not relate to any private employer wage, hour, or benefit obligations.",Amends the Harmonized Tariff Schedule of the United States to temporarily extend the reduction of duty on Acetamiprid Technical.
hr3054-114,114,2015-07-14,"To reduce risks to the financial system by limiting banks' ability to engage in certain risky activities and limiting conflicts of interest, to reinstate certain Glass-Steagall Act protections that were repealed by the Gramm-Leach-Bliley Act, and for other purposes.",21st Century Glass-Steagall Act of 2015,Finance and Financial Sector,Banking and financial institutions regulation|Bankruptcy|Congressional oversight|Contracts and agency|Financial services and investments|Insurance industry and regulation|Securities,,,,"This bill focuses on banking and financial sector regulation, specifically reinstating Glass-Steagall Act protections and limiting risky activities by banks; it does not directly regulate or incentivize private employer wage, hour, or benefit obligations.","21st Century Glass-Steagall Act of 2015

Amends the Federal Deposit Insurance Act to prohibit an insured depository institution from: (1) being or becoming an affiliate of any insurance company, securities entity, or swaps entity; (2) being in common ownership or control with any insurance company, securities entity, or swaps entity; or (3) engaging in any activity that would cause the insured depository institution to qualify as an insurance company, securities entity, or swaps entity.

Prohibits any individual who is an officer, director, partner, or employee of any securities entity, insurance company, or swaps entity, except in specified circumstances, from serving simultaneously as an officer, director, employee, or other institution-affiliated party of any insured depository institution.

 Makes certain technical and conforming amendments to the Banking Act of 1933 and the Revised Statutes of the United States to limit the business of national banks to receiving deposits, extending credit, discounting and negotiating evidences of debt, loaning money on personal security, engaging in coin and bullion exchange, and investing in investment securities.

Limits the purchase and sale of investment securities and stock by a national banking association to the accounts of customers, but in no case for its own account. Prohibits an association from underwriting any issue of securities or stock.

Prohibits a national banking association from investing in structured or synthetic products, defined as financial instruments in which a return is calculated based on the value of, or by reference to the performance of, a security, commodity, swap, other asset, or an entity, or any index or basket composed of such items.

Amends the Home Owners' Loan Act to repeal the authority of federal savings associations to invest in, redeem, or hold shares or certificates issued by any open-end management investment company registered with the Securities and Exchange Commission (SEC) if their portfolios are restricted by the management company's investment policy solely to investments in which a federal savings association may deal.

Amends the Bank Holding Company Act of 1956 with respect to prohibitions against bank holding company ownership or control of voting share interests in nonbanking organizations. Revises exemptions from such prohibitions in the case of nonbanking organizations whose activities are so closely related to banking as to be a proper incident to them.

Specifies activities of a nonbanking organization that shall not be considered closely related to banking, and so disqualify a bank holding company from owning or controlling voting share interests in such an organization. Includes among such nonbanking activities: (1) serving as an investment advisor to an investment company, (2) agency transactional services for customer investments, (3) investment transactions as principal, and (4) management consulting and counseling activities.

Exempts from application of the prohibitions against nonbanking activities, with respect to a bank holding company, the purchase, as an end user, of swaps to hedge against certain exposures, including changes in either interest rates or in the value of currency.

Prohibits a bank holding company from engaging in the business of a securities or a swaps entity, including: (1) dealing or making markets in securities, repurchase agreements, exchange traded and over-the-counter swaps, and structured or synthetic products; (2) engaging in proprietary trading; (3) owning, sponsoring, or investing in a hedge fund, or private equity fund, or any other fund which exhibits the characteristics of a fund that takes on proprietary trading activities or positions; (4) holding ineligible securities or derivatives; and (5) engaging in either market-making or prime brokerage activities.

Requires the appropriate federal regulatory agency to pursue certain actions to enforce this Act.

Amends the Bank Holding Company Act of 1956 to repeal provisions (of the Gramm-Leach-Bliley Act) that: (1) permit a financial holding company to engage in activities that are either financial in nature or constitute expanded financial activities, (2) prescribe corrective actions for financial holding companies that fail to meet certain requirements, (4) authorize certain financial holding companies to retain limited nonfinancial activities and affiliations, and (5) authorize certain financial holding companies to own or control shares of a company engaged in activities related to the trading, sale, or investment in commodities and underlying physical properties that were not previously permissible for bank holding companies.

Amends the Revised Statutes of the United States to repeal the authority of national banks to control or hold an interest in financial subsidiaries.

Amends the International Banking Act of 1978 to repeal the permission granted certain foreign banks to continue to engage in nonbanking activities in the United States.

Revises bankruptcy law to repeal the prohibition against staying, avoiding, or limiting the exercise of a contractual right of financial entities to either liquidate, terminate, or accelerate the following financial instruments: a securities contract, a repurchase agreement, a swap agreement, a master netting agreement, and across contracts. Repeals requirements for the timing of damage measurement in connection with such financial instruments, including commodity contracts and forward contracts."
hr4309-107,107,2002-04-16,To extend the temporary suspension of duty with respect to Phenmedipham.,,Foreign Trade and International Finance,Chemicals|Pesticides|Tariff,,,,"This bill relates to tariff suspensions on a chemical import and does not address private employer wage, hour, or benefit obligations.","Amends the Harmonized Tariff Schedule of the United States to extend the suspension, through December 31, 2005, of duty on Phenmedipham."
hr2064-112,112,2011-05-31,To amend the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to allow employers to verify the identity and employment eligibility of an employee from the time of application for employment.,,Immigration,Border security and unlawful immigration|Foreign labor|Government information and archives,,,,"The bill concerns employment eligibility verification related to immigration status and does not directly regulate or incentivize employer wage, hour, or benefit obligations.",Amends the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 to allow employers to use the employment eligibility confirmation system to verify the identity and employment eligibility of an employee from the time of application for employment.
s2940-111,111,2010-01-20,"A bill to increase the use of security cameras at airport security screening checkpoints and exits, to impose increased penalties on individuals who circumvent security screening at airports, and for other purposes.",Secure Airport Terminal Act of 2010,Transportation and Public Works,Administrative law and regulatory procedures|Aviation and airports|Congressional oversight|Department of Homeland Security|Photography and imaging|Transportation safety and security,,,,"This bill focuses on airport security measures and penalties for circumventing security, and does not relate to private employer wage, hour, or benefit obligations.","Secure Airport Terminal Act of 2010 - Directs the Secretary of Homeland Security (DHS) to prescribe regulations that: (1) require the use of security cameras at all screening locations and all locations where passengers exit the sterile area at airports in the United States; (2) prescribe requirements for the use, maintenance, and testing of such security cameras and other technological devices; and (3) specify that employees of the Transportation Security Administration (TSA) have access to all such security cameras and technological devices as well as data or recordings from them relating to airport security. (Under aviation security regulations: (1) ""screening location"" means each site at which individuals or property are inspected for the presence of weapons, explosives, or incendiaries; and (2) ""sterile area"" means a portion of an airport that provides passengers access to boarding aircraft and to which the access generally is controlled by TSA, or by an aircraft operator or a foreign air carrier, through the screening of persons and property.) Directs the DHS Assistant Secretary (TSA) to report to specified congressional committees: (1) recommendations for improving the security of each location at an airport where passengers exit the sterile area; and (2) an assessment of differences in location configurations and options for improving security at such locations. Prescribes a civil penalty of up to $10,000 for individuals who enter an aircraft or an airport area in violation of security requirements. Increases the criminal penalty of maximum imprisonment for such violations from one year to 10 years. Directs each U.S. airport operator that is required to establish an air transportation security program to ensure that signs meeting DHS requirements for providing notice of such penalties are displayed near all screening locations, all locations where passengers exit the sterile area, and other appropriate airport locations. Subjects an individual to such penalties, however, without regard to whether signs are displayed as required by this Act."
hr831-111,111,2009-02-03,"To direct the Comptroller General to conduct a study of the legal requirements and policies followed by the Department of Transportation in deciding whether to approve international alliances between air carriers and foreign air carriers and grant exemptions from the antitrust laws in connection with such international alliances, and for other purposes.",,Transportation and Public Works,Aviation and airports|Competition and antitrust|Foreign and international corporations|Government studies and investigations|Trade agreements and negotiations,,,,"The bill concerns the Department of Transportation's approval of international airline alliances and related antitrust exemptions; it does not regulate private employer wage, hour, or benefit obligations.","Directs the Comptroller General to study legal requirements and policies followed by the Department of Transportation in deciding whether to: (1) approve cooperative agreements between an air carrier and a foreign air carrier (international alliances) to provide foreign air transportation; and (2) exempt such alliances from the U.S. antitrust laws. Requires: (1) the Comptroller General to report to the Secretary and Congress study results, including any recommendations for authority or policy changes with respect to approving such alliances and granting such exemptions; and (2) the Secretary to issue a determination, after public comment, whether such changes will be adopted."
hr1854-107,107,2001-05-15,To amend the General Education Act to allow parents access to certain information about their children.,Parental Freedom of Information Act,Education,Administrative remedies|Attorney-client privilege|Child health|Child mental health services|Clergy|Confidential communications|Curricula|Educational tests|Elementary and secondary education|Elementary education|Elementary school students|Federal aid to education|Freedom of information|Grievance arbitration|Health surveys|Informed consent (Medical law)|Juvenile delinquency|Legal fees|Lifestyle|Mediation|Medical tests|Mental illness|Parent and child|Parent-school relationships|Party affiliation|Physical examinations|Physician-patient privilege|Religion|Religions|Right of privacy|School health programs|Secondary education|Secondary school students|Self-incrimination|Sex|Student records|Surveys|Teaching materials|Vaccination,,,,"This bill concerns parental access to educational records and consent for medical information, and does not relate to private employer wage, hour, or benefit obligations.","Parental Freedom of Information Act - Amends the General Education Provisions Act to require educational agencies or institutions, as a condition for receiving funds for applicable programs, to: (1) neither deny nor prevent the exercise of parental rights to review and inspect instructional materials used in their children's educational curricula; and (2) obtain parental consent before seeking specified types of information from minors, and before performing non-emergency medical psychological, or psychiatric examination, testing, treatment, or immunization of minors."
hjres24-114,114,2015-01-21,"Proposing an amendment to the Constitution of the United States relating to the authority of Congress and the States to regulate political campaign contributions and expenditures, including independent expenditures.",,Government Operations and Politics,"Constitution and constitutional amendments|Elections, voting, political campaign regulation|Political advertising",,,,"This bill proposes a constitutional amendment regarding campaign finance regulations and does not relate to private employer wage, hour, or benefit obligations.","Constitutional Amendment

Declares that nothing in the Constitution shall be construed to prohibit Congress or any state from imposing content-neutral limitations on contributions or expenditures used to refer to a federal election candidate, including contributions or expenditures made independently from a candidate or a candidate's campaign during any period Congress or the state may establish which is proximate to the date of the election in which the candidate is running.

Declares that nothing contained in this article shall be construed to abridge the freedom of the press."
hr6942-110,110,2008-09-18,"To amend section 5112 of title 31, United States Code, to provide for the return of the half-dime as the new 5-cent circulating coin, and for other purposes.",5-Cent Restoration Act of 2008,Finance and Financial Sector,Currency,,,,"This bill concerns the minting of a specific coin and does not relate to any private employer wage, hour, or benefit obligations.",5-Cent Restoration Act of 2008 - Revises the authority of the Secretary of the Treasury to mint and issue a five-cent coin to limit the design of such a coin to a clad half-dime based on the size and shape of the half-dime or five-cent coin produced in the 1870s.
s3529-112,112,2012-09-11,A bill to amend the Clean Air Act to clarify a certain provision relating to prevention of accidental releases.,General Duty Clarification Act of 2012,Environmental Protection,Accidents|Administrative law and regulatory procedures|Air quality|Environmental Protection Agency (EPA)|Environmental regulatory procedures|Hazardous wastes and toxic substances,,,,"This bill relates to the Clean Air Act and EPA regulations regarding accidental releases of hazardous air pollutants; it does not address private employer wage, hour, or benefit obligations.","General Duty Clarification Act of 2012 - Amends the Clean Air Act, with respect to provisions relating to the prevention of accidental releases of hazardous air pollutants, to provide that no entity may be found in violation of such provisions until the Administrator of the Environmental Protection Agency (EPA): (1) promulgates final regulations establishing criteria defining the terms ""extremely hazardous substance,"" ""appropriate hazard assessment techniques,"" and ""design and maintain a safe facility""; and (2) issues guidelines to ensure that enforcement of such provisions is handled by the regional offices of EPA in a uniform and appropriate manner across all regions of the United States. Modifies the definition of ""accidental release"" to exclude an emission resulting from an intentional act."
hr438-116,116,2019-01-10,"To deny Federal funding to any State or political subdivision of a State that has in effect any law, policy, or procedure that prevents or impedes a State or local law enforcement official from maintaining custody of an alien pursuant to an immigration detainer issued by the Secretary of Homeland Security, and for other purposes.",HELD Act,Crime and Law Enforcement,Border security and unlawful immigration|Detention of persons|Immigration status and procedures|Law enforcement administration and funding|State and local government operations,,,,"This bill concerns federal funding for state and local law enforcement based on cooperation with immigration detainers and does not relate to private employer wage, hour, or benefit obligations.","Help Ensure Legal Detainers Act or the HELD Act

This bill prohibits the use of federal funds by a state or local subdivision that has in effect a law, policy, or procedure that prevents or impedes (1) a timely response to a request by the Department of Homeland Security for information about an alien in custody, including the alien's estimated release date; or (2) compliance with a detainer request."
hr3755-112,112,2011-12-20,"To amend title 38, United States Code, to prohibit demonstrations at places of mourning during a funeral, memorial service, or other bereavement ceremony honoring a deceased veteran.",Freedom to Mourn in Peace Act of 2011,Armed Forces and National Security,Cemeteries and funerals|First Amendment rights|Protest and dissent,,,,"This bill prohibits demonstrations at veteran funerals and memorial services and does not relate to private employer wage, hour, or benefit obligations.","Freedom to Mourn in Peace Act of 2011 - Expands the prohibition on demonstrations at certain funerals, memorial services, or bereavement ceremonies for a deceased veteran to any property where such a service is held unless the demonstration has been approved by the cemetery superintendent or the owner of the property on which the funeral is held. (Current law only prohibits such demonstrations on property of a cemetery under the control of the National Cemetery Administration or on the property of Arlington National Cemetery.) Extends to 1,000 feet the distance within which certain demonstrations that impede access to or egress from such a cemetery or property are prohibited during the period beginning 60 minutes before and ending 60 minutes after such a service, provided that there is a visible sign at applicable distances stating the time interval during which a service will be held."
hr4567-111,111,2010-02-02,"To amend title 18, United States Code, to provide accountability for the criminal acts of Federal contractors and employees outside the United States, and for other purposes.",Civilian Extraterritorial Jurisdiction Act (CEJA) of 2010,Crime and Law Enforcement,"Administrative law and regulatory procedures|Congressional oversight|Criminal investigation, prosecution, interrogation|Department of Justice|Detention of persons|Diplomacy, foreign officials, Americans abroad|Government employee pay, benefits, personnel management|Jurisdiction and venue|Public contracts and procurement",,,,"The bill focuses on criminal accountability for federal contractors and employees *outside* the United States and does not regulate private employer wage, hour, or benefit obligations.","Civilian Extraterritorial Jurisdiction Act (CEJA) of 2010 - Amends the federal criminal code to grant jurisdiction over and impose penalties on federal contractors and employees who commit certain crimes outside of the United States while employed by or accompanying any agency of the United States other than the Armed Forces. Sets forth the crimes under federal law that are covered by this Act. Directs the Attorney General to: (1) assign personnel and resources through Investigative Units for Contractor and Employee Oversight to investigate allegations of criminal offenses by federal contractors and employees; and (2) report to Congress annually on the number of criminal cases received, investigated, and referred for prosecution. Grants the Attorney General principal authority for the enforcement of this Act."
hr407-107,107,2001-02-06,Concerning denial of passports to noncustodial parents subject to State arrest warrants in cases of nonpayment of child support.,Denial of Passports to Noncustodial Parents in Cases of Nonpayment of Child Support,Immigration,Arrest|Child support|Child support enforcement|Passports|Warrants (Law),,,,"This bill concerns the denial of passports to noncustodial parents with outstanding child support warrants and does not relate to private employer wage, hour, or benefit obligations.","Denial of Passports to Noncustodial Parents in Cases of Nonpayment of Child Support - Authorizes the Secretary of State to refuse, revoke, restrict, or limit a passport if the applicant or passport holder is a noncustodial parent who is the subject of an outstanding State arrest warrant for nonpayment of child support, where the amount in controversy is not less than $10,000."
hr2432-108,108,2003-06-11,"To amend the Paperwork Reduction Act and titles 5 and 31, United States Code, to reform Federal paperwork and regulatory processes.",Paperwork and Regulatory Improvements Act of 2004,Government Operations and Politics,Accounting|Administrative procedure|Agricultural conservation|Agricultural credit|Agricultural subsidies|Apples|Broadband|Commodity Credit Corporation|Congressional investigations|Congressional reporting requirements|Cost effectiveness|Department of Agriculture|Department of Health and Human Services|Department of Labor|Department of Transportation|Disaster relief|Economic impact statements|Environmental Protection Agency|Federal budget process|Federal budgets|Government and business|Government paperwork|Government regulation|Governmental investigations|Income tax|Legislation|Marketing of farm produce|Regulatory impact statements|Small business|Tax returns,1,Wage Hour & Benefits,enforcement,"The bill directs the Department of Labor to participate in a study on regulatory budgeting, which includes assessing the costs and benefits of Federal rules, and potentially including a regulatory budget as part of the Federal budget, which could impact wage and hour regulations.","Paperwork and Regulatory Improvements Act of 2004 - (Sec. 3) Amends the Paperwork Reduction Act to: (1) require the Director of the Office of Management and Budget (OMB), in consultation with the Internal Revenue Service (IRS) and the Office of Tax Policy of the Department of the Treasury and the Office of Advocacy of the Small Business Administration, in minimizing the Federal information collection burden, to conduct a review of the collections of information by the IRS to identify actions that it can take to reduce the information collection burden imposed on small business concerns, consistent with current Federal law requiring the task force on information collection and dissemination to examine the feasibility of requiring Federal agencies to consolidate requirements regarding collections of information with respect to small business concerns within and across such agencies; and (2) include the results of such review in the annual report submitted to Congress for FY 2006 on the major activities respecting Federal information policy. (Sec. 4) Amends the Farm Security and Rural Investment Act of 2002 to repeal specified exemptions from Paperwork Reduction Act requirements and certain other rulemaking requirements. Makes the repeal of such exemptions effective 180 days after the enactment of this Act. (Sec. 5) Amends the Truth in Regulating Act of 2000 to make permanent the authority of a chairman or ranking member of a congressional committee to request the Comptroller General to perform a regulatory analysis of an economically significant rule upon agency publication. (Sec. 6) Amends the Treasury and General Government Appropriations Act, 2001 to instruct the Director of OMB, in carrying out requirements for the accounting statement and associated report submitted to Congress with the Federal budget submitted to the President, to require each agency annually to submit to OMB an estimate of the total annual costs and benefits of Federal rules and paperwork to the extent feasible for the agency and each agency program. Requires the Director, after consultation with the head of each agency, to designate at least three agencies (or offices within an agency) to participate in a study on regulatory budgeting for FY 2006 and 2007, including three regulatory agencies or offices from among the Department of Labor, the Department of Transportation, the Department of Health and Human Services, and the Environmental Protection Agency. Requires such study to address the preparation of regulatory budgets and such budgets to include the presentation of the varying estimated levels of benefits that would be associated with the different estimated levels of costs with respect to the regulatory alternatives under consideration by the agency (or office within the agency). Includes in the accounting statement and associated report submitted to Congress for calendar year 2006 a presentation of the different levels of estimated regulatory benefits and costs with respect to the regulatory alternatives under consideration for at least one of the major regulatory programs of each of the designated agencies. Requires the Director, after consultation with the Committees on the Budget and on Government Reform of the House of Representatives and the Committees on the Budget and on Governmental Affairs of the Senate, to include in such statement and report submitted to Congress for calendar year 2009 a report on the study which: (1) assesses the feasibility and advisability of including a regulatory budget as part of the Federal budget submitted to the President; (2) describes any difficulties encountered by OMB and the participating agencies in conducting such study; and (3) recommends, to the extent the President considers necessary or expedient, proposed legislation regarding regulatory budgets. Requires such report to also be submitted directly to such congressional committees."
hr3382-112,112,2011-11-04,To prohibit smoking in and around Federal buildings.,Smoke-Free Federal Buildings Act,Government Operations and Politics,"Drug, alcohol, tobacco use|Government buildings, facilities, and property|Government employee pay, benefits, personnel management|Worker safety and health",,,,"The bill prohibits smoking in federal buildings and relates to government employee pay, benefits, and worker safety within the federal government; it does not regulate private employer conduct or introduce tax incentives related to wage, hour, or benefit obligations.","Smoke-Free Federal Buildings Act - Prohibits smoking in federal buildings. Allows the head of an executive agency to grant an exception to such prohibition if such exception relates to research that may benefit public health. Defines ""federal building"" to mean any building, workplace, or other structure, and 25 feet from the perimeter of such building, courtyard, areas used for children's playgrounds, or structure owned, leased, or leased for use by an executive agency. Excludes any building or other structure on a military installation located outside the United States."
hr88-116,116,2019-01-03,"To protect the right of law-abiding citizens to transport knives interstate, notwithstanding a patchwork of local and State prohibitions, and to repeal Federal provisions related to switchblade knives which burden citizens.",Knife Owners' Protection Act of 2019,Crime and Law Enforcement,"Civil actions and liability|Criminal investigation, prosecution, interrogation|Criminal procedure and sentencing|Detention of persons|Federal preemption|Manufacturing|Postal service|Retail and wholesale trades|State and local government operations|Transportation safety and security",,,,"This bill concerns the interstate transportation of knives and the repeal of federal switchblade knife prohibitions; it does not relate to private employer wage, hour, or benefit obligations.","Knife Owners' Protection Act of 2019

This bill permits an individual to transport a knife between two places (i.e., states) where knife possession, carry, or transport is legal. A knife must be securely stored during transport, unless it is an emergency knife designed to cut seat belts.

The bill prohibits the arrest or detention of an individual for a knife violation unless there is probable cause to believe the individual failed to securely store the knife during transport. An individual may assert compliance with this bill as a claim or defense in any civil or criminal proceeding.

This bill repeals provisions, commonly known as the Federal Switchblade Act, that prohibit the introduction of switchblade knives into interstate commerce. It also repeals the Ballistic Knife Prohibition Act of 1986, which prohibits the possession, manufacture, sale, or importation of a ballistic knife.

Finally, it eliminates two criminal provisions—one that restricts the mailability of switchblade knives, and one that restricts the mailability of ballistic knives."
hr4705-106,106,2000-06-21,"To provide for the recoupment of a portion of the Federal investment in research and development supporting the production and sale of pharmaceutical, biologic, or genetic products.",Public Investment Recovery Act of 2000,Health,Costs|Drug industry|Drugs|Executive reorganization|Federal aid to medical research|Genetic research|Government trust funds|Human genetics|Medicare|Pharmaceutical research|Prescription pricing|Profit|Research and development|Research grants,,,,"The bill concerns recouping federal investment in pharmaceutical research and development and establishing a trust fund; it does not directly regulate or incentivize private employer wage, hour, or benefit obligations.","Public Investment Recovery Act of 2000 - Requires each transaction entered into by a Federal agency under which Federal support is provided for research and development which leads or may lead to the production and sale of a pharmaceutical, biologic, or genetic product to include provisions requiring that payments to recoup a portion of the agency's investment be paid annually to the Federal agency for deposit into a Public Investment Recovery Trust Fund established by this Act.Establishes a Public Investment Recovery Board to: (1) determine the total amount of profits for such a product; and (2) make calculations as required by this Act of the proportion of Federal support for research and development which lead to the production and sale of such a product. Prescribes a formula for determining the percentage of profits required to be paid.Provides for the expiration of payments on the expiration of the initial patent issued for such product.Allows: (1) not more than two percent of amounts in the Trust Fund to be used by the Food and Drug Administration or the National Institutes of Health (NIH) to support research and reports on the comparative efficiency and effectiveness of such products; (2) not more than 20 percent of amounts in the Trust Fund in the first five fiscal years after the enactment of this Act, and three percent in subsequent fiscal years, to be used to help pay the administrative expenses of carrying out this Act; and (3) not more than 20 percent of amounts in the Trust Fund to be used by NIH to support pharmaceutical, biologic, or genetic research and development, unless no Medicare prescription drug benefit has been enacted, in which case the remainder of the funds in such Fund may be used for a purpose authorized by this Act. Requires the remainder of such funds, if such a drug benefit has been enacted, to be used for the financing of such a benefit."
hr803-112,112,2011-02-18,"To amend title 38, United States Code, to increase vocational rehabilitation and employment assistance, and for other purposes.",Equity for Injured Veterans Act of 2011,Armed Forces and National Security,"Child care and development|Disability assistance|Veterans' education, employment, rehabilitation|Veterans' pensions and compensation",,,,"This bill relates to benefits administered by the Department of Veterans Affairs to veterans, not to private employer wage, hour, or benefit obligations.","Equity for Injured Veterans Act of 2011 - Extends the period of eligibility for training and rehabilitation through the Department of Veterans Affairs (VA) for veterans with service-connected disabilities until the end of the 15 (under current law, 12) year period after the veteran's discharge from active-duty service. Allows a service-disabled veteran a subsistence allowance for six (under current law, two) months of full-time employment training following completion of a vocational rehabilitation program. Allows such a veteran who has unused VA educational assistance entitlement to use such assistance to pursue a program of education as part of a vocational rehabilitation program, as long as the Secretary of Veterans Affairs approves the educational, professional, or vocational objective chosen by the veteran. Directs the Secretary to provide reimbursement for the actual cost of child care provided by a licensed provider to a veteran who is participating in a vocational rehabilitation program, is the sole caretaker of a child, and would not otherwise be able to afford such care. Requires the Secretary to include in annual budget materials submitted to Congress information on veterans receiving vocational rehabilitation assistance who: (1) became employed, and (2) achieved independence in daily living."
hr4883-113,113,2014-06-17,"To provide for the establishment of a National Rare-Earth Refinery Cooperative, and for other purposes.",National Rare-Earth Cooperative Act of 2014,Energy,"Alliances|Energy storage, supplies, demand|Federally chartered organizations|Manufacturing|Marketing and advertising|Metals|Military procurement, research, weapons development|Mining|Strategic materials and reserves|Technology transfer and commercialization",,,,"The bill focuses on establishing a cooperative for domestic rare earth processing and procurement for military use, and does not directly regulate or incentivize private employer wage, hour, or benefit obligations.","National Rare Earth Cooperative Act of 2014 - Establishes the Thorium-Bearing Rare Earth Refinery Cooperative as a federal charter to provide for the domestic processing of thorium-bearing rare earth concentrates as residual unprocessed and unrefined ores.

Requires the Cooperative's Board to establish a refinery and a Thorium Storage, Energy, and Industrial Products Corporation to develop uses and markets for thorium, including energy.

Directs the Secretary of Defense (DOD) to coordinate with other federal agencies to advance and protect domestic rare earth mining, the refining of rare earth elements, basic rare earth metals production, and the development and commercialization of thorium.

Mandates, beginning in January 2020, all purchased or procured weapon systems to contain only U.S. or North Atlantic Treaty Organization (NATO) member nation produced and sourced rare earth materials, metals, magnets, parts, and components. Prohibits the inclusion of any rare earth materials that originate or pass through a non-NATO member nation. Bars any waivers from being granted unless the lead contractor can demonstrate that it has pursued all possible corrective actions, including direct investment into the supply chain."
