bill_id,category_ids,category_labels
s540-112,8,Campus Safety
s704-111,24,Government Reporting & Compliance
s50-116,17;18,Water Violation;Earth Violation
s1690-109,,
hr2096-114,1;10,Wage Hour & Benefits;Securities & Investor Protection
s1967-112,23,Healthcare Fraud & Compliance
s2103-106,11,Accounting Financial Reporting & Tax
s3210-111,24,Government Reporting & Compliance
s1190-109,,
s2083-115,6;25,Transportation Safety;National Security & Cybercrime
hr2916-112,24,Government Reporting & Compliance
hr1401-108,,
hr2216-109,25,National Security & Cybercrime
s1642-109,12;25,"Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
hr6273-110,11,Accounting Financial Reporting & Tax
hr1805-110,4;16,Workplace Safety;Air Violation
hr171-113,1,Wage Hour & Benefits
hr3549-110,,
hr2562-110,,
hr2722-115,17;18,Water Violation;Earth Violation
hr3717-110,1,Wage Hour & Benefits
hr4099-106,1,Wage Hour & Benefits
hr5872-109,17;18,Water Violation;Earth Violation
hr3790-114,,
s3838-109,11,Accounting Financial Reporting & Tax
hr1010-109,11;15,Accounting Financial Reporting & Tax;Competition-related Offenses
hr2451-113,,
hr5856-113,,
hr4504-111,24,Government Reporting & Compliance
s2965-114,,
hr3102-114,3;6;24,Labor Relations;Transportation Safety;Government Reporting & Compliance
s2899-107,,
hr600-111,14,Consumer Protection
s1983-112,,
hr1627-107,,
hr2242-111,,
s107-108,16,Air Violation
hr2279-110,18,Earth Violation
hr4814-112,15,Competition-related Offenses
hr3162-107,12;24;25,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance;National Security & Cybercrime"
s640-110,,
hr185-112,11,Accounting Financial Reporting & Tax
s1017-110,15,Competition-related Offenses
hr1708-107,10;15,Securities & Investor Protection;Competition-related Offenses
hr5437-111,11,Accounting Financial Reporting & Tax
hr1564-111,,
s1153-108,1,Wage Hour & Benefits
hr1360-114,12;22,"Fraud, Corruption & Criminal Conduct;Government Contracting"
hr358-116,17,Water Violation
hr4294-112,,
hr6108-115,,
s1576-112,,
hr7170-110,1,Wage Hour & Benefits
hr984-115,,
s2232-106,10;23,Securities & Investor Protection;Healthcare Fraud & Compliance
hr2416-111,,
hr360-114,,
hr1887-114,,
hr3406-114,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr6685-112,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr2651-111,1;15,Wage Hour & Benefits;Competition-related Offenses
hr5384-110,15,Competition-related Offenses
hr2-112,,
hr3863-113,24,Government Reporting & Compliance
hr3147-107,23,Healthcare Fraud & Compliance
s2009-114,12,"Fraud, Corruption & Criminal Conduct"
hr2164-108,,
s832-114,,
hr4217-115,11,Accounting Financial Reporting & Tax
hr5480-112,15,Competition-related Offenses
hr4415-109,14,Consumer Protection
hr1848-108,14,Consumer Protection
hr2847-108,3;15,Labor Relations;Competition-related Offenses
hr4041-107,15,Competition-related Offenses
s4049-111,18,Earth Violation
hr1681-115,1,Wage Hour & Benefits
hr444-109,6,Transportation Safety
hr3549-115,11,Accounting Financial Reporting & Tax
hr839-109,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s394-115,,
hr1405-115,1,Wage Hour & Benefits
hr3127-116,,
hr614-109,1,Wage Hour & Benefits
s647-110,18;20,Earth Violation;Energy Efficiency
hr1339-108,11,Accounting Financial Reporting & Tax
s2054-107,24,Government Reporting & Compliance
hr3547-107,,
hr4668-107,20,Energy Efficiency
hr4541-110,23,Healthcare Fraud & Compliance
hr5875-111,3;15,Labor Relations;Competition-related Offenses
hr4584-115,,
s900-115,,
hr1117-108,,
hr4389-106,,
s2237-106,1,Wage Hour & Benefits
hr939-112,18,Earth Violation
hr2252-111,23,Healthcare Fraud & Compliance
s2212-112,10;12;15,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
s761-107,,
s3112-110,1,Wage Hour & Benefits
s2980-112,15,Competition-related Offenses
hr1857-114,,
hr3797-111,,
s1960-111,,
hr4313-107,15,Competition-related Offenses
hr1598-108,17,Water Violation
s658-108,20,Energy Efficiency
hr1519-115,,
hr3827-106,,
hr2968-112,,
hr2586-111,,
s1146-109,14;15,Consumer Protection;Competition-related Offenses
hr4571-112,,
hr5361-108,,
hr1833-111,,
s2502-110,,
hr4690-112,,
hr2627-107,1,Wage Hour & Benefits
hr2251-111,23,Healthcare Fraud & Compliance
s3188-110,15,Competition-related Offenses
s2251-112,,
hr751-113,,
s2698-110,,
s4090-109,1,Wage Hour & Benefits
hr20-115,24,Government Reporting & Compliance
hr6005-112,1,Wage Hour & Benefits
s3432-111,,
s890-111,,
s2371-115,11,Accounting Financial Reporting & Tax
hr116-115,11,Accounting Financial Reporting & Tax
hr2908-109,15,Competition-related Offenses
hr446-116,,
hr4293-106,1;12;23,"Wage Hour & Benefits;Fraud, Corruption & Criminal Conduct;Healthcare Fraud & Compliance"
hr3904-108,,
hr4207-112,,
s56-110,,
hr4617-115,11,Accounting Financial Reporting & Tax
s935-113,1,Wage Hour & Benefits
hr1476-114,1,Wage Hour & Benefits
hr5934-115,,
s1535-107,23,Healthcare Fraud & Compliance
s403-109,12;26,"Fraud, Corruption & Criminal Conduct;Exploitation & Trafficking"
hr147-115,2;12,"Employment Discrimination;Fraud, Corruption & Criminal Conduct"
hr6182-109,4,Workplace Safety
s2540-106,18,Earth Violation
s861-109,1,Wage Hour & Benefits
s2491-113,23,Healthcare Fraud & Compliance
hr3580-114,,
hr2246-113,,
hr3138-115,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr4006-107,,
s3003-109,,
hr5219-107,23,Healthcare Fraud & Compliance
hr1009-116,20,Energy Efficiency
hr4610-108,23,Healthcare Fraud & Compliance
hr2119-107,18,Earth Violation
hr606-109,,
hr1055-114,1,Wage Hour & Benefits
s2989-111,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr5453-109,11,Accounting Financial Reporting & Tax
hr825-109,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr330-109,,
hr176-108,1,Wage Hour & Benefits
hr2726-113,,
s1987-115,,
hr628-109,,
hr3298-110,1,Wage Hour & Benefits
s93-108,,
s1639-108,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr2591-107,15,Competition-related Offenses
hr4262-113,10;14,Securities & Investor Protection;Consumer Protection
s2309-109,11,Accounting Financial Reporting & Tax
hr2245-108,17,Water Violation
s3070-111,18,Earth Violation
hr1834-113,,
hr4479-108,,
hr3610-108,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr5083-108,,
s710-113,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr4165-107,15,Competition-related Offenses
hr1857-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr4426-109,,
hr3447-109,10;15,Securities & Investor Protection;Competition-related Offenses
hr2985-113,5,Consumer Safety
s2673-110,,
hr3349-108,,
s2298-114,12,"Fraud, Corruption & Criminal Conduct"
hr2888-111,,
hr2881-112,1,Wage Hour & Benefits
hr2637-110,1,Wage Hour & Benefits
s1210-114,18,Earth Violation
hr1766-114,10;14,Securities & Investor Protection;Consumer Protection
s3437-111,,
hr639-115,3,Labor Relations
hr3179-111,9;10;15;22,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr3103-108,,
hr4068-115,15,Competition-related Offenses
hr4263-106,1;4;11;23,Wage Hour & Benefits;Workplace Safety;Accounting Financial Reporting & Tax;Healthcare Fraud & Compliance
hr1151-112,9;10;11,Banking AML & Sanctions;Securities & Investor Protection;Accounting Financial Reporting & Tax
hr1655-110,1,Wage Hour & Benefits
s111-112,,
hr1560-107,,
s58-107,,
hr4331-111,9;10;24,Banking AML & Sanctions;Securities & Investor Protection;Government Reporting & Compliance
s32-107,11,Accounting Financial Reporting & Tax
s2827-114,3,Labor Relations
s148-115,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr2005-107,1,Wage Hour & Benefits
hr3075-112,12,"Fraud, Corruption & Criminal Conduct"
s3321-109,15,Competition-related Offenses
hr5063-114,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr5798-114,,
s2188-108,17;22,Water Violation;Government Contracting
s1930-111,11;12;24,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr5636-112,15,Competition-related Offenses
hr3453-111,,
hr5483-111,,
hr989-109,,
hr574-115,9;15,Banking AML & Sanctions;Competition-related Offenses
hr2430-112,,
hr3904-106,24,Government Reporting & Compliance
hr3025-112,6,Transportation Safety
s3066-110,,
s867-109,12,"Fraud, Corruption & Criminal Conduct"
s1852-114,,
hr4701-108,1,Wage Hour & Benefits
hr2533-109,24,Government Reporting & Compliance
hr5513-111,17;18,Water Violation;Earth Violation
hr4792-107,17,Water Violation
hr2028-110,,
s1641-107,11,Accounting Financial Reporting & Tax
hr5175-107,,
s1126-114,,
hr5290-107,11,Accounting Financial Reporting & Tax
hr3500-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr5821-111,20,Energy Efficiency
hr2328-114,19;4;18,Lead Violation;Workplace Safety;Earth Violation
hr3019-111,,
hr1256-107,16,Air Violation
hr3086-115,24,Government Reporting & Compliance
hr3446-110,,
hr3624-116,10,Securities & Investor Protection
s1031-111,1;4;24,Wage Hour & Benefits;Workplace Safety;Government Reporting & Compliance
s936-107,10;11;15,Securities & Investor Protection;Accounting Financial Reporting & Tax;Competition-related Offenses
s2886-108,,
s1460-114,,
hr3596-108,11,Accounting Financial Reporting & Tax
s2209-113,12,"Fraud, Corruption & Criminal Conduct"
hjres97-107,,
hr3935-114,11,Accounting Financial Reporting & Tax
hr5117-107,10;15,Securities & Investor Protection;Competition-related Offenses
hr2704-110,,
hr5454-106,,
hr1045-112,,
hr2200-108,18;24,Earth Violation;Government Reporting & Compliance
hr44-109,,
hr5151-111,24,Government Reporting & Compliance
hr1900-111,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
s3517-114,11,Accounting Financial Reporting & Tax
hr4534-112,15,Competition-related Offenses
hr265-113,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s2883-107,,
hr1718-111,,
hr2468-108,6,Transportation Safety
s2771-112,15,Competition-related Offenses
hr1807-112,15,Competition-related Offenses
hr5162-108,12,"Fraud, Corruption & Criminal Conduct"
s2431-111,15,Competition-related Offenses
hr1351-113,,
s1704-108,,
s2213-107,,
s2351-112,15,Competition-related Offenses
hr1079-107,1,Wage Hour & Benefits
hr1422-111,12,"Fraud, Corruption & Criminal Conduct"
hr1354-115,12,"Fraud, Corruption & Criminal Conduct"
s2318-112,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr2192-114,1;10;14;15;24,Wage Hour & Benefits;Securities & Investor Protection;Consumer Protection;Competition-related Offenses;Government Reporting & Compliance
s1667-113,14,Consumer Protection
s1692-108,,
s1987-110,11,Accounting Financial Reporting & Tax
s286-110,11,Accounting Financial Reporting & Tax
hr4729-109,,
hr2662-114,,
hr5761-107,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr2278-113,10;15,Securities & Investor Protection;Competition-related Offenses
s819-110,11,Accounting Financial Reporting & Tax
s2138-111,15,Competition-related Offenses
s169-108,11,Accounting Financial Reporting & Tax
hr4347-106,10;12;15;25,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;National Security & Cybercrime"
s3505-112,22,Government Contracting
hr5598-113,18;22,Earth Violation;Government Contracting
hr2054-112,18,Earth Violation
hr809-111,,
s859-114,6;16;18;22,Transportation Safety;Air Violation;Earth Violation;Government Contracting
hr1702-113,,
hr1838-114,16,Air Violation
s2280-111,15,Competition-related Offenses
s2752-113,24,Government Reporting & Compliance
hr6180-111,18,Earth Violation
hr2411-114,,
hr3153-110,12,"Fraud, Corruption & Criminal Conduct"
sjres16-109,,
hr1154-112,,
s2023-115,6;24,Transportation Safety;Government Reporting & Compliance
s2576-115,,
hr1348-114,14,Consumer Protection
hr3355-115,10;15,Securities & Investor Protection;Competition-related Offenses
s291-110,24,Government Reporting & Compliance
s372-109,10;13,Securities & Investor Protection;Intellectual Property & Trade Secrets
hr5181-113,24,Government Reporting & Compliance
s1627-116,11,Accounting Financial Reporting & Tax
hr2970-107,12;25,"Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
hr5603-113,18,Earth Violation
s1590-111,20,Energy Efficiency
hr3467-110,1,Wage Hour & Benefits
hr3808-112,,
hr4744-108,,
hr1452-115,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr125-114,14,Consumer Protection
s143-115,,
hr45-113,,
hr271-116,1,Wage Hour & Benefits
s2437-113,10;12;14;15;22,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Consumer Protection;Competition-related Offenses;Government Contracting"
s3124-109,,
hr5263-109,14;23,Consumer Protection;Healthcare Fraud & Compliance
s1254-110,1,Wage Hour & Benefits
hr520-111,16;20,Air Violation;Energy Efficiency
hr374-113,1,Wage Hour & Benefits
hr4411-113,9;12;15,"Banking AML & Sanctions;Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr324-108,15,Competition-related Offenses
s3130-114,23,Healthcare Fraud & Compliance
hr3312-114,,
hr765-114,11,Accounting Financial Reporting & Tax
hr4115-110,10;15,Securities & Investor Protection;Competition-related Offenses
hr5537-111,1,Wage Hour & Benefits
hr5657-110,23,Healthcare Fraud & Compliance
hr156-108,24,Government Reporting & Compliance
hr814-113,1,Wage Hour & Benefits
hr2738-112,17,Water Violation
s282-110,,
hr2338-112,,
hr1934-108,1,Wage Hour & Benefits
hr3156-112,9;10;14,Banking AML & Sanctions;Securities & Investor Protection;Consumer Protection
s2497-114,10;11;24,Securities & Investor Protection;Accounting Financial Reporting & Tax;Government Reporting & Compliance
s2665-108,12;25,"Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
hr1702-107,7;11,Infrastructure & Nuclear Safety;Accounting Financial Reporting & Tax
hr2974-108,25,National Security & Cybercrime
s1759-116,,
s3039-109,15,Competition-related Offenses
s268-108,,
hr1804-110,1,Wage Hour & Benefits
s2720-114,10,Securities & Investor Protection
hr4084-113,,
hr283-113,24,Government Reporting & Compliance
s2200-111,15,Competition-related Offenses
s161-111,17;22,Water Violation;Government Contracting
hr850-107,,
hr4011-111,12;15,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
hr242-110,1,Wage Hour & Benefits
hr3959-111,14,Consumer Protection
hr2572-113,9;10;14,Banking AML & Sanctions;Securities & Investor Protection;Consumer Protection
hr5073-115,17,Water Violation
hr1795-114,1,Wage Hour & Benefits
hr6257-114,6,Transportation Safety
hr359-113,8,Campus Safety
hr5943-110,7;18,Infrastructure & Nuclear Safety;Earth Violation
hr1437-108,,
hr4825-106,1,Wage Hour & Benefits
s596-116,23,Healthcare Fraud & Compliance
s530-112,15,Competition-related Offenses
s759-108,,
hr1875-109,,
hr3899-114,20,Energy Efficiency
hr2566-109,6;15,Transportation Safety;Competition-related Offenses
s2811-111,21,Animal Welfare
hr6356-110,10;12;24,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr2949-107,,
s2810-106,5;14,Consumer Safety;Consumer Protection
hr5336-114,24,Government Reporting & Compliance
hr215-115,,
hr3393-114,14,Consumer Protection
hr5710-114,,
s2622-107,,
hr3485-107,6,Transportation Safety
hr2919-108,15,Competition-related Offenses
s1108-113,,
hr1838-108,,
s1073-111,10;11;24,Securities & Investor Protection;Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr3216-108,,
s1887-107,,
s344-114,11,Accounting Financial Reporting & Tax
s3949-109,,
hr5666-113,,
hr2485-109,5;14,Consumer Safety;Consumer Protection
hr5569-111,,
hr3534-113,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hjres126-113,,
sjres47-107,,
hr2996-108,1,Wage Hour & Benefits
s1904-112,1,Wage Hour & Benefits
s1580-112,21,Animal Welfare
hr2241-107,1,Wage Hour & Benefits
hr1153-109,9;10,Banking AML & Sanctions;Securities & Investor Protection
s2692-113,8,Campus Safety
hr1406-112,14,Consumer Protection
hr3634-115,,
hr1885-108,,
hr3988-106,15,Competition-related Offenses
hr2173-112,18,Earth Violation
hr4517-106,,
hr3454-112,,
hr1911-116,,
hr2723-115,3,Labor Relations
hr5533-110,18,Earth Violation
hr5131-106,15,Competition-related Offenses
s146-114,18,Earth Violation
s282-111,,
hr4111-114,10,Securities & Investor Protection
hr4999-110,15,Competition-related Offenses
hr568-116,12,"Fraud, Corruption & Criminal Conduct"
s1308-111,6;15;22,Transportation Safety;Competition-related Offenses;Government Contracting
s1275-112,24,Government Reporting & Compliance
s201-115,,
hr7149-110,,
hr2912-115,,
hr3848-107,,
hr4195-112,26,Exploitation & Trafficking
hr1072-107,,
hr6542-115,11,Accounting Financial Reporting & Tax
hr2138-107,9;10;15,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses
hr2618-109,18,Earth Violation
s2053-112,,
hr3605-110,,
hr4253-115,,
hr4407-106,8,Campus Safety
hr4226-114,15,Competition-related Offenses
hr403-115,6,Transportation Safety
s625-109,,
s2349-107,15,Competition-related Offenses
s1572-111,,
hr5304-114,1,Wage Hour & Benefits
hr1608-114,23,Healthcare Fraud & Compliance
hr6175-111,1,Wage Hour & Benefits
hr2779-113,9;10;14;24,Banking AML & Sanctions;Securities & Investor Protection;Consumer Protection;Government Reporting & Compliance
s1422-113,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
s3726-109,,
s2606-114,17,Water Violation
hr1679-115,24,Government Reporting & Compliance
s2515-107,,
hr4309-109,,
hr1199-108,10;14;23,Securities & Investor Protection;Consumer Protection;Healthcare Fraud & Compliance
hr4323-114,4;17;18,Workplace Safety;Water Violation;Earth Violation
hr404-113,12,"Fraud, Corruption & Criminal Conduct"
hr2425-110,12,"Fraud, Corruption & Criminal Conduct"
s3288-114,15,Competition-related Offenses
s14-109,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting
s1689-110,2,Employment Discrimination
hjres49-114,,
hr1826-110,,
hr5687-111,3,Labor Relations
s1092-111,20,Energy Efficiency
hr4687-109,,
hr2281-111,,
hr2004-107,,
hr4426-110,,
hr3011-107,22,Government Contracting
hr5632-114,7,Infrastructure & Nuclear Safety
s2765-111,,
s3002-112,15,Competition-related Offenses
hr2675-107,,
s3000-114,1;12;22;24,"Wage Hour & Benefits;Fraud, Corruption & Criminal Conduct;Government Contracting;Government Reporting & Compliance"
hr5824-113,12,"Fraud, Corruption & Criminal Conduct"
hr4538-110,,
s1323-110,14;15,Consumer Protection;Competition-related Offenses
s3246-114,,
hr2076-111,18,Earth Violation
hr6419-109,7;12;25,"Infrastructure & Nuclear Safety;Fraud, Corruption & Criminal Conduct;National Security & Cybercrime"
hr516-111,,
hr1031-108,1;3;12;15;24,"Wage Hour & Benefits;Labor Relations;Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Reporting & Compliance"
s811-115,,
hr3642-106,,
s2211-112,15,Competition-related Offenses
s604-116,1,Wage Hour & Benefits
s2725-110,,
hr4400-106,,
s620-109,27,Firearms Violation
s1209-107,1;15;22,Wage Hour & Benefits;Competition-related Offenses;Government Contracting
s154-111,,
s2063-114,17;18,Water Violation;Earth Violation
hr2794-110,1,Wage Hour & Benefits
hr523-112,15,Competition-related Offenses
hr3218-107,17;18,Water Violation;Earth Violation
hr4685-114,,
hr6283-109,,
hr3410-113,,
hjres42-110,,
hr6936-110,10;15,Securities & Investor Protection;Competition-related Offenses
hr3297-111,15,Competition-related Offenses
hr124-109,18,Earth Violation
hr327-107,24,Government Reporting & Compliance
hr2813-114,,
hr2301-107,22,Government Contracting
hr3789-110,14,Consumer Protection
s2414-113,16,Air Violation
hr4074-113,12,"Fraud, Corruption & Criminal Conduct"
s1508-112,10;15,Securities & Investor Protection;Competition-related Offenses
s1198-112,,
hr5152-106,23,Healthcare Fraud & Compliance
hr1395-109,12;23,"Fraud, Corruption & Criminal Conduct;Healthcare Fraud & Compliance"
s443-111,,
hr1740-110,,
hr332-107,14;15,Consumer Protection;Competition-related Offenses
hr5560-111,,
hr3678-108,1,Wage Hour & Benefits
hr3511-107,23,Healthcare Fraud & Compliance
s2575-109,15,Competition-related Offenses
hr1340-108,1,Wage Hour & Benefits
s2822-112,15,Competition-related Offenses
hr2236-107,1,Wage Hour & Benefits
hr4530-110,,
hr166-109,22,Government Contracting
hr6176-110,,
s71-115,11,Accounting Financial Reporting & Tax
s683-114,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr1129-114,3,Labor Relations
s1134-111,16,Air Violation
s786-115,,
s1136-113,,
hr3759-108,11;12;24,"Accounting Financial Reporting & Tax;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s862-110,,
hr153-112,16,Air Violation
s2931-109,15,Competition-related Offenses
hr4374-110,15,Competition-related Offenses
hjres4-111,,
hr4747-109,10;23,Securities & Investor Protection;Healthcare Fraud & Compliance
hr2214-112,11,Accounting Financial Reporting & Tax
s2140-115,18,Earth Violation
s2310-108,7,Infrastructure & Nuclear Safety
hr5043-113,26,Exploitation & Trafficking
s172-109,5,Consumer Safety
s1408-111,16;20,Air Violation;Energy Efficiency
hr3837-109,,
hr4129-110,,
s1507-108,24,Government Reporting & Compliance
hr1995-109,14,Consumer Protection
hr1238-109,14,Consumer Protection
hr3077-107,3;15,Labor Relations;Competition-related Offenses
s463-110,24,Government Reporting & Compliance
s2814-110,17,Water Violation
hr4917-110,,
hr1105-111,10;15,Securities & Investor Protection;Competition-related Offenses
hr5645-113,11,Accounting Financial Reporting & Tax
s618-111,,
s1968-113,,
s3436-109,,
s2790-113,2,Employment Discrimination
hr5048-111,14,Consumer Protection
hr2206-112,1,Wage Hour & Benefits
s762-107,,
hr1657-113,,
s2888-113,14,Consumer Protection
s2715-113,11;22,Accounting Financial Reporting & Tax;Government Contracting
s2858-108,1,Wage Hour & Benefits
s2886-113,12,"Fraud, Corruption & Criminal Conduct"
s2050-106,12;14;15,"Fraud, Corruption & Criminal Conduct;Consumer Protection;Competition-related Offenses"
s1753-115,14,Consumer Protection
hr5122-107,,
s278-112,,
hr1611-112,1;10;15;22,Wage Hour & Benefits;Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr6256-114,,
hr6565-110,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr3129-113,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
s1868-114,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
hr470-108,1,Wage Hour & Benefits
hr3860-113,,
s2656-111,15,Competition-related Offenses
hr6416-112,,
hr423-108,,
s2915-107,,
hr4546-109,12;24,"Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
s1794-116,10;11,Securities & Investor Protection;Accounting Financial Reporting & Tax
s446-109,,
s2432-106,15,Competition-related Offenses
hr4674-108,12,"Fraud, Corruption & Criminal Conduct"
s2381-107,15,Competition-related Offenses
hr5018-113,9;10;24,Banking AML & Sanctions;Securities & Investor Protection;Government Reporting & Compliance
s2206-107,15,Competition-related Offenses
hr1687-114,14,Consumer Protection
sjres16-110,10;12;15,"Securities & Investor Protection;Fraud, Corruption & Criminal Conduct;Competition-related Offenses"
s222-107,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
s2952-111,1;22,Wage Hour & Benefits;Government Contracting
s1243-107,,
hr958-108,10;15,Securities & Investor Protection;Competition-related Offenses
s3442-111,10;15;20,Securities & Investor Protection;Competition-related Offenses;Energy Efficiency
hr5477-112,15,Competition-related Offenses
hr5314-113,,
s2616-107,,
s2032-106,,
hr3513-107,,
hr5775-111,24,Government Reporting & Compliance
s999-108,18,Earth Violation
hr3927-106,2;3;12;24,"Employment Discrimination;Labor Relations;Fraud, Corruption & Criminal Conduct;Government Reporting & Compliance"
hr2095-107,,
hr1679-108,18,Earth Violation
s3954-109,23,Healthcare Fraud & Compliance
s753-115,15,Competition-related Offenses
hr4537-115,10;24,Securities & Investor Protection;Government Reporting & Compliance
s1991-110,,
s716-112,,
s1587-113,,
s1752-115,18,Earth Violation
hr5206-110,15,Competition-related Offenses
hr6224-109,12;14,"Fraud, Corruption & Criminal Conduct;Consumer Protection"
s2644-110,1,Wage Hour & Benefits
s1589-107,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
hr3859-115,17,Water Violation
hr2455-108,6,Transportation Safety
hr1462-115,,
hr3301-114,,
hr2809-108,,
s2131-106,5,Consumer Safety
s13-115,11;24,Accounting Financial Reporting & Tax;Government Reporting & Compliance
s505-110,,
hr2898-115,18,Earth Violation
hr4462-111,24,Government Reporting & Compliance
s2779-106,10;15;22;24,Securities & Investor Protection;Competition-related Offenses;Government Contracting;Government Reporting & Compliance
hr2157-108,,
hr6263-114,,
hr4317-110,15,Competition-related Offenses
s2752-111,5,Consumer Safety
hr905-109,18;22,Earth Violation;Government Contracting
s3913-109,,
hr1571-112,12,"Fraud, Corruption & Criminal Conduct"
hr6344-111,,
s426-110,,
s727-113,9;10;15;24,Banking AML & Sanctions;Securities & Investor Protection;Competition-related Offenses;Government Reporting & Compliance
s1835-107,9;10,Banking AML & Sanctions;Securities & Investor Protection
hr1467-107,15,Competition-related Offenses
hr215-109,1,Wage Hour & Benefits
hr1682-108,,
hr4300-108,17,Water Violation
hr2654-115,1,Wage Hour & Benefits
s254-108,,
s560-110,,
hr4005-110,12;26,"Fraud, Corruption & Criminal Conduct;Exploitation & Trafficking"
hr166-116,2;10;14,Employment Discrimination;Securities & Investor Protection;Consumer Protection
s2027-113,,
s335-114,11,Accounting Financial Reporting & Tax
hr4087-110,,
s2670-111,15,Competition-related Offenses
hr2582-112,10;15,Securities & Investor Protection;Competition-related Offenses
hr5738-113,,
hr5979-109,10;14;23,Securities & Investor Protection;Consumer Protection;Healthcare Fraud & Compliance
s1942-111,,
s315-113,10;23,Securities & Investor Protection;Healthcare Fraud & Compliance
hr1370-112,,
hr3563-113,10;15,Securities & Investor Protection;Competition-related Offenses
hr3627-110,,
hr5592-110,1;23,Wage Hour & Benefits;Healthcare Fraud & Compliance
s1338-109,17,Water Violation
s3355-110,7;15,Infrastructure & Nuclear Safety;Competition-related Offenses
hr2372-113,12,"Fraud, Corruption & Criminal Conduct"
s2926-109,15,Competition-related Offenses
hr681-114,15,Competition-related Offenses
hr4133-108,11,Accounting Financial Reporting & Tax
hr5676-107,,
hr2887-112,6;16,Transportation Safety;Air Violation
s2499-114,1,Wage Hour & Benefits
hr1339-113,,
s2248-112,17;18,Water Violation;Earth Violation
hr2490-108,12;14;23,"Fraud, Corruption & Criminal Conduct;Consumer Protection;Healthcare Fraud & Compliance"
hr1285-116,14,Consumer Protection
hr7183-110,,
s42-116,12,"Fraud, Corruption & Criminal Conduct"
hr1616-116,15,Competition-related Offenses
hr5058-109,10;15;22,Securities & Investor Protection;Competition-related Offenses;Government Contracting
hr5685-115,23,Healthcare Fraud & Compliance
s2980-108,10;15,Securities & Investor Protection;Competition-related Offenses
s2997-106,,
hr3116-111,22,Government Contracting
hr1843-111,12,"Fraud, Corruption & Criminal Conduct"
s2935-108,1,Wage Hour & Benefits
hr1235-108,10;15,Securities & Investor Protection;Competition-related Offenses
s907-112,11,Accounting Financial Reporting & Tax
s3185-106,12;15;22,"Fraud, Corruption & Criminal Conduct;Competition-related Offenses;Government Contracting"
s1838-108,,
s1205-108,,
hr2082-110,24,Government Reporting & Compliance
s1662-108,1,Wage Hour & Benefits
s1915-113,,
hr2695-116,,
hr3896-109,,
s23-113,,
hr2234-108,,
hr3617-113,1,Wage Hour & Benefits
s159-113,,
