bill_id,official_title,short_title,policy_area,subjects,category_qwen,bill_type_qwen,bill_category_qwen,reason_qwen,category_4o,bill_type_4o,bill_category_4o,reason_4o,category_sonnet,bill_type_sonnet,bill_category_sonnet,reason_sonnet,category_opus,bill_type_opus,bill_category_opus,reason_opus
hr366-114,"To reauthorize the VOW to Hire Heroes Act of 2011, to provide assistance to small businesses owned by veterans, to improve enforcement of employment and reemployment rights of members of the uniformed services, and for other purposes.",Putting Our Veterans Back to Work Act of 2015,Armed Forces and National Security,"Administrative law and regulatory procedures|Civil actions and liability|Congressional oversight|Disability and paralysis|Employee hiring|Employment and training programs|Employment discrimination and employee rights|Evidence and witnesses|Fires|First responders and emergency personnel|Government information and archives|Government studies and investigations|Law enforcement officers|Military procurement, research, weapons development|Office of Management and Budget (OMB)|Public contracts and procurement|Unemployment|Veterans' education, employment, rehabilitation",1.0,enforcement,wage_hour,"The bill strengthens enforcement mechanisms for the Uniformed Services Employment and Reemployment Rights Act (USERRA), which governs private employer obligations regarding the reemployment and benefits of employees returning from military service, thereby regulating private employer conduct related to employment rights and benefits.",1,enforcement,wage_hour,"Improves enforcement of employment and reemployment rights under USERRA, directly affecting private employer obligations regarding veterans' employment rights.",1,enforcement,wage_hour,"The bill strengthens USERRA enforcement by allowing veteran complainants to intervene in AG actions, imposing AG notification deadlines, authorizing contractor debarment for USERRA violations, and expanding investigative powers—all of which tighten private employer obligations regarding employment and reemployment rights of uniformed service members.",1,enforcement,wage_hour,"The bill strengthens enforcement of USERRA employment and reemployment rights against private employers, including allowing the AG to commence actions against state or private employers engaged in patterns of resistance, authorizing suspension/debarment of federal contractors for USERRA violations, and granting the AG civil investigative demand authority — all of which directly tighten private employer obligations regarding reemployment rights of uniformed service members."
s2048-115,A bill to amend the Internal Revenue Code of 1986 to provide a credit for employer-provided worker training.,Investing in American Workers Act,Taxation,Employment and training programs|Employment taxes|Higher education|Income tax credits|Income tax rates|Licensing and registrations|Small business|Tax-exempt organizations,1.0,tax_credit_introduction,wage_hour,"Introduces a tax credit for employer-provided worker training, which qualifies under the specific exception for credits tied to employer-provided job training rather than general hiring incentives.",1,tax_credit_introduction,wage_hour,"Introduces a tax credit for employers who increase worker training expenditures, incentivizing private employer conduct related to employee training and development.",1,tax_credit_introduction,wage_hour,"Introduces a new tax credit for private employers who increase qualified worker training expenditures for non-highly compensated employees, incentivizing employer-provided training programs that relate to wage and hour conduct.",1,tax_credit_introduction,wage_hour,"Introduces a new tax credit for private employers who increase worker training expenditures, directly incentivizing employer-provided job training programs for non-highly compensated employees."
hr170-115,"To amend the Immigration and Nationality Act to modify the definition of ""exempt H-1B nonimmigrant"".",Protect and Grow American Jobs Act,Immigration,Employee hiring|Foreign labor|Inflation and prices|Visas and passports|Wages and earnings,1.0,enforcement,wage_hour,"The bill raises the minimum salary threshold for H-1B visa exemptions, directly regulating private employer wage obligations to prevent the underpayment of specialty occupation workers.",,,,"The bill modifies the definition of 'exempt H-1B nonimmigrant' by adjusting salary thresholds, which relates to immigration policy rather than directly regulating private employer wage, hour, or benefit obligations.",1,enforcement,wage_hour,"Raises the minimum salary threshold for exempt H-1B workers from $60,000 to $100,000 and mandates inflation adjustments, directly strengthening wage floor requirements that private employers must meet when hiring H-1B specialty occupation workers.",1,enforcement,wage_hour,"The bill raises the salary threshold for exempt H-1B nonimmigrants from $60,000 to $100,000 with inflation adjustments, directly tightening wage obligations that H-1B dependent private employers must meet when hiring foreign specialty occupation workers, which relates to employer wage requirements."
hr1625-116,"To amend the Internal Revenue Code of 1986 to provide a safe harbor for determinations of worker classification, to require increased reporting, and for other purposes.",New Economy Works to Guarantee Independence and Growth Act of 2019,Taxation,"Contracts and agency|Employment taxes|Self-employed|Tax administration and collection, taxpayers|Wages and earnings",1.0,enforcement,wage_hour,"The bill establishes a statutory test for determining independent contractor versus employee status for tax purposes, which directly regulates private employer obligations regarding worker classification and associated wage/tax withholding responsibilities.",,,,"The bill primarily addresses tax classification of workers as independent contractors versus employees, which relates to tax administration rather than private employer wage or benefit obligations.",1,enforcement,wage_hour,"Establishes a safe harbor test for classifying workers as independent contractors versus employees, directly affecting private employer wage and hour obligations under the FLSA and related statutes that hinge on employment status.",1,enforcement,wage_hour,"The bill establishes a safe harbor test for classifying workers as independent contractors rather than employees for tax purposes, directly affecting private employer wage and hour obligations by determining whether workers receive employee protections (overtime, minimum wage, benefits) or are treated as independent contractors — worker classification is a core wage and hour issue under the FLSA."
s1204-113,"A bill to amend the Patient Protection and Affordable Care Act to protect rights of conscience with regard to requirements for coverage of specific items and services, to amend the Public Health Service Act to prohibit certain abortion-related discrimination in governmental activities, and for other purposes.",Health Care Conscience Rights Act,Health,Abortion|Civil actions and liability|Comprehensive health care|Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Health personnel|Health programs administration and funding|Legal fees and court costs|Medical education|Religion|Sales and excise taxes,1.0,enforcement,healthcare,"The bill amends the ACA and Public Health Service Act to prohibit discrimination against group health plan sponsors and issuers that refuse to cover abortion-related services, thereby regulating the coverage obligations and administrative conduct of private employers as ERISA plan sponsors.",,,,"The bill primarily addresses conscience rights related to health insurance coverage and abortion-related discrimination, not private employer wage or benefit obligations.",1,enforcement,healthcare,"Amends the ACA and ERISA-related provisions to exempt private employers as group health plan sponsors from covering specific services based on religious or moral objections, directly modifying employer obligations under federal health benefit law.",1,enforcement,healthcare,"The bill amends the ACA to allow group health plan sponsors and health insurance issuers to exclude coverage of abortion or other items/services based on moral or religious objections, and prohibits imposition of penalties for such exclusions, directly altering private employer obligations as sponsors of employer-sponsored group health plans under ERISA/ACA."
s1358-112,A bill to amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Parental Bereavement Act of 2011,Labor and Employment,"Employee leave|Family relationships|Government employee pay, benefits, personnel management|Teaching, teachers, curricula",1.0,enforcement,wage_hour,"Amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating private employer obligations regarding protected leave.",1,enforcement,wage_hour,"Amends the FMLA to extend leave entitlements to private employees for bereavement, directly affecting private employer obligations under FMLA leave provisions.",1,enforcement,wage_hour,"Amends the FMLA to create a new protected leave entitlement for private employers when an employee experiences the death of a son or daughter, directly expanding employer leave obligations under federal wage and hour law.",1,enforcement,wage_hour,"Amends the Family and Medical Leave Act to create a new entitlement to up to 12 weeks of leave for private-sector employees following the death of a son or daughter, directly expanding private employer leave obligations under FMLA."
hr2341-112,"To amend the Fair Labor Standards Act with regard to certain exemptions under that Act for direct care workers and to improve the systems for the collection and reporting of data relating to the direct care workforce, and for other purposes.",Direct Care Job Quality Improvement Act of 2011,Labor and Employment,"Allied health services|Census and government statistics|Employment and training programs|Government information and archives|Health personnel|Home and outpatient care|Labor standards|Long-term, rehabilitative, and terminal care|Medicaid|Wages and earnings",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to modify exemptions from minimum wage and overtime requirements for direct care workers, directly regulating private employer wage and hour obligations.",1,enforcement,wage_hour,"Amends the Fair Labor Standards Act to address exemptions affecting direct care workers, directly impacting private employer wage obligations under the FLSA.",1,enforcement,wage_hour,"Amends the FLSA's companionship services exemption from minimum wage and overtime requirements, directly modifying private employer wage and hour obligations for direct care workers.",1,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to modify the companionship services exemption from minimum wage and maximum hour requirements for direct care workers, directly affecting private employer wage and hour obligations under the FLSA."
hr364-112,"To repeal the Patient Protection and Affordable Care Act and to take meaningful steps to lower health care costs and increase access to health insurance coverage without raising taxes, cutting Medicare benefits for seniors, adding to the national deficit, intervening in the doctor-patient relationship, or instituting a government takeover of health care.",Common Sense Health Reform Americans Actually Want Act,Health,Abortion|Administrative law and regulatory procedures|Administrative remedies|Child health|Civil actions and liability|Comprehensive health care|Department of Health and Human Services|Disability and health-based discrimination|Emergency medical services and trauma care|Employee benefits and pensions|Evidence and witnesses|Executive agency funding and structure|Family relationships|Federal preemption|Government information and archives|Health care costs and insurance|Health care coverage and access|Health care quality|Health facilities and institutions|Health information and medical records|Health personnel|Health promotion and preventive care|Income tax deductions|Intergovernmental relations|Judicial procedure and administration|Judicial review and appeals|Jurisdiction and venue|Medicaid|Medical ethics|Medical research|Medicare|Small business|State and local government operations,1.0,enforcement,healthcare,"The bill amends ERISA to establish governance standards for small business health plans and mandates dependent coverage until age 26 for group health plans, directly imposing obligations on private employers as plan sponsors.",1,enforcement,healthcare,"Amends ERISA to establish and govern small business health plans, imposing new obligations on private employers as sponsors of group health plans.",1,enforcement,healthcare,"Amends ERISA to impose new obligations on private employers as sponsors of group health plans, including dependent coverage until age 26, prohibition on preexisting condition exclusions for minors, and wellness program premium variation rules.",1,enforcement,healthcare,"The bill amends ERISA to establish small business health plans with new governance and certification requirements, continues dependent coverage and preexisting condition protections for employer-sponsored group health plans, and modifies wellness program premium variation rules — all of which impose or modify obligations on private employers as sponsors of group health plans under ERISA."
hr1311-112,To provide for the coverage of medically necessary food under Federal health programs and private health insurance.,Medical Foods Equity Act of 2011,Health,Child health|Digestive and metabolic diseases|Food assistance and relief|Health care costs and insurance|Health care coverage and access|Medicare|Nutrition and diet|Poverty and welfare assistance,1.0,enforcement,healthcare,"Amends ERISA to require employer-sponsored group health plans to cover medically necessary food and related supplies, imposing a new coverage obligation on private employers as plan sponsors.",1,enforcement,healthcare,"Amends ERISA to require employer-sponsored group health plans to cover medically necessary food and related supplies, imposing a new coverage obligation on private employers as plan sponsors.",1,enforcement,healthcare,"Amends ERISA to impose new mandatory coverage requirements on private employer-sponsored group health plans for medically necessary food and related treatments, directly expanding private employer obligations as plan sponsors.",1,enforcement,healthcare,"The bill amends ERISA to require employer-sponsored group health plans to provide coverage of medically necessary food, vitamins, and amino acids for inborn errors of metabolism, imposing a new coverage obligation on private employers as plan sponsors."
hr711-113,"To amend titles 23 and 49, United States Code, to repeal wage requirements applicable to laborers and mechanics employed on Federal-aid highway and public transportation construction projects.",Highway Trust Fund Reform Act of 2013,Transportation and Public Works,Public contracts and procurement|Public transit|Roads and highways|Transportation programs funding|Wages and earnings,1.0,enforcement,wage_hour,"The bill repeals the Davis-Bacon Act requirements for prevailing wages on federal-aid highway and public transportation construction projects, directly altering the wage obligations imposed on private contractors and employers working on these federal projects.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act, removing prevailing wage requirements for laborers on federal-aid highway and public transportation projects, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"Repeals Davis-Bacon Act prevailing wage requirements for private contractors on federal-aid highway and public transportation projects, directly weakening private employer wage obligations under federal procurement law.",1,enforcement,wage_hour,"Repeals the Davis-Bacon Act prevailing wage requirements for laborers and mechanics on federal-aid highway and public transportation construction projects, directly weakening wage obligations imposed on private employers (contractors) performing federal contract work."
hr5535-114,"To amend the Family and Medical Leave Act of 1993 and title 5, United States Code, to allow employees to take, as additional leave, parental involvement leave to participate in or attend their children's and grandchildren's educational and extracurricular activities and for other purposes.",Family Leave for Parental Involvement in Education Act,Labor and Employment,"Community life and organization|Elementary and secondary education|Employee leave|Family relationships|Government employee pay, benefits, personnel management",1.0,enforcement,wage_hour,"The bill amends the Family and Medical Leave Act (FMLA) to expand leave entitlements for private sector employees, directly regulating private employer obligations regarding employee leave.",1,enforcement,wage_hour,"Expands FMLA leave provisions to include parental involvement leave, directly affecting private employer obligations regarding employee leave.",1,enforcement,wage_hour,"Amends the FMLA to create a new protected leave category for parental involvement in children's education, directly expanding private employer leave obligations under federal wage and hour law.",1,enforcement,wage_hour,"The bill amends the FMLA to create a new category of protected leave (parental involvement leave) that private employers must grant to employees, directly expanding private employer leave obligations under federal law."
s124-116,A bill to amend the Fair Labor Standards Act of 1938 to prevent employers from using non-compete agreements in employment contracts for certain non-exempt employees.,Freedom to Compete Act,Labor and Employment,Competition and antitrust|Contracts and agency|Employment discrimination and employee rights|Labor standards|Labor-management relations,1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to prohibit private employers from enforcing non-compete agreements for certain workers, directly regulating employer conduct that suppresses wages and bargaining power.",1,enforcement,wage_hour,"Prohibits employers from using non-compete agreements for certain lower wage workers, directly regulating private employer wage conduct under the FLSA.",1,enforcement,wage_hour,"Prohibits private employers from enforcing non-compete agreements on certain non-exempt employees, directly regulating employer conduct that suppresses worker wages and mobility under the FLSA framework.",1,enforcement,wage_hour,"The bill amends the FLSA to prohibit private employers from enforcing non-compete agreements against lower-wage workers, directly regulating a mechanism by which employers suppress worker wages and bargaining power."
hr631-112,To amend the Fair Labor Standards Act of 1938 to establish a base minimum wage for tipped employees.,WAGES Act,Labor and Employment,Wages and earnings,1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to establish a mandatory base minimum wage for tipped employees, directly regulating private employer wage obligations.",1,enforcement,wage_hour,"Establishes a base minimum wage for tipped employees under the FLSA, directly affecting private employer wage obligations.",1,enforcement,wage_hour,"Amends the FLSA to raise the minimum cash wage that private employers must pay tipped employees, directly strengthening wage and hour obligations under federal law.",1,enforcement,wage_hour,"Amends the FLSA to raise the base minimum wage for tipped employees, directly tightening private employer wage obligations regarding tip credit rules."
s479-113,"A bill to amend the Internal Revenue Code of 1986 to clarify the employment tax treatment and reporting of wages paid by professional employer organizations, and for other purposes.",Small Business Efficiency Act,Taxation,"Accounting and auditing|Contracts and agency|Employment taxes|Licensing and registrations|Social security and elderly assistance|Tax administration and collection, taxpayers|User charges and fees|Wages and earnings",1.0,enforcement,wage_hour,"The bill clarifies the employment tax treatment and reporting obligations for wages paid by professional employer organizations (PEOs), directly regulating how private employers and PEOs handle wage-related tax compliance and remittance.",,,,"The bill primarily addresses the tax treatment and reporting of wages by professional employer organizations, not private employer wage or benefit obligations.",,,,"Bill addresses tax administration and certification requirements for professional employer organizations (PEOs) regarding employment tax collection and remittance, not private employer wage, hour, or benefit obligations under FLSA, ERISA, FMLA, or WARN Act.",,,,"This bill clarifies employment tax treatment and reporting for professional employer organizations (PEOs) under the Internal Revenue Code, addressing tax administration and collection mechanics rather than imposing new wage, hour, or benefit obligations on private employers."
s3462-114,"A bill to provide for a 6-month delay in the effective date of a rule of the Department of Labor relating to income thresholds for determining overtime pay for executive, administrative, professional, outside sales, and computer employees.","Regulatory Relief for Small Businesses, Schools, and Nonprofits Act",Labor and Employment,,1.0,enforcement,wage_hour,"The bill delays the effective date of a Department of Labor rule revising income thresholds for overtime pay exemptions under the FLSA, directly affecting private employer wage and hour obligations.",1,enforcement,wage_hour,"Delays the implementation of a Department of Labor rule that revises income thresholds for overtime pay, affecting private employer wage obligations under the FLSA.",1,enforcement,wage_hour,"Delays implementation of a DOL rule revising FLSA overtime exemption thresholds, directly affecting private employer wage and hour obligations for white collar employees.",1,enforcement,wage_hour,"The bill delays the effective date of a DOL rule revising overtime pay income thresholds for white-collar exemptions under the FLSA, directly affecting private employer overtime obligations."
s1248-113,"A bill to permit employees to request, and to ensure employers consider requests for, flexible work terms and conditions, and for other purposes.",Flexibility for Working Families Act,Labor and Employment,"Administrative remedies|Civil actions and liability|Congressional agencies|Congressional officers and employees|Department of Labor|Employment discrimination and employee rights|Government Accountability Office (GAO)|Government employee pay, benefits, personnel management|Government information and archives|Judicial review and appeals|Labor standards|Labor-management relations|Library of Congress|State and local government operations",1.0,enforcement,wage_hour,"The bill imposes new obligations on private employers to consider employee requests for flexible work terms regarding hours, schedules, and location, and prohibits interference with these rights, directly regulating private employer conduct related to work hours and conditions.",1,enforcement,wage_hour,"The bill enforces employer obligations to consider employee requests for flexible work terms, impacting private employer wage and hour conditions under labor standards.",1,enforcement,wage_hour,"Establishes new obligations on private employers to consider and respond to employee requests for flexible work arrangements (hours, scheduling, location, notice), with enforcement mechanisms including civil penalties and private rights of action, directly regulating employer wage and hour practices.",1,enforcement,wage_hour,"The bill imposes new obligations on private employers to consider employee requests for flexible work schedules and conditions, prohibits employer interference with these rights, and establishes enforcement mechanisms including civil penalties, directly regulating private employer conduct regarding hours and working conditions."
s1341-115,A bill to amend the Fair Labor Standards Act of 1938 to prohibit employment of children in tobacco-related agriculture by deeming such employment as oppressive child labor.,Children Don't Belong on Tobacco Farms Act,Labor and Employment,"Drug, alcohol, tobacco use|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to prohibit private employers from employing children in tobacco-related agriculture, directly regulating private employer conduct regarding child labor and oppressive working conditions.",1,enforcement,wage_hour,"Amends the FLSA to classify employment of minors in tobacco-related agriculture as oppressive child labor, directly regulating private employer wage and hour obligations.",1,enforcement,wage_hour,"Amends the FLSA to expand the definition of oppressive child labor by prohibiting employment of minors under 18 in tobacco-related agriculture, directly strengthening private employer child labor obligations.",1,enforcement,wage_hour,"The bill amends the FLSA to expand the definition of 'oppressive child labor' to prohibit employment of minors under 18 in tobacco-related agriculture, directly tightening child labor restrictions on private employers."
s1656-113,A bill to clarify that volunteers at a children's consignment event are not employees under the Fair Labor Standards Act of 1938.,Children's Consignment Event Recognition Act of 2013,Labor and Employment,"Labor standards|Retail and wholesale trades|Social work, volunteer service, charitable organizations",1.0,enforcement,wage_hour,"Amends the Fair Labor Standards Act to clarify the definition of 'employee' for volunteers at children's consignment events, directly regulating private employer obligations regarding minimum wage and overtime coverage.",1,enforcement,wage_hour,"Amends the FLSA to exclude certain volunteers from being classified as employees, affecting private employer wage obligations under minimum wage and overtime rules.",1,enforcement,wage_hour,"Amends the FLSA to create a new exemption from minimum wage and overtime requirements for volunteers at children's consignment events, directly weakening private employer wage obligations under federal labor standards.",1,enforcement,wage_hour,"The bill amends the FLSA to exclude volunteers at children's consignment events from the definition of 'employee,' directly loosening private employer minimum wage and maximum hours obligations under the Fair Labor Standards Act."
s1386-115,"A bill to permit employees to request changes to their work schedules without fear of retaliation and to ensure that employers consider these requests, and to require employers to provide more predictable and stable schedules for employees in certain occupations with evidence of unpredictable and unstable scheduling practices that negatively affect employees, and for other purposes.",Schedules That Work Act,Labor and Employment,Civil actions and liability|Employee leave|Employment and training programs|Employment discrimination and employee rights|Food industry and services|Labor standards|Labor-management relations|Retail and wholesale trades|Wages and earnings|Worker safety and health,1.0,enforcement,wage_hour,"The bill imposes new obligations on private employers regarding work schedule predictability, advance notice, and reporting time pay, directly regulating wage and hour conduct.",1,enforcement,wage_hour,"The bill enforces new requirements on private employers to provide predictable work schedules and prohibits retaliation against employees requesting schedule changes, directly regulating employer wage and hour obligations.",1,enforcement,wage_hour,"Imposes new obligations on private employers regarding work schedule predictability, advance notice, reporting time pay, and split shift pay for retail, food service, and cleaning employees, directly regulating employer wage and hour practices under labor standards law.",1,enforcement,wage_hour,"The bill directly regulates private employer scheduling practices, requires reporting time and split shift pay, mandates advance notice of work schedules, and prohibits retaliation against employees exercising these rights, all of which impose new wage and hour obligations on private employers."
s1188-113,A bill to amend the Internal Revenue Code of 1986 to modify the definition of full-time employee for purposes of the individual mandate in the Patient Protection and Affordable Care Act.,Forty Hours Is Full Time Act of 2013,Taxation,Employee benefits and pensions|Health care costs and insurance|Health care coverage and access|Sales and excise taxes,1.0,enforcement,healthcare,"The bill modifies the definition of a full-time employee for the ACA employer mandate, directly altering the threshold at which private employers are obligated to provide health coverage or face penalties, thereby regulating private employer health benefit obligations.",1,enforcement,healthcare,"Modifies the definition of 'full-time employee' for the ACA employer mandate, affecting private employer obligations to provide health care coverage.",1,enforcement,healthcare,"Modifies the ACA employer mandate's definition of full-time employee from 30 to 40 hours per week, directly altering private employer obligations under employer-sponsored group health plan requirements.",1,enforcement,healthcare,"The bill amends the ACA employer mandate threshold by redefining 'full-time employee' from 30 to 40 hours per week, directly modifying the obligation on private employers to provide group health coverage under the employer shared responsibility provision, thereby reducing the scope of the employer mandate."
hr397-112,"To repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 and to take meaningful steps to lower health care costs and increase access to health insurance coverage without raising taxes, cutting Medicare benefits for seniors, adding to the national deficit, intervening in the doctor-patient relationship, or instituting a government takeover of health care.",Reform Americans Can Afford Act of 2011,Health,"Abortion|Administrative law and regulatory procedures|Administrative remedies|Advisory bodies|Bankruptcy|Civil actions and liability|Comprehensive health care|Consumer affairs|Department of Health and Human Services|Disability and health-based discrimination|Drug safety, medical device, and laboratory regulation|Employee benefits and pensions|Executive agency funding and structure|Family relationships|Federal-Indian relations|Government information and archives|Government lending and loan guarantees|Health care costs and insurance|Health care coverage and access|Health care quality|Health programs administration and funding|Health promotion and preventive care|Higher education|Income tax credits|Intellectual property|Judicial procedure and administration|Licensing and registrations|Medicaid|Medical research|Medicare|Small business|State and local government operations|State and local taxation|Student aid and college costs|User charges and fees",1.0,enforcement,healthcare,"The bill amends ERISA to impose specific coverage obligations on employer-sponsored group health plans, such as requiring dependent coverage until age 25 and establishing governance rules for association health plans, which directly regulates private employer conduct regarding employee benefits.",1,enforcement,healthcare,"Amends ERISA to establish and govern association health plans and requires group health plans to extend dependent coverage, directly imposing new obligations on private employers as plan sponsors.",1,enforcement,healthcare,"Amends ERISA to impose new obligations on private employers as group health plan sponsors, including dependent coverage requirements up to age 25 and association health plan governance standards, directly regulating employer-sponsored health benefit obligations.",1,enforcement,healthcare,"The bill amends ERISA to establish association health plans with certification requirements, mandates dependent coverage continuation to age 25 for group health plans, permits employer auto-enrollment in group health plans, and allows wellness program premium variations — all of which impose or modify obligations on private employers as sponsors of employer-sponsored group health plans."
hr1423-114,"To amend the Public Health Service Act, the Employee Retirement Income Security Act of 1974, and the Internal Revenue Code of 1986 to exclude from the definition of health insurance coverage certain medical stop-loss insurance obtained by certain plan sponsors of group health plans.",Self-Insurance Protection Act,Health,Employee benefits and pensions|Health care costs and insurance|Insurance industry and regulation,1.0,enforcement,healthcare,"Amends ERISA to clarify the regulatory status of stop-loss insurance for self-insured group health plans, directly affecting the compliance obligations and risk management structures of private employers sponsoring these plans.",,,,"The bill modifies the definition of health insurance coverage for self-insured plans but does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",1,enforcement,healthcare,"Amends ERISA to clarify that stop-loss insurance obtained by self-insured group health plan sponsors is not health insurance coverage, affecting the regulatory framework governing private employer-sponsored health benefit plans.",1,enforcement,healthcare,"The bill amends ERISA's definition of 'health insurance coverage' to exclude medical stop-loss insurance obtained by sponsors of self-insured group health plans, directly altering the regulatory classification and obligations applicable to private employers as sponsors of employer-sponsored group health plans under ERISA."
s1088-112,A bill to provide increased funding for the reinsurance for early retirees program.,Retiree Health Coverage Protection Act,Health,Employee benefits and pensions|Health care costs and insurance,1.0,enforcement,healthcare,"The bill amends the ACA to expand the temporary reinsurance program for employer-sponsored group health plans covering early retirees, thereby regulating the financial obligations and coverage sustainability of private employers as plan sponsors under ERISA.",,,,"The bill increases funding for a government reinsurance program under the ACA, which does not impose new obligations on private employers regarding wage, hour, or benefit compliance.",1,enforcement,healthcare,"Increases funding for a reinsurance program that supports employer-sponsored group health plans covering early retirees, directly relating to private employer obligations under employment-based health benefit arrangements.",1,enforcement,healthcare,"The bill increases funding for a reinsurance program that directly reimburses employer-sponsored group health benefit plans for costs of covering early retirees, thereby reinforcing private employer obligations to maintain health coverage for early retirees under employment-based group health plans."
s959-114,"A bill to establish a tax credit for on-site apprenticeship programs, and for other purposes.",Apprenticeship and Jobs Training Act of 2015,Taxation,Congressional oversight|Employee benefits and pensions|Employment and training programs|Government studies and investigations|Income tax credits|Income tax exclusion|Military education and training|Wages and earnings,1.0,tax_credit_introduction,wage_hour,"Introduces a tax credit for employers who provide on-the-job training through qualified apprenticeship programs, which qualifies as a credit specifically tied to employer-provided job training.",1,tax_credit_introduction,wage_hour,"Introduces a tax credit for employers who provide on-site apprenticeship programs, incentivizing private employer investment in employee training and development.",1,tax_credit_introduction,wage_hour,"Introduces a new tax credit for private employers who provide on-site apprenticeship training programs, incentivizing employer-provided job training which relates to compensable work time and wage obligations under FLSA.",1,tax_credit_introduction,wage_hour,"The bill introduces a new tax credit for employers who provide on-site apprenticeship training programs, directly incentivizing private employer-provided job training, which relates to employer wage and hour conduct regarding training obligations."
s180-115,"A bill to amend the Immigration and Nationality Act to reform and reduce fraud and abuse in certain visa programs for aliens working temporarily in the United States, and for other purposes.",H-1B and L-1 Visa Reform Act of 2017,Immigration,"Administrative law and regulatory procedures|Administrative remedies|Civil actions and liability|Congressional oversight|Department of Labor|Foreign labor|Government employee pay, benefits, personnel management|Government studies and investigations|Immigration status and procedures|Science and engineering education|User charges and fees|Visas and passports|Wages and earnings",1.0,enforcement,wage_hour,"The bill strengthens enforcement mechanisms for H-1B and L-1 visa programs by increasing penalties for displacing U.S. workers, mandating compliance audits, and establishing employer liability for lost wages and benefits, directly regulating private employer wage obligations.",1,enforcement,wage_hour,"The bill increases employer penalties for displacing U.S. workers and holds employers liable for lost wages and benefits, directly affecting private employer wage obligations under the H-1B visa program.",1,enforcement,wage_hour,"The bill imposes new wage and working condition requirements on private employers hiring H-1B and L-1 visa workers, creates employer liability for lost wages when U.S. workers are displaced, and strengthens enforcement mechanisms including audits and penalties for noncompliance with labor standards.",1,enforcement,wage_hour,"The bill directly regulates private employer wage obligations by requiring H-1B and L-1 employers to comply with wage rate requirements, imposes liability on employers for lost wages and benefits when displacing U.S. workers, increases penalties for employer violations including worker displacement, and strengthens Department of Labor enforcement powers including subpoena authority and compliance audits—all targeting private employer wage and labor practices in visa worker programs."
s852-115,"A bill to amend the Internal Revenue Code of 1986 to protect older, longer service and grandfathered participants in defined benefit plans.",Retirement Security Preservation Act of 2017,Taxation,Employee benefits and pensions|Income tax deferral,1.0,enforcement,pension,"The bill modifies nondiscrimination and participation requirements for defined benefit retirement plans under the Internal Revenue Code, directly regulating private employer obligations regarding pension plan structures and compliance.",1,enforcement,pension,"Modifies nondiscrimination requirements for certain defined benefit retirement plans, directly affecting private employer obligations under ERISA Title I.",1,enforcement,pension,"Modifies ERISA-related nondiscrimination and minimum participation requirements for private employer-sponsored defined benefit plans, directly affecting employer obligations as pension plan sponsors.",1,enforcement,pension,"The bill modifies nondiscrimination and minimum participation requirements under the Internal Revenue Code for private employer-sponsored defined benefit retirement plans that have closed or frozen participation, directly altering mandatory obligations on private employers as plan sponsors regarding how they administer and test their pension plans."
hr1848-114,To amend the Fair Labor Standards Act of 1938 to prohibit employment of children in tobacco-related agriculture by deeming such employment as oppressive child labor.,,Labor and Employment,"Drug, alcohol, tobacco use|Labor standards|Migrant, seasonal, agricultural labor|Worker safety and health|Youth employment and child labor",1.0,enforcement,wage_hour,"The bill amends the Fair Labor Standards Act to prohibit specific child labor practices in tobacco agriculture, directly regulating private employer conduct regarding youth employment and wage/hour compliance.",1,enforcement,wage_hour,"Amends the FLSA to classify employment of minors in tobacco-related agriculture as oppressive child labor, directly regulating private employer wage and hour obligations.",1,enforcement,wage_hour,"Amends the FLSA to expand the definition of oppressive child labor by prohibiting employment of minors under 18 in tobacco-related agriculture, directly strengthening private employer child labor obligations under federal wage and hour law.",1,enforcement,wage_hour,"The bill amends the FLSA to expand the definition of oppressive child labor to prohibit employment of minors under 18 in tobacco-related agriculture, directly tightening private employer child labor obligations under the Fair Labor Standards Act."
